observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,148055,7008,1315,0.9555070779999166,0.9554818338635408,1190358,536,2854,20327,26688
2,19,23,11,11,5,4,3,5,148405,3226,965,0.979016633354395,0.9789906750647307,1191728,2603,1484,20443,27443
3,2,24,12,30,2,4,5,1,148198,17127,1172,0.8981375817470769,0.8981104581105894,1191235,686,1977,20916,28675
4,12,26,22,29,4,1,1,3,148275,3337,1095,0.9782791997949951,0.978251313764401,1191624,539,1588,22677,29481
5,27,10,28,28,3,4,4,1,147914,2470,1456,0.9837080380825904,0.9836793849283977,1189816,456,3396,22108,30292
6,18,24,10,12,4,5,4,5,148083,3158,1287,0.9793617320436462,0.9793391922307827,1190161,2614,3051,18073,23829
7,29,2,28,26,3,1,1,1,148168,2491,1202,0.9836342873105945,0.9836014409888151,1191233,289,1979,26884,34725
8,2,25,28,30,1,4,1,1,148382,18485,988,0.8910918797149074,0.891063648431399,1192025,683,1187,22444,29846
9,24,30,18,29,5,1,1,1,148274,2493,1096,0.9836468397772947,0.9836167195346907,1191744,502,1468,23926,31843
10,15,16,22,22,1,1,3,1,148304,3013,1066,0.9803404406428798,0.9803119927486389,1191601,510,1611,23171,30075
11,21,3,26,1,5,3,1,2,147917,2546,1453,0.9832217437331306,0.983191619706933,1188589,102,4623,24506,31847
12,25,30,6,30,1,5,2,5,148471,3156,899,0.9794773596260133,0.9794507354238786,1192265,2830,947,21428,28147
13,2,14,5,11,4,3,4,5,148197,17250,1173,0.8974812242763774,0.8974574661463808,1190940,1612,2272,19753,25117
14,30,30,29,12,4,2,4,3,147779,2349,1591,0.9844527623353205,0.9844241820153042,1189225,436,3987,21655,30215
15,30,21,1,1,3,4,5,2,133021,1888,16349,0.9838960897562111,0.9838745204351014,1066677,71,126535,19595,22803
16,22,6,24,27,5,5,5,1,147831,2463,1539,0.9837330790803452,0.9837066298694137,1189312,472,3900,20281,27962
17,13,29,3,3,3,3,5,5,147797,3432,1573,0.9775462720139226,0.9775225744214232,1187653,1478,5559,20696,25053
18,30,30,30,11,1,2,2,3,148216,2506,1154,0.983549814804689,0.9835179976203636,1191249,434,1963,25020,33637
19,30,4,7,2,1,5,2,1,147748,2648,1622,0.9825272045681914,0.9824988418048061,1187252,142,5960,24344,29985
20,26,20,2,29,5,2,1,2,148432,3321,938,0.9784230403491398,0.9783926978204129,1192619,730,593,26874,32078
21,24,10,30,1,5,1,1,2,147703,2427,1667,0.9839336294622518,0.9839036879944445,1186782,98,6430,23796,31654
22,30,30,1,29,1,4,3,1,148361,6139,1009,0.9609034867167452,0.9608715512951205,1191823,736,1389,28965,33762
23,17,1,12,23,1,4,1,3,148262,3055,1108,0.980062806199392,0.9800326292028843,1191616,333,1596,26256,31903
24,11,28,28,20,3,1,5,4,148064,3529,1306,0.9770071028067973,0.9769824574241057,1190280,1174,2932,20455,26055
25,15,19,4,6,5,5,1,1,148301,3214,1069,0.9790647914698484,0.9790379440356923,1191325,519,1887,22884,28383
26,25,18,2,1,3,1,1,3,142853,2804,6517,0.9802495360295382,0.980224616336312,1145883,161,47329,23102,26345
27,16,5,29,27,1,4,5,3,147931,2823,1439,0.9814543339212422,0.981428364280797,1189693,476,3519,20669,27455
28,11,27,1,28,3,5,4,4,148450,4304,920,0.972254750785794,0.972230231207589,1191810,3529,1402,21035,25922
29,20,30,27,10,4,4,1,1,148241,2645,1129,0.9826676728380395,0.9826384909266437,1191200,441,2012,23149,30851
30,30,1,24,1,2,5,1,4,148070,2671,1300,0.9824595766353637,0.9824281311891077,1189797,1421,3415,25470,33244
31,16,20,30,1,3,5,2,5,147643,3170,1727,0.9791679681961247,0.9791418566709204,1185828,1844,7384,20527,27605
32,20,2,3,24,5,3,4,2,148000,2902,1370,0.9809681572433628,0.9809423351630674,1190349,543,2863,23315,27299
33,29,29,7,7,2,4,5,1,148023,2611,1347,0.9828315385722685,0.9828040677910699,1190063,459,3149,22419,29042
34,26,14,29,30,5,1,1,3,148235,2544,1135,0.9833114008932091,0.9832804246125573,1191416,478,1796,24294,32748
35,29,1,23,4,1,3,5,2,147645,2383,1725,0.9842026295531828,0.9841730740119209,1188609,213,4603,24215,31246
36,27,12,29,14,4,4,4,5,147862,2698,1508,0.9822355021582849,0.9822105644929892,1189293,2140,3919,19000,26364
37,14,29,6,30,3,2,1,1,148398,3304,972,0.9785212998736081,0.9784930638606077,1192287,582,925,23478,29851
38,11,28,26,2,1,4,1,3,147903,3484,1467,0.9772465411526096,0.9772198450621968,1188489,256,4723,21889,28223
39,27,3,1,3,1,3,2,4,144756,5724,4614,0.9621036596308067,0.9620802505373178,1161775,2048,31437,24180,24748
40,18,1,20,29,2,2,5,2,147683,2597,1687,0.9828379534918391,0.9828095282991596,1188856,267,4356,23943,30051
41,11,1,30,6,3,4,4,5,147776,3522,1594,0.9769704290852855,0.9769451121147332,1188726,1670,4486,21528,26765
42,22,27,6,30,1,1,1,2,148383,2831,987,0.9815175735587501,0.9814886442022259,1192271,570,941,24126,30584
43,30,22,20,1,4,5,4,1,146858,2227,2512,0.9850245521685793,0.9849978664830489,1181885,69,11327,20825,28212
44,9,4,1,24,5,4,3,4,148453,4531,917,0.9708412147871989,0.9708167008843842,1192006,3507,1206,23365,25916
45,29,10,27,26,1,5,5,5,147976,2737,1394,0.9820146696968944,0.9819883519658399,1189824,2167,3388,20364,27823
46,23,29,12,1,3,4,5,2,146939,2471,2431,0.9834668815574946,0.9834408343533811,1181256,104,11956,21198,27537
47,11,3,28,29,4,5,4,5,147894,3692,1476,0.9759295264510727,0.9759075759329096,1189217,2232,3995,17961,23206
48,30,3,1,17,2,4,2,1,148109,6222,1261,0.9603014372264912,0.9602703304118608,1190145,674,3067,29941,32886
49,16,29,1,30,2,1,2,5,148497,3935,873,0.9745767495023323,0.9745483252555512,1192496,2596,716,25428,30050
50,22,19,24,20,1,1,1,3,148253,2631,1117,0.9827599876224465,0.9827301691214306,1191438,471,1774,23962,31524
51,28,30,30,25,4,1,2,3,148227,2556,1143,0.9832327660145214,0.983201369754982,1191368,472,1844,24596,33192
52,10,2,4,4,1,2,3,2,148099,3727,1271,0.9757678508083708,0.9757414252448992,1190040,369,3172,25904,27937
53,20,14,7,30,3,5,1,3,148397,2870,973,0.9812730436861804,0.9812446705179126,1192227,568,985,23496,29996
54,29,20,16,2,2,5,4,1,147538,2643,1832,0.9825073495928939,0.9824796990910002,1186822,128,6390,22073,29232
55,23,2,30,11,4,3,1,1,148198,2517,1172,0.9834751383818632,0.9834439785969227,1191233,298,1979,25315,32942
56,20,7,29,30,2,4,3,3,148279,2649,1091,0.9826514591027883,0.9826220832822214,1191428,473,1784,23477,31056
57,30,30,1,2,5,1,3,1,142366,5347,7004,0.9635852415501345,0.9635609243941861,1142014,118,51198,23111,25708
58,12,2,12,1,3,2,1,3,147954,3274,1416,0.9785910310439443,0.978562359917682,1188992,185,4220,25068,30311
59,18,29,30,4,4,4,5,5,147873,2921,1497,0.9808144461677977,0.980791288683282,1188763,2232,4449,18188,24482
60,23,17,7,18,1,5,5,4,148206,3057,1164,0.9800354623576477,0.9800118508419023,1190792,2712,2420,19326,24962
61,29,24,28,1,3,4,5,5,147383,2630,1987,0.9825524162844116,0.9825262111152661,1185146,1636,8066,20451,27704
62,23,2,5,24,4,1,3,1,148350,2695,1020,0.9823755144475752,0.9823466181974948,1192144,449,1068,26071,30549
63,16,30,29,30,2,2,3,2,148269,2944,1101,0.9807698489986582,0.9807408401866687,1191514,515,1698,23474,30668
64,15,2,27,10,1,3,5,1,147781,2849,1589,0.9812502655957844,0.9812235259940455,1189086,316,4126,21953,28269
65,22,29,3,4,3,1,1,1,147886,2792,1484,0.9816408481967429,0.981613417143277,1188230,436,4982,24293,29000
66,19,5,26,4,1,1,5,1,147803,2569,1567,0.9830467125270599,0.9830197241540429,1189115,336,4097,21551,28532
67,25,29,1,20,5,5,1,2,148296,3350,1074,0.9782027075376015,0.9781713793827466,1191318,730,1894,28205,33120
68,13,24,30,26,4,5,4,5,148031,3567,1339,0.9767577694046402,0.9767356732181242,1189859,2594,3353,17594,23360
69,12,2,5,27,3,1,4,3,147973,3255,1397,0.9787167000328855,0.9786910784830498,1190175,431,3037,23375,27087
70,30,27,20,1,1,4,4,5,147350,2629,2020,0.9825506735423211,0.9825247861950364,1184768,1693,8444,20380,27368
71,30,29,30,2,3,4,5,2,147576,2374,1794,0.9842441962832736,0.9842155790732199,1187193,185,6019,22311,30254
72,21,1,2,30,5,1,4,5,148176,3624,1194,0.9764390971022343,0.9764141093043236,1190945,3067,2267,24382,26417
73,18,7,14,1,2,3,1,1,147513,2758,1857,0.9817642219142676,0.9817361656219623,1185306,72,7906,23412,29661
74,23,27,16,25,1,2,1,4,148340,2931,1030,0.9808707069053324,0.9808422750913641,1191754,1298,1458,23144,30058
75,29,2,27,20,1,5,5,2,147808,2392,1562,0.9841833385047881,0.9841543703664297,1189299,331,3913,22838,30625
76,24,30,2,13,5,2,5,1,148072,3066,1298,0.97994316975534,0.9799158446424944,1190312,616,2900,23206,28888
77,15,3,26,28,2,5,1,3,148282,2995,1088,0.9804490724143251,0.9804202944015441,1191424,462,1788,23639,30424
78,14,21,30,1,4,1,5,1,146949,2860,2421,0.9809665166045818,0.9809413765170294,1181984,65,11228,20170,26578
