observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,148299,3429,1071,0.9777042373974195,0.9776775138759533,1191543,1190,1669,22176,28252
2,19,22,1,30,5,2,1,1,148423,3433,947,0.9777131749753699,0.9776815337281461,1192331,775,881,28584,33451
3,10,16,13,9,4,1,2,2,148314,3614,1056,0.9765412554014161,0.9765143899951906,1191700,484,1512,22446,28402
4,14,24,6,16,3,1,4,1,148158,3212,1212,0.9790391858851517,0.9790125862763753,1190973,519,2239,21746,28121
5,2,29,29,25,2,1,4,3,148141,18154,1229,0.8926495798597825,0.8926213665483436,1190862,681,2350,21971,29827
6,4,15,2,28,2,4,2,3,148476,14142,894,0.9145255302888077,0.9144978041150423,1192809,726,403,23215,29312
7,17,6,30,24,5,5,3,5,148345,3249,1025,0.9788549643707217,0.9788281831494534,1191429,2292,1783,20828,28313
8,3,6,2,10,2,2,5,2,148094,14313,1276,0.9133358980959535,0.9133113993275133,1190011,594,3201,22882,25900
9,9,17,5,25,1,5,4,1,148199,3805,1171,0.9753057755602256,0.9752801663070692,1191178,616,2034,20913,27074
10,1,25,22,22,4,1,2,1,148371,21166,999,0.8772411121476353,0.8772119113182716,1192092,675,1120,23437,30871
11,26,19,10,2,2,2,4,4,147691,2742,1679,0.9819113853745726,0.9818856342366568,1187563,1043,5649,21354,27224
12,27,15,4,22,4,3,4,3,148071,2624,1299,0.9827601655289593,0.982733071215322,1190702,613,2510,22389,28644
13,16,13,1,4,1,4,2,3,146939,3408,2431,0.9774594741373267,0.9774332954533362,1179923,473,13289,24181,27676
14,28,8,13,23,2,1,2,1,148303,2726,1067,0.9821662612912064,0.9821362129368805,1191797,481,1415,24588,31767
15,28,25,20,27,5,1,5,3,147835,2403,1535,0.984119093088673,0.984090956395004,1189625,479,3587,21545,29746
16,25,27,10,4,2,3,5,5,147947,2766,1423,0.9818222166949131,0.9817964977175427,1189404,1237,3808,21207,27190
17,1,16,13,7,1,2,5,2,148077,20130,1293,0.882302154569742,0.8822757573832222,1190338,555,2874,21454,27907
18,16,22,11,30,5,2,3,2,148324,3114,1046,0.979704701504604,0.9796762696906357,1191905,543,1307,23154,30058
19,9,2,19,16,1,2,5,2,147797,3680,1573,0.9759773938444557,0.9759513466403422,1189250,337,3962,22331,27537
20,5,15,30,8,4,4,2,4,148412,13568,958,0.9176653611809473,0.9176419596546457,1191451,2767,1761,18749,24740
21,12,19,20,17,1,5,2,1,148315,3358,1055,0.9781573116228554,0.9781298474629455,1191647,490,1565,22348,29035
22,2,18,21,1,3,2,4,1,146887,17551,2483,0.8949068288469899,0.8948817530805284,1181034,70,12178,20675,26510
23,21,12,29,5,2,1,5,5,147929,2616,1441,0.9827765468720414,0.9827506207429225,1189566,987,3646,20972,27409
24,8,20,25,17,3,2,1,5,148317,5666,1053,0.963781186574319,0.9637553985463658,1191585,1237,1627,21948,27263
25,28,19,11,11,4,5,5,4,147986,3033,1384,0.9801304783052102,0.9801067173375183,1189784,2404,3428,18815,25120
26,20,3,5,27,4,1,1,4,148428,3118,942,0.9797067348336478,0.9796804246697803,1192353,1972,859,23561,27815
27,1,5,17,21,4,2,4,2,147915,15203,1455,0.9083286580746711,0.9083032294881082,1189835,531,3377,21091,26883
28,10,23,20,26,4,3,1,2,148296,3659,1074,0.9762526554722644,0.9762251544223172,1191740,544,1472,22649,29074
29,8,8,30,12,5,4,4,3,147920,5412,1450,0.9652028452864406,0.9651789074357487,1189675,498,3537,19318,25307
30,18,15,6,22,2,1,4,1,148136,2845,1234,0.9813659971282973,0.9813391676662108,1190942,557,2270,22051,28364
31,29,29,28,12,1,5,3,5,148292,2841,1078,0.9814309598541977,0.9814013579639144,1191284,2189,1928,22601,31295
