observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,148299,3429,1071,0.9777042373974195,0.9776775138759533,1191543,1190,1669,22176,28252
2,19,22,1,30,5,2,1,1,148423,3433,947,0.9777131749753699,0.9776815337281461,1192331,775,881,28584,33451
3,10,16,13,9,4,1,2,2,148314,3614,1056,0.9765412554014161,0.9765143899951906,1191700,484,1512,22446,28402
4,14,24,6,16,3,1,4,1,148158,3212,1212,0.9790391858851517,0.9790125862763753,1190973,519,2239,21746,28121
5,2,29,29,25,2,1,4,3,148141,18154,1229,0.8926495798597825,0.8926213665483436,1190862,681,2350,21971,29827
6,4,15,2,28,2,4,2,3,148476,14142,894,0.9145255302888077,0.9144978041150423,1192809,726,403,23215,29312
7,17,6,30,24,5,5,3,5,148345,3249,1025,0.9788549643707217,0.9788281831494534,1191429,2292,1783,20828,28313
8,3,6,2,10,2,2,5,2,148094,14313,1276,0.9133358980959535,0.9133113993275133,1190011,594,3201,22882,25900
9,9,17,5,25,1,5,4,1,148199,3805,1171,0.9753057755602256,0.9752801663070692,1191178,616,2034,20913,27074
10,1,25,22,22,4,1,2,1,148371,21166,999,0.8772411121476353,0.8772119113182716,1192092,675,1120,23437,30871
11,28,1,10,1,3,3,5,4,147306,2736,2064,0.981853055178294,0.981826573806817,1184720,1052,8492,22940,27996
12,27,1,9,1,3,3,5,4,147188,2873,2182,0.9809447934976187,0.9809187425099115,1183918,1065,9294,22756,27541
13,28,1,10,1,3,3,5,4,147306,2736,2064,0.981853055178294,0.981826573806817,1184720,1052,8492,22940,27996
14,28,11,10,1,3,3,5,4,147277,2688,2093,0.9821537534068986,0.9821280107820684,1183826,854,9386,21354,27215
15,26,21,10,4,3,3,5,4,147938,2772,1432,0.9817816451999957,0.9817557956886468,1189408,1235,3804,21342,27328
16,22,9,17,7,4,4,4,4,147957,2804,1413,0.981582157292774,0.9815591502061032,1189573,2301,3639,18054,24323
17,22,10,16,8,4,4,4,4,147972,3079,1398,0.9798342415952388,0.9798112959919637,1189646,2353,3566,18067,24258
18,22,8,17,8,4,4,4,4,147953,2799,1417,0.9816130584332883,0.9815900494548208,1189594,2296,3618,18073,24325
19,30,8,16,8,4,4,4,4,147897,2962,1473,0.9805593372424788,0.9805351515664074,1189465,2182,3747,18860,25569
20,22,10,17,7,4,4,4,4,147959,2806,1411,0.9815698988503826,0.981546849198284,1189585,2314,3627,18095,24368
21,25,13,13,13,2,2,3,5,148336,2786,1034,0.9817922076134168,0.9817638675515928,1191783,1268,1429,23121,29961
22,25,4,13,12,2,2,3,5,148322,2773,1048,0.9818715018154978,0.9818427332617007,1191747,1210,1465,23807,30414
23,25,4,13,13,2,2,3,5,148322,2773,1048,0.9818715018154978,0.9818427332617007,1191747,1210,1465,23807,30414
24,25,4,13,13,2,2,3,5,148322,2773,1048,0.9818715018154978,0.9818427332617007,1191747,1210,1465,23807,30414
25,25,13,13,14,2,2,3,5,148336,2786,1034,0.9817922076134168,0.981763870389288,1191790,1275,1422,23124,29958
26,30,5,21,19,1,3,3,5,148269,2590,1101,0.9830257028445816,0.9829954899039348,1191574,1079,1638,24289,31941
27,30,4,6,19,1,3,3,5,148399,2902,971,0.9810701114183182,0.9810424155133016,1192174,1692,1038,23872,29280
28,30,4,20,19,1,3,3,5,148272,2741,1098,0.9820629388739475,0.9820325310782313,1191568,1074,1644,24522,32147
29,30,4,20,19,1,3,3,5,148272,2741,1098,0.9820629388739475,0.9820325310782313,1191568,1074,1644,24522,32147
30,30,4,21,18,1,3,3,5,148270,2584,1100,0.9830642697411136,0.9830338505946167,1191571,1069,1641,24525,32159
31,20,13,27,16,1,3,2,3,148268,2671,1102,0.982508371677984,0.9824787385730536,1191448,452,1764,23830,31328
