observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,148274,7101,1096,0.955035879704924,0.9550087522848429,1191567,536,1645,22654,28679
2,8,29,21,7,2,,,,148260,5589,1110,0.9642336059800435,0.9642064965320319,1191266,487,1946,22651,28660
3,19,23,11,11,5,,,,148062,3062,1308,0.9799659697084341,0.9799433731416669,1190019,2575,3193,18033,23889
4,4,8,24,3,5,,,,147908,14193,1462,0.913878951138728,0.9138590305185214,1188802,2452,4410,16633,21060
5,2,24,12,30,2,,,,148396,17185,974,0.8979722344826034,0.8979434980893518,1192308,686,904,23180,30380
6,19,16,26,7,5,,,,147935,2918,1435,0.9808495157314512,0.9808263175733045,1189346,2330,3866,18129,24525
7,4,30,2,29,3,,,,148454,14191,916,0.9142410218038608,0.9142118086778179,1192797,732,415,23870,30884
8,29,1,8,25,2,,,,148258,2790,1112,0.9817471759654243,0.9817161836044997,1191846,355,1366,27822,32765
9,3,3,2,1,1,,,,134793,12183,14577,0.916810248784075,0.9167902685722694,1081568,65,111644,21340,21123
10,29,27,1,1,4,,,,133842,2194,15528,0.9819469433763152,0.9819282193175787,1072598,1265,120614,17063,19795
11,28,28,2,2,4,,,,145946,3340,3424,0.9776158354125405,0.9775946766113343,1171893,2179,21319,19042,22369
12,1,1,26,25,4,,,,147779,3540,1591,0.9768573536677215,0.9768321445295863,1188879,2086,4333,20723,26651
13,30,15,16,30,1,,,,148285,2817,1085,0.9815819909740928,0.9815512407631575,1191769,498,1443,24745,32509
14,7,30,29,8,2,,,,148244,7068,1126,0.9552225110952055,0.955195279626301,1191165,513,2047,22665,28789
15,30,4,30,1,3,,,,147844,2455,1526,0.9837875087120466,0.9837558334124805,1188175,163,5037,25273,33487
16,24,28,25,5,5,,,,147850,2658,1520,0.9824883822493157,0.9824642060322282,1188942,2141,4270,18643,25559
17,5,3,3,29,3,,,,148396,12097,974,0.9259094029383067,0.9258828080590222,1192206,592,1006,26000,28116
18,9,11,30,17,1,,,,148305,3870,1065,0.9749281647448148,0.9749010902950439,1191566,487,1646,22795,28623
19,27,5,5,2,1,,,,147675,2680,1695,0.9823042226276864,0.9822763394347874,1186656,151,6556,25195,29478
20,27,30,2,26,2,,,,148411,3356,959,0.9781961475374286,0.9781655108343007,1192458,722,754,27008,32389
21,16,7,29,29,1,,,,148286,2935,1084,0.9808314346533277,0.9808027285288248,1191481,480,1731,23451,30348
22,30,26,3,4,5,,,,147786,2973,1584,0.9804604513915565,0.9804381887269229,1187572,2633,5640,19169,23536
23,7,1,9,11,4,,,,147832,4049,1538,0.9736629160437692,0.9736410601154456,1188840,2294,4372,20240,23106
24,9,28,5,30,4,,,,148226,4235,1144,0.9726167817963325,0.9725951935572548,1190993,3072,2219,17547,22823
25,12,29,29,7,4,,,,147996,3542,1374,0.9769058496062963,0.9768840097582454,1189468,2468,3744,17423,23089
