observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,148266,3330,1104,0.9783210299232974,0.9782929376868531,1191526,495,1686,22948,29699
2,5,2,26,19,4,,,,147825,11019,1545,0.9317414971852046,0.9317190784473357,1188961,2126,4251,19186,23701
3,1,30,25,7,1,,,,148258,21153,1112,0.8772134317589628,0.877184182688781,1191152,564,2060,23740,30922
4,6,10,16,13,2,,,,148344,8040,1026,0.9494397598828291,0.9494136237642664,1191818,512,1394,22474,27631
5,19,5,9,11,3,,,,148342,2863,1028,0.9813036198726849,0.9812754860167111,1191874,478,1338,23852,29743
6,24,6,16,18,1,,,,148297,2774,1073,0.9818588798584292,0.9818291285161994,1191726,455,1486,24209,31453
7,19,6,2,29,5,,,,148240,3700,1130,0.97597844736208,0.9759563767148206,1190999,3133,2213,19346,23333
8,25,10,3,21,3,,,,148416,2772,954,0.981901354163276,0.9818722204926983,1192350,610,862,25533,30800
9,4,15,2,28,2,,,,148479,14123,891,0.9146323434112764,0.9146041376670246,1192801,723,411,24107,29819
10,20,10,16,17,1,,,,148321,2924,1049,0.9809103384422071,0.980881289902485,1191747,460,1465,23780,30710
11,30,24,29,27,3,,,,148222,2516,1148,0.9834872972472282,0.9834554289843895,1191389,469,1823,25021,33691
12,28,3,6,2,2,,,,147894,2659,1476,0.9824928482380909,0.9824643757504916,1188312,228,4900,25241,30101
13,12,9,25,11,2,,,,148293,3315,1077,0.9784232641107435,0.9783956817135343,1191462,465,1750,22846,29160
14,17,5,25,3,5,,,,147820,3052,1550,0.9799660518863584,0.9799434430229121,1188629,2094,4583,17828,23902
15,24,6,1,25,4,,,,148268,3734,1102,0.9757724547178085,0.975748264312245,1190739,3442,2473,22202,25574
16,22,24,3,11,1,,,,148329,2857,1041,0.9813384983679755,0.9813099019676864,1191706,581,1506,24871,30232
