observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,148266,3330,1104,0.9783210299232974,0.9782929376868531,1191526,495,1686,22948,29699
2,5,2,26,19,4,,,,147825,11019,1545,0.9317414971852046,0.9317190784473357,1188961,2126,4251,19186,23701
3,1,30,25,7,1,,,,148258,21153,1112,0.8772134317589628,0.877184182688781,1191152,564,2060,23740,30922
4,6,10,16,13,2,,,,148344,8040,1026,0.9494397598828291,0.9494136237642664,1191818,512,1394,22474,27631
5,19,5,9,11,3,,,,148342,2863,1028,0.9813036198726849,0.9812754860167111,1191874,478,1338,23852,29743
6,24,6,16,18,1,,,,148297,2774,1073,0.9818588798584292,0.9818291285161994,1191726,455,1486,24209,31453
7,19,6,2,29,5,,,,148240,3700,1130,0.97597844736208,0.9759563767148206,1190999,3133,2213,19346,23333
8,25,10,3,21,3,,,,148416,2772,954,0.981901354163276,0.9818722204926983,1192350,610,862,25533,30800
9,4,15,2,28,2,,,,148479,14123,891,0.9146323434112764,0.9146041376670246,1192801,723,411,24107,29819
10,20,10,16,17,1,,,,148321,2924,1049,0.9809103384422071,0.980881289902485,1191747,460,1465,23780,30710
11,30,22,8,1,4,,,,146846,2732,2524,0.9817625862918277,0.9817395858264456,1180438,1718,12774,18694,24316
12,28,22,9,24,4,,,,148022,3007,1348,0.9803052826230554,0.9802815244930587,1190110,2563,3102,18862,25117
13,30,21,9,24,4,,,,148010,2950,1360,0.9806649784467052,0.9806410964040186,1190086,2552,3126,18930,25248
14,29,22,8,1,4,,,,146836,2737,2534,0.9817278908308102,0.9817049849552678,1180338,1733,12874,18617,24216
15,30,21,8,24,4,,,,148047,2946,1323,0.9806999895469374,0.9806762323628391,1190265,2634,2947,18972,25116
16,24,12,20,20,2,,,,148275,2638,1095,0.9827206851652555,0.9826904268214857,1191619,463,1593,24199,31989
