observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,29657,2765,1617,0.9153666281470069,0.9153435264530471,238010,283,986,4123,6557
2,19,23,11,11,5,4,3,5,29700,1762,1574,0.9441087613293052,0.9440853953945268,238549,1237,447,4198,6632
3,2,24,12,30,2,4,5,1,29684,3925,1590,0.8844447490189886,0.8844188393259308,238223,423,773,4377,7354
4,12,26,22,29,4,1,1,3,29631,1878,1643,0.9405382757274404,0.9405102521078345,238489,243,507,5356,7954
5,27,10,28,28,3,4,4,1,29550,938,1724,0.9687343051929406,0.9687082510482352,237529,173,1467,4916,7395
6,18,24,10,12,4,5,4,5,29655,1728,1619,0.945003986511506,0.9449879876107478,237666,1319,1330,2996,4541
7,29,2,28,26,3,1,1,1,29556,985,1718,0.9672839663748058,0.9672505346264476,238194,55,802,6631,9489
8,2,25,28,30,1,4,1,1,29715,3969,1559,0.883433722402916,0.8834059735937613,238730,420,266,5070,7876
9,22,12,17,30,1,4,5,3,29578,972,1696,0.9677246267562871,0.9676993160090845,237736,198,1260,4791,7184
10,13,30,23,19,3,3,5,1,29582,1843,1692,0.9414429007974673,0.9414169135937693,237885,236,1111,4885,7376
11,27,27,8,29,1,4,5,3,29623,967,1651,0.9679554877060536,0.96792789744139,238079,245,917,5206,7831
12,2,1,29,4,4,3,2,2,29560,2122,1714,0.9332622757455364,0.9332310671432646,237950,72,1046,6198,8858
13,30,8,1,3,5,4,1,5,29428,1204,1846,0.9602921731684682,0.9602721719001123,235672,1190,3324,4434,5677
14,4,2,2,25,1,3,5,5,29686,3056,1588,0.9074779657037769,0.9074603073706785,237875,1362,1121,3809,5012
15,6,30,7,7,5,1,1,5,29716,2873,1558,0.912577888197232,0.9125542298359478,238682,666,314,4617,6715
16,30,30,4,15,5,5,1,5,29731,1280,1543,0.9585617350383315,0.9585382457911712,238755,1563,241,4451,6667
17,19,4,30,29,2,3,4,1,29540,1604,1734,0.9484181258949613,0.9483948233779794,237332,137,1664,4509,6614
18,27,1,9,7,1,2,2,1,29615,1006,1659,0.9667344126113222,0.9667028058862173,238459,122,537,6621,8971
19,30,23,27,1,2,3,5,4,29499,957,1775,0.9680576102408872,0.9680315067712291,237143,185,1853,5219,7409
20,17,18,4,27,1,1,3,3,29677,1726,1597,0.9451147468728126,0.9450861348769841,238734,312,262,5637,8121
21,26,30,14,3,1,3,3,5,29608,1010,1666,0.9665986748117601,0.966569636507411,238300,356,696,5713,8242
22,23,2,30,28,5,3,1,3,29571,1044,1703,0.9654834208235683,0.9654527970743082,238226,91,770,5899,8692
23,30,16,1,27,2,4,4,4,29749,1321,1525,0.9573573859628346,0.9573343371170385,238596,1855,400,4729,6542
24,13,2,15,2,5,4,2,3,29607,1818,1667,0.9422385222064301,0.9422113089253342,238290,83,706,5305,7724
25,30,20,28,16,1,1,4,1,29542,997,1732,0.9668878073686656,0.9668594948457647,237635,186,1361,5390,8036
26,25,26,13,30,1,1,4,2,29576,984,1698,0.9673490266982574,0.9673213236908446,237916,215,1080,5286,7863
27,28,1,28,5,4,5,2,5,29581,1002,1693,0.9667998177588392,0.9667685457387709,238208,490,788,5866,8876
28,27,18,1,2,1,1,1,5,29316,1111,1958,0.9629502620225898,0.9629251203895111,235127,599,3869,5466,7136
29,24,1,2,25,4,4,5,4,29693,1280,1581,0.9584873892072766,0.9584703016343461,237932,1487,1064,3773,4850
30,27,29,28,15,4,5,3,1,29594,1000,1680,0.9668840418719535,0.9668535273422317,238340,186,656,5698,8661
31,25,7,30,20,1,1,1,4,29608,1009,1666,0.9666296007788409,0.9666003264193606,238285,313,711,5760,8309
32,30,23,1,4,2,4,3,1,29551,1146,1723,0.962305599680089,0.9622777169889196,237421,187,1575,5884,7914
33,22,28,17,30,2,3,5,1,29571,998,1703,0.9669065595050862,0.9668790855063827,237849,214,1147,5198,7798
34,23,2,16,2,4,3,5,5,29479,963,1795,0.9678370406557877,0.9678171662230246,236793,243,2203,3855,5641
35,23,30,30,5,5,4,5,4,29558,987,1716,0.9672253349031629,0.9672078597770319,237089,957,1907,3223,4960
36,24,5,27,1,1,4,4,4,29533,1003,1741,0.9666862624694116,0.96666539096796,236973,541,2023,4061,5924
37,29,25,1,30,2,2,5,1,29673,1179,1601,0.9615222595659687,0.9614900362789539,238627,458,369,6492,9146
38,22,30,20,14,5,2,2,3,29604,1026,1670,0.9660971814659719,0.9660670192573414,238439,204,557,5695,8561
39,16,15,2,1,4,1,4,1,29370,1610,1904,0.9478510857203346,0.947830090906501,235374,20,3622,4325,5959
40,23,2,11,27,3,1,1,5,29624,1053,1650,0.9652988992125503,0.9652691774052841,238443,329,553,6104,8436
41,22,5,27,4,1,4,5,1,29543,999,1731,0.9668275045947461,0.9668037264442909,237346,96,1650,4585,6749
42,26,30,4,30,5,4,2,1,29675,1190,1599,0.9611902628754148,0.9611607630304361,238766,324,230,5642,8373
43,30,29,19,7,3,1,1,5,29618,1048,1656,0.9654425167611096,0.9654118753957949,238402,423,594,5966,8697
44,27,1,19,29,5,3,3,5,29563,1009,1711,0.9665520610056091,0.9665206374874716,238278,235,718,6134,8919
45,24,10,2,14,1,1,5,5,29687,1204,1587,0.9607860017230521,0.9607631431306453,238315,886,681,4833,6488
46,28,13,24,19,1,1,4,5,29567,929,1707,0.9690425530520236,0.9690178764827855,237619,409,1377,4933,7004
47,23,30,1,4,5,5,5,1,29535,1104,1739,0.9635680892087551,0.9635447831685624,236970,187,2026,4624,6615
48,21,1,18,1,5,5,1,3,29581,1038,1693,0.9656863225178817,0.9656561426931967,238203,70,793,5904,8566
49,23,5,1,30,3,1,1,2,29701,1260,1573,0.9591097178116502,0.959076286063292,238897,513,99,7257,9489
50,21,25,28,30,5,4,2,1,29613,1031,1661,0.9659583906891175,0.9659293101062375,238392,207,604,5445,8254
51,28,21,30,30,1,3,5,2,29545,940,1729,0.9686637522056812,0.9686358518984572,237635,186,1361,5318,7919
52,22,6,3,3,4,5,2,5,29714,1212,1560,0.9605934899214301,0.9605723365631055,238456,1256,540,4188,6004
53,25,30,18,4,1,2,1,1,29591,997,1683,0.9669717911280805,0.9669411074842349,238278,126,718,5935,8709
54,30,1,21,18,2,1,2,5,29560,995,1714,0.9669806845935378,0.9669463720424513,238239,165,757,6973,9739
55,22,29,5,27,3,4,1,4,29739,1133,1535,0.9630492706615664,0.9630256792412897,238746,1578,250,4438,6696
56,26,11,30,30,1,3,3,5,29612,1020,1662,0.966296446644851,0.9662672286567454,238331,393,665,5739,8293
57,24,28,4,2,4,4,1,4,29657,1195,1617,0.9610037964461947,0.9609819419688983,237999,1036,997,4224,6203
58,28,1,12,11,1,4,5,1,29519,929,1755,0.968963239860664,0.9689382638184982,237271,91,1725,5092,7089
59,17,4,30,2,5,2,5,3,29479,1595,1795,0.9485488126649076,0.9485285718182096,236792,79,2204,3734,5745
60,25,30,25,15,2,1,4,1,29556,981,1718,0.96740807561206,0.9673802880475852,237765,198,1231,5267,7887
61,23,17,28,24,5,5,1,2,29607,1025,1667,0.9661332870395146,0.9661036674053648,238370,193,626,5558,8407
62,29,5,7,1,3,1,5,1,29501,940,1773,0.9685904957898934,0.9685653541568147,236921,21,2075,5128,7136
63,27,30,24,2,4,2,3,5,29580,972,1694,0.967728004962305,0.967698600244021,238169,270,827,5635,8346
64,28,1,16,30,1,2,3,1,29568,983,1706,0.9673664325680034,0.9673331135623944,238277,64,719,6797,9457
65,28,28,6,26,3,4,4,3,29639,971,1635,0.9678584397229819,0.9678300708287064,238218,264,778,5384,8052
66,28,27,14,4,2,2,5,1,29554,913,1720,0.9695195442464261,0.9694922076529482,237669,121,1327,5313,7759
67,25,3,30,29,5,3,1,5,29579,1040,1695,0.9656210315322815,0.9655914259909754,238237,225,759,5701,8403
68,27,8,3,22,2,1,3,1,29685,1173,1589,0.9617278638982555,0.9616982654033712,238744,308,252,6052,8401
69,19,30,29,20,4,1,3,2,29600,1696,1674,0.945821068547743,0.9457918435132154,238399,217,597,5526,8295
70,23,1,20,6,3,5,4,3,29505,979,1769,0.9673833926779848,0.9673591001387363,237099,73,1897,4887,6895
71,29,10,23,2,4,4,4,1,29456,847,1818,0.9714264230889224,0.9714049033166627,236470,32,2526,4014,6108
72,28,28,3,25,1,2,2,5,29709,1212,1565,0.9605840133522764,0.9605567577926496,238783,974,213,5556,7736
73,21,1,29,28,3,4,1,3,29576,1045,1698,0.9654613198511721,0.9654292233997501,238228,70,768,6407,9110
74,21,30,29,15,2,1,4,5,29588,1012,1686,0.966502338185662,0.9664778800555005,237784,457,1212,4836,6942
75,28,3,3,11,1,5,5,4,29686,1187,1588,0.9613024440254888,0.9612821468074162,238065,1180,931,4255,5761
76,28,28,19,1,2,2,5,1,29469,888,1805,0.9701619800798938,0.9701350803645693,236785,17,2211,5335,7635
77,21,1,25,28,5,4,3,5,29596,1063,1678,0.9649411664976705,0.9649111452174766,238257,541,739,5655,8521
78,26,23,5,30,3,4,5,4,29700,1073,1574,0.9648176169849483,0.9647968124245041,238264,1424,732,4086,5905
79,29,1,6,7,5,5,4,2,29555,939,1719,0.9687114875317933,0.9686893159655147,237249,157,1747,4374,6293
80,26,14,30,10,4,4,1,3,29597,1005,1677,0.9667344320382134,0.9667048194504855,238332,174,664,5594,8405
81,13,21,26,1,3,2,5,4,29521,1786,1753,0.9429719347582629,0.9429495341832749,237191,213,1805,4533,6358
82,29,2,1,30,4,4,5,3,29657,1213,1617,0.9604547951167949,0.9604253939217218,238280,466,716,5914,8345
83,1,28,3,24,3,3,2,4,29746,4050,1528,0.8814789264128378,0.8814529286395071,238853,1047,143,4922,7379
84,4,1,28,24,5,5,3,3,29591,2182,1683,0.9316179632793103,0.931586983685748,238239,116,757,6187,8793
85,27,30,30,30,1,1,5,4,29569,978,1705,0.9675232334496233,0.9674975774277512,237706,454,1290,5061,7282
86,27,13,15,3,4,4,5,1,29506,898,1768,0.9699093401355625,0.9698874398565243,237028,108,1968,3973,6216
87,26,1,29,28,1,1,2,4,29552,1032,1722,0.9658210721032231,0.9657867947842457,238157,107,839,6935,9729
88,28,30,10,29,4,1,3,2,29625,978,1649,0.9676180298023087,0.9675872087532374,238563,227,433,5858,8748
89,28,27,30,12,2,2,1,5,29609,994,1665,0.9670954344106856,0.96706478952216,238340,418,656,5961,8698
90,30,4,6,14,1,1,2,3,29650,1019,1624,0.9663929911248293,0.9663633644442577,238609,214,387,6093,8409
91,29,9,21,1,5,2,1,1,29528,927,1746,0.9690404569796315,0.9690101573657754,237701,15,1295,5821,8600
92,24,29,15,30,3,5,5,5,29635,1058,1639,0.9651642000454655,0.9651434412867632,237865,1273,1131,3972,5892
93,30,2,8,24,1,3,1,4,29649,1034,1625,0.9659284530744927,0.9659001299819591,238553,531,443,5854,8039
94,22,20,7,8,4,1,5,3,29585,953,1689,0.9683262243099795,0.9683017978887162,237664,232,1332,4394,6933
95,21,29,30,2,5,4,4,5,29531,969,1743,0.9677383413270904,0.9677215532270875,236847,837,2149,3122,4765
