observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,29655,1848,1619,0.9414757946589067,0.9414497651766778,238504,551,492,5198,7388
2,19,22,1,30,5,2,1,1,29718,1924,1556,0.9394132507909051,0.9393806399506898,238937,530,59,6567,9256
3,10,16,13,9,4,1,2,2,29672,2139,1602,0.933074132098291,0.9330482893462405,238556,221,440,5068,7335
4,14,24,6,16,3,1,4,1,29632,1820,1642,0.942240696199875,0.9422144729410459,238213,276,783,4960,7443
5,2,29,29,25,2,1,4,3,29657,3934,1617,0.884104951428931,0.8840765754882337,238213,384,783,4912,8054
6,4,15,2,28,2,4,2,3,29751,3190,1523,0.904075221392223,0.904047891845167,238862,423,134,5064,7757
7,17,6,30,24,5,5,3,5,29662,1734,1612,0.9448434647105968,0.9448195632477596,238328,955,668,4320,6784
8,3,6,2,10,2,2,5,2,29669,3044,1605,0.9077469188495243,0.9077251700685552,237991,287,1005,4416,6173
9,9,17,5,25,1,5,4,1,29703,2612,1571,0.9197632514589316,0.9197390152910576,238347,325,649,4327,6879
10,1,25,22,22,4,1,2,1,29698,3990,1576,0.8828254218525007,0.8827960312270603,238743,376,253,5442,8342
11,26,19,10,2,2,2,4,4,29578,949,1696,0.9684388090605902,0.968414379116116,237715,341,1281,4955,6934
12,27,15,4,22,4,3,4,3,29601,966,1673,0.9679495270614503,0.967924166989295,237878,297,1118,4647,7198
13,16,13,1,4,1,4,2,3,29624,1851,1650,0.9413116464755785,0.9412857543985752,237763,251,1233,5445,7349
14,28,8,13,23,2,1,2,1,29633,966,1641,0.9680032666394447,0.9679728718988939,238479,175,517,5985,8627
15,28,25,20,27,5,1,5,3,29505,906,1769,0.9696578115212634,0.9696326734113956,237211,196,1785,4478,7135
16,25,27,10,4,2,3,5,5,29601,969,1673,0.967856479580226,0.9678317677788788,237904,438,1092,4982,7014
17,1,16,13,7,1,2,5,2,29643,3894,1631,0.8850839042701275,0.8850591572366711,237963,247,1033,4375,7024
18,16,22,11,30,5,2,3,2,29628,1740,1646,0.9445860693002514,0.9445579470307398,238572,249,424,5410,7982
19,9,2,19,16,1,2,5,2,29537,2378,1737,0.9258614928509588,0.9258412942827917,237115,111,1881,3993,5733
20,5,15,30,8,4,4,2,4,29734,3253,1540,0.9023225382775454,0.9023022621987382,238534,1372,462,3507,5755
21,12,19,20,17,1,5,2,1,29660,1823,1614,0.9422208329282991,0.9421939649218727,238493,235,503,5203,7626
22,2,18,21,1,3,2,4,1,29438,3795,1836,0.8868518296478078,0.886828770232379,236161,17,2835,4304,6545
23,21,12,29,5,2,1,5,5,29579,974,1695,0.9676642647629404,0.9676411419297152,237610,357,1386,4611,6563
24,8,20,25,17,3,2,1,5,29698,2817,1576,0.9140608023716704,0.9140368903392005,238616,648,380,4743,6787
25,28,19,11,11,4,5,5,4,29588,950,1686,0.9684244152402798,0.9684068872659851,237341,1108,1655,3289,4975
26,20,3,5,27,4,1,1,4,29684,1128,1590,0.9631020685734902,0.9630780543679038,238679,741,317,5016,6816
27,1,5,17,21,4,2,4,2,29584,3814,1690,0.8869296596185579,0.8869102925281663,237404,207,1592,3534,5497
28,10,23,20,26,4,3,1,2,29660,2154,1614,0.9326105549127133,0.9325833980029921,238543,255,453,5264,7708
29,8,8,30,12,5,4,4,3,29598,2483,1676,0.9230665594672798,0.9230476257318306,237421,209,1575,3316,5374
30,18,15,6,22,2,1,4,1,29635,1670,1639,0.9466726381420109,0.9466466967400547,238158,268,838,4941,7363
31,29,29,28,12,1,5,3,5,29651,1034,1623,0.9659319316227957,0.9659037917372295,238322,1064,674,5095,7987
