observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,29655,1848,1619,0.9414757946589067,0.9414497651766778,238504,551,492,5198,7388
2,19,22,1,30,5,2,1,1,29718,1924,1556,0.9394132507909051,0.9393806399506898,238937,530,59,6567,9256
3,10,16,13,9,4,1,2,2,29672,2139,1602,0.933074132098291,0.9330482893462405,238556,221,440,5068,7335
4,14,24,6,16,3,1,4,1,29632,1820,1642,0.942240696199875,0.9422144729410459,238213,276,783,4960,7443
5,2,29,29,25,2,1,4,3,29657,3934,1617,0.884104951428931,0.8840765754882337,238213,384,783,4912,8054
6,4,15,2,28,2,4,2,3,29751,3190,1523,0.904075221392223,0.904047891845167,238862,423,134,5064,7757
7,17,6,30,24,5,5,3,5,29662,1734,1612,0.9448434647105968,0.9448195632477596,238328,955,668,4320,6784
8,3,6,2,10,2,2,5,2,29669,3044,1605,0.9077469188495243,0.9077251700685552,237991,287,1005,4416,6173
9,9,17,5,25,1,5,4,1,29703,2612,1571,0.9197632514589316,0.9197390152910576,238347,325,649,4327,6879
10,1,25,22,22,4,1,2,1,29698,3990,1576,0.8828254218525007,0.8827960312270603,238743,376,253,5442,8342
11,29,1,30,1,5,5,3,5,29577,1000,1697,0.9668548923308666,0.966823271512918,238172,456,824,5902,8975
12,29,1,30,1,5,5,3,5,29577,1000,1697,0.9668548923308666,0.966823271512918,238172,456,824,5902,8975
13,30,1,29,1,5,5,3,5,29575,996,1699,0.9669753794826624,0.9669436177362772,238171,446,825,5941,9015
14,29,2,30,1,5,5,3,5,29587,1003,1687,0.96677915858485,0.9667491020725469,238104,486,892,5494,8531
15,26,2,30,4,5,5,3,5,29598,1054,1676,0.9652222574421709,0.9651931839057127,238207,600,789,5310,8252
16,23,9,24,7,4,4,5,4,29563,972,1711,0.9676992763941344,0.9676826151297245,237055,917,1941,3121,4729
17,23,9,24,8,4,4,5,4,29562,972,1712,0.9676975855025401,0.9676809242381302,237056,915,1940,3121,4729
18,23,9,23,8,4,4,5,4,29562,970,1712,0.9677596766146678,0.967743047059156,237057,917,1939,3119,4720
19,21,9,24,8,4,4,5,4,29570,979,1704,0.9674939061298609,0.9674777944863534,237106,919,1890,3023,4573
20,23,9,24,7,4,4,5,4,29563,972,1711,0.9676992763941344,0.9676826151297245,237055,917,1941,3121,4729
21,25,13,17,12,3,3,4,4,29579,979,1695,0.9675091716951805,0.9674850729325322,237727,445,1269,4823,6840
22,24,12,16,12,3,3,4,4,29581,982,1693,0.9674195365046266,0.9673958851897644,237717,450,1279,4735,6713
23,25,12,17,12,3,3,4,4,29576,975,1698,0.9676281659101482,0.9676042750169438,237705,443,1291,4784,6781
24,25,12,18,11,3,3,4,4,29574,971,1700,0.9677489023082123,0.9677249832293205,237685,424,1311,4786,6789
25,25,13,16,12,3,3,4,4,29580,979,1694,0.9675108673254115,0.967486775609185,237727,446,1269,4822,6838
26,19,19,20,5,4,4,5,3,29536,1606,1738,0.948349378897942,0.9483275455599111,237244,158,1752,3887,6197
27,20,5,20,5,4,4,5,3,29529,994,1745,0.9669585650936111,0.966937799288487,237041,134,1955,3769,5894
28,20,6,20,5,4,4,5,3,29534,936,1740,0.9687700091320367,0.9687491658162725,237083,142,1913,3761,5916
29,20,6,20,6,4,4,5,3,29533,936,1741,0.9687683491279346,0.9687474881961158,237085,142,1911,3762,5921
30,20,19,13,4,4,4,5,3,29554,954,1720,0.9682432972559998,0.9682214674411798,237305,159,1691,3919,6196
31,16,19,13,4,4,2,5,2,29549,1647,1725,0.9471574058996922,0.9471347868856276,237374,147,1622,4114,6420
32,15,4,13,3,4,2,5,2,29510,1652,1764,0.9469186477834853,0.9468986042365984,237065,117,1931,3726,5689
