observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,29675,2802,1599,0.9144009756897218,0.9143744494347541,238604,283,392,5090,7529
2,8,29,21,7,2,,,,29675,2782,1599,0.9149535632161226,0.9149269277416165,238536,233,460,5157,7560
3,19,23,11,11,5,,,,29622,1703,1652,0.9456652698667283,0.9456490807125808,237499,1228,1497,3018,4595
4,4,8,24,3,5,,,,29644,3036,1630,0.9078803425713926,0.9078678034637515,237364,1031,1632,2372,3559
5,2,24,12,30,2,,,,29707,3953,1567,0.8838138918276297,0.8837851001480446,238748,424,248,5352,8172
6,19,23,8,7,5,,,,29653,1689,1621,0.946151705900071,0.9461357563242656,237642,1201,1354,3018,4527
7,1,1,25,30,4,,,,29525,2400,1749,0.9252011313619524,0.9251837865946252,236893,869,2103,3426,4923
8,30,30,28,27,2,,,,29588,1044,1686,0.965513280539236,0.965480490015264,238359,195,637,6294,9307
9,29,2,2,26,1,,,,29683,1243,1591,0.9595913226538942,0.9595583947246967,238858,377,138,7445,9346
10,26,2,30,3,4,,,,29482,964,1792,0.9678109784601162,0.9677928409703335,236577,552,2419,3446,5148
11,11,2,4,27,5,,,,29660,1927,1614,0.9391800192142425,0.9391660074044396,237640,1208,1356,3022,3977
12,27,26,30,3,2,,,,29576,973,1698,0.9676902187249498,0.9676589572745143,238150,111,846,6028,8873
13,2,30,4,9,1,,,,29713,3948,1561,0.8839666250759374,0.8839365897028998,238755,341,241,5532,8525
14,1,3,30,10,5,,,,29578,3305,1696,0.9003732631331578,0.9003581520815498,236973,821,2023,2822,4289
15,30,27,9,30,3,,,,29643,1046,1631,0.9655480168204633,0.9655162973526091,238611,252,385,6162,9003
16,30,5,4,2,5,,,,29604,989,1670,0.9672417274432786,0.9672249393432758,237330,984,1666,3408,4765
17,17,30,30,25,1,,,,29610,1734,1664,0.9447206039065043,0.9446909701795109,238420,232,576,5721,8411
18,20,1,16,28,4,,,,29509,1000,1765,0.9667379759732411,0.9667204797078447,236804,620,2192,3498,4966
19,29,30,1,30,5,,,,29751,1270,1523,0.9589035797648816,0.9588840611764208,238373,2010,623,3900,5540
20,16,18,21,1,3,,,,29551,1694,1723,0.945765769110383,0.9457384360401161,237844,93,1152,5426,7758
21,30,15,21,2,1,,,,29568,1004,1706,0.9667155342764215,0.9666838183317782,238008,40,988,6179,9002
22,22,3,2,30,4,,,,29698,1276,1576,0.9586184635248547,0.9586021123030052,238001,1520,995,3465,4641
23,26,28,28,27,1,,,,29591,1029,1683,0.9659818731906814,0.9659502206638345,238371,202,625,6083,8984
24,28,25,2,15,5,,,,29696,1189,1578,0.961260203840509,0.9612423940093413,238042,1594,954,3532,5055
25,21,1,27,14,4,,,,29481,979,1793,0.9673424709314917,0.9673240128295159,236564,522,2432,3601,5239
26,26,7,1,5,2,,,,29609,1160,1665,0.9619839436500742,0.9619547820333432,237859,271,1137,6395,8277
27,21,30,30,30,3,,,,29606,1045,1668,0.9655140026598434,0.9654835515479181,238390,211,606,5830,8643
28,11,2,10,30,4,,,,29587,1861,1687,0.940927067737081,0.940912650758023,237119,841,1877,2978,4092
29,13,15,29,1,4,,,,29513,1791,1761,0.9428049349271964,0.9427901585806252,236405,663,2591,2838,4194
30,8,29,2,14,4,,,,29771,2982,1503,0.90977654536109,0.9097613673684747,238389,1889,607,2770,4308
31,24,7,2,6,3,,,,29682,1182,1592,0.9614475158880805,0.9614187700102373,238627,277,369,6001,8159
32,15,26,30,28,2,,,,29602,1783,1672,0.9432561423812678,0.9432271040769187,238417,236,579,5642,8242
33,30,2,28,20,3,,,,29565,995,1709,0.9669892471711516,0.9669567067951546,238211,88,785,6405,9236
34,26,30,23,2,1,,,,29552,988,1722,0.9671840778564855,0.9671528093596282,237907,41,1089,6052,8875
35,30,22,1,30,4,,,,29752,1331,1522,0.9570615456968581,0.9570418262853753,238394,2011,602,3985,5597
36,30,2,30,12,4,,,,29471,926,1803,0.9689773378127697,0.9689584569254843,236563,543,2433,3579,5359
37,21,30,2,27,2,,,,29690,1237,1584,0.9597872110697829,0.9597562913708061,238832,367,164,6130,8776
38,19,20,17,1,4,,,,29505,1612,1769,0.9480998478798617,0.9480834297170048,236489,641,2507,3087,4660
39,28,23,29,30,1,,,,29596,985,1678,0.9673520323348432,0.9673199253137885,238357,188,639,6181,9113
