observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,29635,1835,1639,0.9418078133660119,0.9417794515181582,238501,242,495,5510,8050
2,5,2,26,19,4,,,,29547,2722,1727,0.9162116152078662,0.9161967789667095,236853,744,2143,2809,4211
3,1,30,25,7,1,,,,29695,3976,1579,0.8831736314303338,0.8831438743909584,238617,273,379,5532,8446
4,6,10,16,13,2,,,,29679,2715,1595,0.916822152751177,0.9167976171103753,238590,246,406,4843,6964
5,19,5,9,11,3,,,,29651,1668,1623,0.9467688014279283,0.9467412675346393,238553,201,443,5541,7815
6,24,6,16,18,1,,,,29614,1002,1660,0.9668564204829646,0.966826793802393,238382,156,614,5812,8409
7,19,6,2,29,5,,,,29712,1877,1562,0.9407682053782609,0.9407529181661072,237977,1469,1019,3149,4339
8,25,10,3,21,3,,,,29683,1190,1591,0.9612052969752942,0.9611757407589409,238758,323,238,6012,8389
9,4,15,2,28,2,,,,29731,3179,1543,0.9043023023802456,0.9042740849840394,238855,409,141,5418,8009
10,20,10,16,17,1,,,,29626,1037,1648,0.9657958443329827,0.9657674225905435,238428,190,568,5608,8067
11,30,24,29,27,3,,,,29588,1043,1686,0.9655441579487702,0.9655114484586493,238342,187,654,6285,9284
12,28,3,6,2,2,,,,29633,998,1641,0.9670126413578446,0.9669836523784483,238355,135,641,6003,8228
13,12,9,25,11,2,,,,29635,1806,1639,0.9426592182751515,0.942632847041464,238400,185,596,5258,7485
14,17,5,25,3,5,,,,29566,1647,1708,0.9471965021070524,0.9471811409074695,237049,818,1947,2927,4360
15,24,6,1,25,4,,,,29746,1283,1528,0.958500220726367,0.9584824884058394,238268,1823,728,3701,5033
16,22,24,3,11,1,,,,29679,1204,1595,0.9607708697923849,0.9607409365924638,238730,314,266,5942,8496
17,26,19,10,2,2,,,,29605,985,1669,0.9673673231454518,0.9673378162540512,238244,124,752,5852,8375
18,10,22,20,27,3,,,,29658,2159,1616,0.9324614681316249,0.932434011748976,238539,254,457,5398,7793
19,4,22,23,17,4,,,,29738,3312,1536,0.9007562742166468,0.9007415683342939,237986,1712,1010,2611,4174
20,15,16,13,1,1,,,,29536,1711,1738,0.9452264082228554,0.9451994521361562,237561,20,1435,5460,7651
21,1,20,10,16,5,,,,29763,4349,1511,0.8739624210547335,0.8739476940331151,238152,1790,844,2614,4180
22,8,13,23,7,1,,,,29668,2778,1606,0.9150418720791942,0.9150165542855698,238519,208,477,4944,7186
23,9,5,28,25,4,,,,29621,2427,1653,0.9247165068499138,0.9247030552306461,237236,976,1760,2560,3818
24,27,25,6,27,3,,,,29664,1017,1610,0.9664788488267304,0.966447830477848,238691,288,305,6003,8804
25,25,27,10,4,2,,,,29620,999,1654,0.966959496737083,0.9669294930729437,238434,156,562,5887,8516
26,13,25,26,1,3,,,,29541,1820,1733,0.9420184022199504,0.9419913052048147,237675,94,1321,5374,7691
27,13,7,4,11,5,,,,29703,1877,1571,0.9407459583681195,0.940732372866837,237835,1344,1161,2746,3856
28,10,16,22,11,5,,,,29658,2229,1616,0.9304546484143872,0.9304408691365045,237523,1304,1473,2651,3911
29,29,8,15,10,2,,,,29614,964,1660,0.9680333892086539,0.9680026985183864,238390,156,606,6002,8711
30,2,19,16,2,2,,,,29623,3867,1651,0.8857048204730775,0.885678854408645,237997,143,999,5006,7370
31,28,8,5,15,5,,,,29644,977,1630,0.967681071330408,0.9676645474712238,237622,1202,1374,3246,4690
32,8,21,23,8,4,,,,29687,2874,1587,0.9124562090482757,0.9124426411630479,237710,1349,1286,2541,3851
33,12,19,20,17,1,,,,29642,1831,1632,0.9419422657585143,0.9419146050296324,238498,236,498,5429,7851
34,26,10,6,2,3,,,,29643,993,1631,0.9671843167553926,0.9671558633040552,238396,163,600,5777,8076
35,21,1,16,7,4,,,,29503,986,1771,0.9671624372637658,0.9671446697111291,236768,606,2228,3512,5043
36,6,21,12,29,1,,,,29693,2873,1581,0.9125031960506649,0.9124764865887296,238695,316,301,5099,7581
37,11,4,28,27,2,,,,29607,1823,1667,0.9420916107485058,0.9420645701047446,238314,137,682,5434,7675
38,20,25,17,16,2,,,,29613,1058,1661,0.9651253818882471,0.9650953782241078,238457,214,539,5777,8516
