observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,29635,1835,1639,0.9418078133660119,0.9417794515181582,238501,242,495,5510,8050
2,5,2,26,19,4,,,,29547,2722,1727,0.9162116152078662,0.9161967789667095,236853,744,2143,2809,4211
3,1,30,25,7,1,,,,29695,3976,1579,0.8831736314303338,0.8831438743909584,238617,273,379,5532,8446
4,6,10,16,13,2,,,,29679,2715,1595,0.916822152751177,0.9167976171103753,238590,246,406,4843,6964
5,19,5,9,11,3,,,,29651,1668,1623,0.9467688014279283,0.9467412675346393,238553,201,443,5541,7815
6,24,6,16,18,1,,,,29614,1002,1660,0.9668564204829646,0.966826793802393,238382,156,614,5812,8409
7,19,6,2,29,5,,,,29712,1877,1562,0.9407682053782609,0.9407529181661072,237977,1469,1019,3149,4339
8,25,10,3,21,3,,,,29683,1190,1591,0.9612052969752942,0.9611757407589409,238758,323,238,6012,8389
9,4,15,2,28,2,,,,29731,3179,1543,0.9043023023802456,0.9042740849840394,238855,409,141,5418,8009
10,20,10,16,17,1,,,,29626,1037,1648,0.9657958443329827,0.9657674225905435,238428,190,568,5608,8067
11,30,22,10,1,2,,,,29546,991,1728,0.9670807620122455,0.9670502157736255,237704,39,1292,6102,8670
12,28,22,10,3,2,,,,29624,951,1650,0.9684533449627939,0.9684229678382977,238395,144,601,6003,8622
13,30,21,11,5,2,,,,29627,1025,1647,0.9661679782836406,0.9661366569386196,238483,171,513,6133,8890
14,29,22,30,1,2,,,,29524,942,1750,0.9685665320305386,0.9685348407483716,237649,30,1347,6178,8995
15,29,22,10,3,2,,,,29620,952,1654,0.968415656292871,0.9683850889149854,238395,144,601,6042,8676
16,24,18,30,8,4,,,,29560,993,1714,0.9670426879337543,0.9670256144536674,237112,1015,1884,3152,4846
17,25,26,20,8,4,,,,29569,987,1705,0.967244088718615,0.9672265642675313,237201,1017,1795,3244,4974
18,25,26,29,8,4,,,,29556,985,1718,0.9672839663748058,0.9672664207844567,237108,1003,1888,3245,4980
19,24,25,30,9,4,,,,29571,1004,1703,0.966720694838468,0.966703469860312,237180,1110,1816,3175,4889
20,13,26,30,8,4,,,,29613,1871,1661,0.9406984796599726,0.9406833721315755,237368,1189,1628,2827,4288
21,27,15,5,2,3,,,,29638,968,1636,0.9679496893468709,0.9679209469922385,238310,167,686,5812,8158
22,27,16,6,1,3,,,,29586,958,1688,0.968172625709293,0.9681438551689734,237852,128,1144,5781,8166
23,15,17,7,1,3,,,,29571,1716,1703,0.9451607933584644,0.9451343587069804,237873,117,1123,5337,7503
24,16,16,6,1,3,,,,29588,1684,1686,0.9461487002446914,0.9461223431038476,237925,130,1071,5321,7481
25,28,16,6,2,3,,,,29635,962,1639,0.9681305850860522,0.9681010500089644,238349,163,647,5928,8383
26,21,22,13,5,2,,,,29638,1024,1636,0.9662179079253471,0.9661884891142194,238477,180,519,5732,8350
27,21,21,13,4,2,,,,29631,1015,1643,0.9664837487474951,0.9664546470253496,238399,148,597,5705,8260
28,21,21,13,4,2,,,,29631,1015,1643,0.9664837487474951,0.9664546470253496,238399,148,597,5705,8260
29,22,21,12,5,2,,,,29635,1017,1639,0.9664288667916322,0.966399099182624,238487,180,509,5823,8449
30,21,21,13,5,2,,,,29639,1024,1635,0.9662196391745519,0.966190311966908,238477,180,519,5724,8324
31,29,24,19,13,1,,,,29607,978,1667,0.9675875966296696,0.9675555847353096,238419,185,577,6182,9086
32,28,28,19,14,1,,,,29609,976,1665,0.967652958712733,0.9676210701307549,238424,189,572,6128,9051
33,29,24,18,14,1,,,,29606,981,1668,0.9674929429811175,0.9674610156438195,238425,188,571,6169,9062
34,29,28,21,13,1,,,,29600,978,1674,0.9675757520286402,0.9675434371381416,238399,184,597,6210,9172
35,28,13,19,13,1,,,,29612,964,1662,0.9680300333835024,0.9679990890220491,238410,179,586,6037,8783
36,26,19,24,3,2,,,,29589,995,1685,0.9670303093686474,0.966999534121318,238240,118,756,5978,8735
37,26,19,24,3,2,,,,29589,995,1685,0.9670303093686474,0.966999534121318,238240,118,756,5978,8735
38,26,13,8,3,2,,,,29634,991,1640,0.9672308683535927,0.9672020661043749,238408,162,588,5767,8175
