observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,11443,468,675,0.9603747836785804,0.9603606143231959,89150,29,72,673,1256
2,19,23,11,11,5,4,3,5,11451,298,667,0.9740243170091474,0.9740105312191155,89195,155,27,662,1222
3,2,24,12,30,2,4,5,1,11448,1391,670,0.8926608122839113,0.8926479515632596,89163,34,59,554,1140
4,12,26,22,29,4,1,1,3,11441,302,677,0.9736606952895621,0.9736449691100987,89198,29,24,756,1394
5,27,10,28,28,3,4,4,1,11436,118,682,0.9888217146493642,0.9888056049045479,89146,26,76,831,1428
6,18,24,10,12,4,5,4,5,11438,294,680,0.9742992166763773,0.9742892778212071,89015,155,207,481,881
7,29,2,28,26,3,1,1,1,11431,118,687,0.9888083263698945,0.9887897234502853,89183,9,39,973,1649
8,3,26,25,29,1,2,2,3,11448,1138,670,0.9102590198972063,0.9102448279791538,89205,34,17,636,1258
9,1,16,29,7,5,5,3,4,11457,1398,661,0.8922716518201345,0.8922613632436132,89201,198,21,411,912
10,22,12,17,30,1,4,5,3,11441,197,677,0.9822624403310555,0.9822466464635886,89145,26,77,805,1400
11,30,23,1,1,1,3,1,5,11435,111,683,0.9894059584129358,0.9893896230414414,89115,63,107,906,1448
12,16,5,30,23,4,4,4,1,11429,285,689,0.9749976113454267,0.974984412184758,89015,23,207,598,1170
13,28,30,15,30,2,2,5,2,11436,118,682,0.9888217146493642,0.9888054582472072,89146,26,76,840,1441
14,24,1,1,30,3,3,2,2,11445,205,673,0.9816147713082021,0.9815965745166134,89218,40,4,1002,1613
15,28,2,25,2,3,1,2,5,11431,118,687,0.9888083263698945,0.9887904905809908,89183,21,39,954,1581
16,8,8,14,20,1,2,4,3,11442,394,676,0.9662512962731514,0.9662368110404175,89154,31,68,716,1284
17,20,30,30,5,5,4,4,1,11428,285,690,0.9749938145737175,0.9749805364437114,89009,22,213,607,1177
18,26,30,2,28,3,5,1,4,11453,134,665,0.9875302001617573,0.9875158503050302,89218,210,4,746,1272
19,5,26,1,1,2,1,1,4,11441,841,677,0.9317746475202626,0.9317607489168918,89102,52,120,718,1232
20,26,2,7,2,5,3,5,3,11423,110,695,0.9894583661766871,0.9894446593559927,88986,16,236,651,1215
21,4,21,25,11,4,1,1,3,11447,844,671,0.9315941189204676,0.9315793742170538,89202,31,20,690,1307
22,25,1,2,29,4,4,3,3,11442,211,676,0.9811100726271834,0.9810934100970059,89206,31,16,858,1477
23,17,29,1,2,2,2,3,2,11441,290,677,0.9746361193790816,0.9746195922249109,89159,14,63,843,1465
24,25,28,27,28,4,5,5,4,11436,197,682,0.9822463861475431,0.9822363006350321,89012,152,210,500,894
25,21,1,28,3,1,2,4,2,11426,287,692,0.9748231821245446,0.9748074446637471,89058,6,164,834,1395
26,10,2,3,22,3,4,2,2,11443,311,675,0.9729383196386788,0.9729223114258677,89208,32,14,806,1419
27,23,25,29,1,2,1,4,4,11439,194,679,0.9825040583369837,0.9824893700402395,89120,37,102,791,1302
28,6,30,18,30,2,5,1,5,11454,853,664,0.9309757933289009,0.930963789989626,89202,186,20,554,1064
29,10,30,7,6,5,2,5,1,11429,303,689,0.9735325885114807,0.9735193555068102,89046,27,176,606,1173
30,23,12,21,26,5,2,5,3,11428,190,690,0.9828001375988993,0.982786408215537,89015,26,207,638,1217
31,14,30,11,2,5,2,5,4,11432,300,686,0.9737881312331128,0.9737761843005075,89024,47,198,581,1059
32,29,7,26,27,1,5,2,1,11438,119,680,0.9887432984504098,0.9887260154468674,89195,26,27,888,1532
33,13,1,2,15,5,5,2,2,11443,305,675,0.9734249791585143,0.9734090611963745,89212,37,10,809,1411
34,29,28,2,29,5,5,4,5,11438,143,680,0.9867371076300883,0.9867264354882143,89068,194,154,544,946
35,27,9,5,1,1,1,1,5,11440,119,678,0.9887486625100043,0.9887325866091897,89188,52,34,863,1425
36,11,8,23,16,1,2,2,2,11442,310,676,0.9730154464713946,0.9729995510719226,89198,29,24,776,1409
37,30,28,3,1,1,5,5,4,11441,113,677,0.9892540431360071,0.9892404491286516,89106,127,116,735,1205
38,29,30,28,30,5,2,1,5,11437,120,681,0.9886568547278667,0.9886409593283947,89195,53,27,821,1409
39,29,2,3,26,5,2,5,3,11421,116,697,0.988949329010739,0.9889352386246917,88997,22,225,674,1249
40,11,24,6,28,2,5,4,5,11449,316,669,0.9725570545851787,0.9725456153125991,89152,174,70,579,1014
41,9,4,1,24,5,4,3,4,11453,317,665,0.9724920522783468,0.9724796992177209,89211,212,11,610,1095
42,30,30,26,5,1,4,5,5,11446,115,672,0.9890996825133467,0.9890863254140032,89146,150,76,720,1184
43,29,6,24,30,2,1,2,2,11438,119,680,0.9887432984504098,0.9887258462268589,89194,23,28,898,1547
44,9,16,18,1,3,1,1,3,11440,377,678,0.9676038778586183,0.9675881178351532,89163,11,59,780,1397
45,28,28,2,23,3,1,1,2,11441,124,677,0.9883328179017732,0.9883146549541862,89218,40,4,947,1610
46,15,17,7,1,5,2,1,2,11429,302,689,0.9736138631573746,0.9735976293178854,89128,2,94,793,1439
47,27,4,30,30,3,1,1,5,11437,121,681,0.9885731079072019,0.9885568402237109,89193,47,29,877,1442
48,30,30,5,30,3,3,4,1,11439,105,679,0.989919934091877,0.989903316687035,89156,28,66,860,1473
49,28,27,30,3,2,3,4,5,11438,119,680,0.9887432984504098,0.9887283732456535,89145,50,77,813,1323
50,30,4,12,12,1,4,5,1,11434,105,684,0.9899070003411083,0.9898906988136157,89135,23,87,842,1445
51,29,3,29,3,4,5,4,2,11419,113,699,0.989195857141372,0.9891822856966844,88985,21,237,644,1203
52,22,30,4,29,3,5,1,1,11445,200,673,0.982027481324746,0.9820105931678904,89207,33,15,862,1497
53,28,1,1,20,1,3,5,5,11447,123,671,0.9884327378731987,0.9884177901057747,89164,105,58,848,1325
54,30,28,9,2,5,1,5,2,11420,101,698,0.9902071804760972,0.9901931577780534,88984,11,238,660,1243
55,27,14,25,30,1,1,3,5,11440,121,678,0.988581195872155,0.9885650297206693,89195,53,27,861,1433
56,30,1,28,28,5,1,4,5,11407,102,711,0.9900895567988697,0.990076335075533,88891,15,331,683,1172
57,24,24,2,1,1,5,5,5,11445,201,673,0.9819449115606103,0.9819320169959569,89112,137,110,691,1143
58,29,30,17,24,2,5,1,1,11438,119,680,0.9887432984504098,0.9887260267282013,89195,26,27,888,1531
59,24,11,23,5,5,3,1,1,11439,194,679,0.9825040583369837,0.9824874973388114,89191,22,31,821,1468
60,26,9,1,28,1,3,4,2,11442,200,676,0.9820177968196424,0.9820013824788107,89172,37,50,846,1455
61,26,22,28,25,5,5,5,4,11436,120,682,0.9886541646927011,0.9886439550855171,89012,153,210,510,905
62,23,3,4,1,3,1,1,4,11440,198,678,0.9821765857344001,0.9821606677722603,89181,49,41,857,1411
63,28,1,16,30,1,2,3,1,11428,118,690,0.9888002879530415,0.9887815722200932,89181,7,41,985,1659
64,28,28,2,11,5,5,4,1,11429,133,689,0.9875470054747552,0.9875324638353518,89068,35,154,704,1289
65,30,7,30,4,1,2,4,5,11439,107,679,0.9897520558185895,0.9897369049871552,89143,50,79,824,1343
66,27,24,2,16,5,1,4,4,11431,137,687,0.9872182399170912,0.9872055484164483,89072,95,150,645,1125
67,24,2,27,30,2,4,4,1,11436,195,682,0.9824117710729732,0.9823960900188453,89127,21,95,807,1390
68,22,27,28,1,1,3,2,2,11431,196,687,0.9823130374105642,0.9822959574710322,89126,2,96,877,1514
69,22,2,7,3,1,5,1,5,11449,204,669,0.9817102972826974,0.9816958458939652,89198,151,24,740,1281
70,30,12,21,7,4,5,4,1,11422,104,696,0.9899599925115965,0.9899461728775629,89004,23,218,649,1225
71,30,3,7,11,5,4,4,1,11419,103,699,0.9900363449720476,0.9900225930260175,88998,24,224,647,1219
72,26,29,26,30,1,1,2,5,11443,199,675,0.9821036225316526,0.9820877384135145,89195,53,27,838,1408
73,23,17,30,1,2,4,3,2,11428,195,690,0.9823861633814439,0.9823693203499239,89095,2,127,861,1493
74,27,30,2,5,1,1,1,4,11443,128,675,0.9880037368523754,0.9879877173582304,89217,109,5,867,1420
75,24,4,30,28,5,5,4,2,11425,189,693,0.9828734833208306,0.982860024689482,89005,23,217,626,1193
76,30,2,1,1,5,2,2,5,11434,133,684,0.9875609128331095,0.9875457394390075,89083,102,139,846,1345
77,25,28,29,29,2,3,2,2,11441,198,677,0.9821798021733124,0.9821627447964482,89195,26,27,867,1512
78,20,23,1,15,1,1,3,1,11446,298,672,0.9740049763944627,0.9739878062042594,89211,37,11,873,1522
79,23,11,30,1,3,3,5,2,11429,193,689,0.9825549006526868,0.9825390165345487,89076,2,146,825,1408
80,30,7,10,30,4,5,3,1,11435,107,683,0.9897416544914449,0.9897247550532553,89195,26,27,839,1498
81,27,10,22,5,4,5,1,5,11444,128,674,0.9880064785045568,0.9879922753051705,89195,153,27,702,1259
82,23,29,3,27,2,2,5,1,11443,198,675,0.9821862334278069,0.9821700334323193,89164,31,58,825,1436
83,28,2,1,18,4,1,1,1,11443,148,675,0.9863345728239526,0.9863153607123125,89219,41,3,1088,1703
84,29,21,30,28,3,4,1,2,11439,119,679,0.9887459807073955,0.9887285397651785,89195,26,27,896,1546
85,23,24,1,2,4,5,1,3,11437,214,681,0.9808461845880996,0.9808295784645915,89132,22,90,880,1472
86,30,25,27,29,5,4,3,1,11435,107,683,0.9897416544914449,0.9897247663345893,89195,26,27,839,1497
87,13,15,3,1,1,2,5,4,11438,303,680,0.9735677794857913,0.9735538244757509,89128,41,94,726,1237
88,22,1,30,3,4,4,1,2,11438,191,680,0.9827490510173746,0.9827321064538495,89183,10,39,858,1502
89,27,5,5,24,4,5,4,5,11433,122,685,0.988478557459369,0.9884682914455155,89017,158,205,517,910
90,24,30,9,11,5,2,1,2,11440,194,678,0.9825072485674633,0.9824905860372858,89195,26,27,822,1477
91,30,8,28,26,3,2,3,1,11439,108,679,0.9896681380327068,0.9896505842771508,89195,26,27,901,1556
92,26,29,1,6,1,1,5,4,11444,201,674,0.9819416772634683,0.9819270115293919,89171,79,51,799,1300
93,15,11,1,22,1,5,1,2,11444,316,674,0.9725371287549417,0.9725197103753925,89219,41,3,889,1544
94,15,16,27,2,1,3,5,1,11433,302,685,0.9736294842906122,0.9736141868018372,89099,4,123,775,1356
95,29,3,15,3,2,5,1,5,11444,126,674,0.9881736919909923,0.9881586990982326,89192,143,30,774,1329
96,30,6,29,5,3,1,5,1,11436,106,682,0.9898282081997521,0.98981185026559,89140,22,82,851,1450
97,23,29,7,28,2,4,2,4,11452,205,666,0.9816375826960232,0.9816232666832978,89199,159,23,722,1269
98,30,1,2,19,2,2,3,3,11436,111,682,0.9894085869868029,0.9893901758498701,89208,34,14,1012,1632
99,22,21,1,1,4,2,2,1,11429,209,689,0.9812321851711941,0.9812162220837187,88968,1,254,874,1415
100,23,1,30,30,1,4,4,4,11441,200,677,0.9820145675651084,0.9820016391564533,89091,123,131,700,1146
101,26,3,29,3,5,3,3,3,11437,115,681,0.9890758017593563,0.9890589700091701,89193,21,29,849,1492
102,16,27,2,29,5,2,4,5,11437,305,681,0.9734014666131042,0.9733892376471512,89081,92,141,602,1084
103,30,25,23,21,1,4,1,1,11439,108,679,0.9896681380327068,0.9896507083718237,89195,26,27,894,1545
104,12,1,5,13,1,1,4,3,11426,303,692,0.9735208464331785,0.973505718164412,89040,10,182,798,1341
105,29,17,3,1,4,5,1,1,11418,131,700,0.9876837958613817,0.9876675620218924,88988,1,234,847,1439
106,26,3,2,29,5,5,2,5,11451,142,667,0.9868574137113802,0.9868438873920282,89211,193,11,681,1199
107,22,28,28,3,1,2,3,2,11442,198,676,0.9821830180710688,0.9821661073515453,89186,21,36,865,1499
108,30,30,10,22,4,1,4,5,11424,105,694,0.9898810998909954,0.9898685212036914,89005,53,217,628,1115
109,29,7,29,19,5,1,1,2,11435,119,683,0.9887352489520358,0.9887181464498359,89194,23,28,850,1516
110,27,2,18,1,1,5,5,5,11436,124,682,0.9883192350637273,0.9883060359030585,89113,128,109,713,1170
111,30,30,27,1,4,1,3,1,11425,105,693,0.9898836919152713,0.9898667699144139,89098,1,124,860,1500
112,26,4,2,30,4,2,1,5,11445,147,673,0.9864236390025617,0.9864086573911359,89216,146,6,798,1328
113,23,3,18,6,1,5,4,2,11438,196,680,0.9823354815659655,0.9823197328238342,89134,23,88,802,1396
114,23,26,23,28,2,5,5,5,11450,203,668,0.9817960436620565,0.9817833408800796,89145,153,77,675,1126
115,30,22,1,10,1,3,5,2,11440,110,678,0.9895029650490946,0.9894861107362407,89171,35,51,881,1494
116,30,4,2,19,5,1,5,2,11424,121,694,0.9885380125055596,0.9885237416181699,89033,29,189,689,1265
117,26,30,29,5,3,5,2,3,11441,120,677,0.9886676103123537,0.9886505303728217,89194,23,28,869,1514
118,21,21,18,30,5,2,1,5,11444,290,674,0.9746475802440537,0.974632248911277,89195,53,27,771,1359
119,18,3,19,3,1,4,1,3,11441,291,677,0.9745547593980096,0.9745380743051643,89186,21,36,841,1479
120,30,3,30,30,2,5,3,4,11445,116,673,0.989013268073148,0.988998094679046,89194,143,28,781,1345
121,30,11,29,27,5,1,4,1,11422,104,696,0.9899599925115965,0.9899460375015561,89004,26,218,654,1237
122,27,30,1,1,1,3,1,1,11423,118,695,0.9887868814996529,0.9887698354041226,88992,1,230,948,1511
123,22,1,16,6,3,5,5,5,11441,199,677,0.9820971779191661,0.982084373605184,89099,126,123,694,1135
124,22,29,17,24,4,5,1,4,11451,201,667,0.9819643059276311,0.9819503734802585,89195,153,27,681,1235
125,28,1,1,26,2,2,2,2,11437,128,681,0.9879872771910306,0.9879681778927296,89218,40,4,1078,1693
126,30,14,30,27,5,3,5,1,11422,104,696,0.9899599925115965,0.9899460262202222,89005,26,217,656,1238
127,24,30,4,2,3,3,5,3,11439,194,679,0.9825040583369837,0.9824879260294997,89140,17,82,825,1430
128,29,1,17,7,2,4,2,5,11441,125,677,0.9882491552244788,0.9882334854516849,89183,121,39,824,1389
129,22,28,17,25,3,1,1,5,11445,199,673,0.982110064976299,0.9820942034208288,89195,53,27,835,1406
130,23,2,1,21,5,1,4,3,11429,208,689,0.9813147505456519,0.9812996786835549,89048,35,174,763,1336
131,30,30,30,29,2,2,4,1,11437,106,681,0.9898308018520923,0.9898143198232572,89146,26,76,853,1461
132,27,1,1,4,5,2,5,1,11419,132,699,0.9876028554773516,0.9875881558992735,89015,30,207,775,1303
133,24,27,3,18,3,5,1,4,11454,207,664,0.9814792281840665,0.9814649798593446,89209,173,13,725,1263
134,23,9,27,13,5,1,1,5,11443,195,675,0.9824341495243655,0.9824186715342479,89195,53,27,790,1372
135,22,4,10,29,4,4,5,3,11426,189,692,0.9828766475183784,0.9828632114496977,89002,23,220,623,1191
136,30,30,30,2,4,5,4,3,11419,103,699,0.9900363449720476,0.990022649432687,88988,15,234,648,1214
137,22,3,1,27,4,3,1,4,11448,235,670,0.97915615351061,0.9791410703671791,89220,191,2,813,1337
138,28,28,14,30,3,1,5,2,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
139,28,1,24,12,1,1,3,4,11428,118,690,0.9888002879530415,0.9887814819694221,89176,15,46,1021,1667
140,24,15,10,4,4,5,1,5,11449,201,669,0.9819578433121545,0.9819438770207802,89194,150,28,685,1238
141,30,30,30,29,5,5,4,1,11422,104,696,0.9899599925115965,0.9899462067215646,89005,26,217,648,1222
142,30,2,1,2,4,2,3,4,11438,129,680,0.9879063950485489,0.9878912103731129,89149,87,73,830,1346
