observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,11444,307,674,0.9732666345759692,0.973251833465886,89198,56,24,756,1312
2,19,22,1,30,5,2,1,1,11446,315,672,0.9726260904441992,0.9726081079979548,89220,41,2,922,1594
3,10,16,13,9,4,1,2,2,11441,306,677,0.9733359876540059,0.9733202501932084,89198,29,24,759,1395
4,14,24,6,16,3,1,4,1,11440,305,678,0.9734132258267632,0.9733980524326611,89148,26,74,755,1345
5,2,29,29,25,2,1,4,3,11448,1389,670,0.8927972598423723,0.8927840719630376,89163,34,59,579,1169
6,4,15,2,28,2,4,2,3,11450,843,668,0.9316896537694781,0.9316748526593949,89211,37,11,708,1312
7,17,6,30,24,5,5,3,5,11450,298,668,0.9740204501760895,0.9740067884807306,89195,158,27,658,1211
8,3,6,2,10,2,2,5,2,11447,1063,671,0.9156017840117228,0.9155885284443844,89155,31,67,611,1175
9,9,17,5,25,1,5,4,1,11444,379,674,0.967461048787292,0.9674462928025443,89162,31,60,722,1308
10,1,25,22,22,4,1,2,1,11451,1391,667,0.892690091303697,0.8926762829509974,89204,33,18,606,1224
11,26,19,10,2,2,2,4,4,11440,196,678,0.9823418893251037,0.9823273251230324,89137,47,85,791,1291
12,27,15,4,22,4,3,4,3,11425,115,693,0.9890439040268153,0.9890297910781003,89026,28,196,665,1251
13,16,13,1,4,1,4,2,3,11443,299,675,0.9739121257719465,0.9738948766124059,89213,35,9,873,1529
14,28,8,13,23,2,1,2,1,11438,120,680,0.9886595443072987,0.9886421710530852,89194,23,28,890,1540
15,28,25,20,27,5,1,5,3,11422,115,696,0.989035919443189,0.9890219531518147,89004,26,218,657,1238
16,25,27,10,4,2,3,5,5,11441,197,677,0.9822624403310555,0.982247785878313,89145,50,77,791,1299
17,1,16,13,7,1,2,5,2,11445,1391,673,0.892631519836776,0.8926188847428025,89126,29,96,553,1120
18,16,22,11,30,5,2,3,2,11441,290,677,0.9746361193790816,0.9746198968209263,89195,26,27,786,1438
19,9,2,19,16,1,2,5,2,11437,307,681,0.9732391154135479,0.9732244948048071,89111,14,111,745,1296
20,5,15,30,8,4,4,2,4,11453,842,665,0.9317851581504556,0.9317735835018691,89202,185,20,522,1026
21,12,19,20,17,1,5,2,1,11442,306,676,0.9733399118702893,0.9733240954401546,89198,29,24,774,1402
22,2,18,21,1,3,2,4,1,11438,1383,680,0.893109517183652,0.8930963857109866,89051,1,171,591,1164
23,21,12,29,5,2,1,5,5,11443,293,675,0.9743997602106331,0.9743853652285704,89145,53,77,764,1276
24,8,20,25,17,3,2,1,5,11447,465,671,0.9606314807168778,0.9606171534228185,89198,56,24,719,1270
25,28,19,11,11,4,5,5,4,11431,123,687,0.9883893861627215,0.988379018616863,89006,151,216,521,919
26,20,3,5,27,4,1,1,4,11441,290,677,0.9746361193790816,0.9746210249543168,89202,69,20,782,1338
27,1,5,17,21,4,2,4,2,11442,1064,676,0.9154889008372379,0.915477145687309,89076,29,146,508,1042
28,10,23,20,26,4,3,1,2,11441,306,677,0.9733359876540059,0.9733202501932084,89198,29,24,759,1395
29,8,8,30,12,5,4,4,3,11432,389,686,0.9666067469692076,0.9665940780312323,89050,29,172,573,1123
30,18,15,6,22,2,1,4,1,11441,291,677,0.9745547593980096,0.9745389655305428,89145,26,77,798,1400
31,29,29,28,12,1,5,3,5,11447,128,671,0.9880147006782406,0.9879998093174861,89195,151,27,762,1320
32,29,26,9,12,5,2,1,3,11435,119,683,0.9887352489520358,0.9887181915751716,89195,26,27,850,1512
33,29,21,18,3,4,5,1,3,11434,117,684,0.9889001707266867,0.9888834856338413,89184,21,38,839,1479
34,27,23,21,22,2,2,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
35,27,28,16,16,4,4,4,4,11431,124,687,0.9883056407170511,0.9882953408591959,89010,153,212,516,913
36,27,11,12,3,3,1,3,3,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,888,1525
37,9,18,1,2,5,2,1,3,11439,382,679,0.9671986160410047,0.9671826642348631,89141,22,81,829,1414
38,24,7,19,3,1,3,3,4,11444,199,674,0.9821068440248875,0.9820909373440815,89194,50,28,837,1410
39,22,30,16,10,4,2,3,1,11442,194,676,0.9825136274176429,0.9824969761687993,89195,26,27,819,1476
40,1,29,26,21,3,1,1,2,11451,1391,667,0.892690091303697,0.8926762829509974,89204,33,18,611,1224
41,17,22,20,9,5,4,3,4,11450,298,668,0.9740204501760895,0.9740067997620646,89195,158,27,658,1210
42,13,8,11,23,1,1,1,1,11442,307,676,0.973258775235234,0.9732427106157534,89197,26,25,790,1424
43,26,22,15,3,3,3,1,3,11440,119,678,0.9887486625100043,0.9887316051331401,89186,21,36,878,1512
44,12,19,20,2,2,4,3,5,11451,313,667,0.9728079326620837,0.9727949478467591,89189,167,33,630,1151
45,20,5,3,20,1,3,5,3,11443,294,675,0.9743184538963371,0.9743024005581904,89161,28,61,803,1423
46,12,20,14,17,5,2,5,5,11432,300,686,0.9737881312331128,0.9737763535205161,89041,56,181,570,1044
47,6,3,4,1,1,4,1,2,11429,763,689,0.9375317869951405,0.9375167151330436,89086,2,136,748,1336
48,26,1,25,9,1,4,4,5,11439,201,679,0.9819254976153605,0.9819125240813699,89092,122,130,703,1150
49,23,25,9,6,4,5,5,3,11428,190,690,0.9828001375988993,0.9827865774355455,89014,23,208,629,1202
50,12,24,11,28,5,3,4,4,11432,300,686,0.9737881312331128,0.9737763535205161,89041,56,181,570,1044
51,4,28,16,25,2,5,2,1,11448,851,670,0.9310814305861226,0.9310667648520462,89205,34,17,696,1300
52,28,3,10,29,5,3,4,3,11418,113,700,0.9891932071587854,0.9891794552127553,88985,21,237,655,1219
53,9,10,21,23,4,4,1,3,11443,306,675,0.9733438354323356,0.9733283912862197,89198,29,24,755,1369
54,2,17,14,27,2,1,1,4,11452,1390,666,0.8927680486953051,0.8927553120693265,89206,65,16,596,1129
55,19,4,3,22,1,5,4,1,11441,293,677,0.9743920801793269,0.9743762299051905,89157,28,65,793,1405
56,3,30,12,12,5,5,5,4,11447,1142,671,0.9099667874444138,0.9099590935746907,89095,205,127,323,682
57,12,3,24,17,3,5,1,3,11440,306,678,0.9733320627833213,0.973316201227851,89197,26,25,781,1406
58,1,15,2,4,1,4,4,3,11448,1386,670,0.8930020094105312,0.8929897127565748,89137,32,85,541,1090
59,29,12,9,27,2,5,1,5,11447,128,671,0.9880147006782406,0.987999831880154,89195,152,27,762,1318
60,2,27,16,30,1,3,5,3,11449,1392,669,0.8926023697739218,0.8925888434545698,89167,34,55,603,1199
61,19,21,14,19,3,5,1,2,11443,294,675,0.9743184538963371,0.97430173495949,89195,26,27,832,1482
62,29,27,14,19,2,1,3,2,11438,119,680,0.9887432984504098,0.9887258913521945,89195,26,27,897,1543
63,18,3,30,30,4,3,2,5,11441,290,677,0.9746361193790816,0.9746206075449623,89193,47,29,793,1375
64,21,5,28,25,5,4,4,3,11429,284,689,0.9750791307983041,0.9750658188242963,89009,23,213,604,1180
65,28,26,2,1,2,5,5,1,11421,116,697,0.988949329010739,0.9889334787366025,88981,1,241,852,1405
66,18,12,30,26,5,3,3,2,11442,290,676,0.9746399403052203,0.9746234244323835,89195,26,27,802,1464
67,2,26,25,30,5,3,4,5,11443,1387,675,0.89288501033103,0.8928742930638203,89105,62,117,471,950
68,26,8,14,4,5,4,2,4,11449,123,669,0.9884381485842949,0.9884240356355799,89192,149,30,695,1251
69,19,11,4,21,3,4,3,5,11454,301,664,0.9737924514506566,0.9737783497832755,89202,162,20,700,1250
70,17,17,27,13,1,1,4,4,11441,292,677,0.9744734129992249,0.9744592887691759,89148,53,74,750,1252
71,22,7,5,1,2,3,2,3,11440,195,678,0.98242456198807,0.9824075046112059,89173,13,49,872,1512
72,28,11,16,24,2,4,5,5,11445,127,673,0.9880928125205043,0.9880797600171763,89146,153,76,703,1157
73,5,28,15,8,3,5,3,2,11445,843,673,0.9316542663171777,0.9316395103324301,89202,31,20,696,1308
74,20,8,3,4,1,1,1,4,11447,297,671,0.9740900720590087,0.9740745827875572,89208,72,14,811,1373
75,6,11,27,15,4,1,1,1,11444,764,674,0.937556323835428,0.9375413309426683,89201,30,21,721,1329
76,6,9,6,3,1,3,2,2,11442,766,676,0.9373924726778194,0.9373774233783903,89191,26,31,743,1334
77,16,21,2,24,4,1,5,5,11436,305,682,0.9733975455673641,0.9733853842894147,89067,81,155,595,1078
78,2,9,25,23,1,2,2,3,11450,1156,668,0.9090014162956566,0.908987246940272,89206,34,16,671,1256
79,19,12,14,23,1,2,4,5,11443,293,675,0.9743997602106331,0.9743853652285704,89145,53,77,764,1276
80,16,16,4,14,3,2,2,2,11444,295,674,0.9742410131289276,0.974224474693423,89207,33,15,831,1466
81,1,10,7,10,1,5,3,4,11458,1328,660,0.8970737451302159,0.8970634339910267,89201,211,21,444,914
82,24,15,3,17,3,4,3,1,11445,200,673,0.982027481324746,0.9820105931678904,89209,35,13,864,1497
83,9,11,20,18,2,5,4,2,11442,311,676,0.9729343639192877,0.9729197545918808,89150,29,72,728,1295
84,4,5,8,5,1,2,1,5,11449,774,669,0.936837712443437,0.9368241184360816,89204,65,18,700,1205
85,3,16,13,30,1,2,5,5,11448,1138,670,0.9102590198972063,0.910247072964601,89162,62,60,562,1059
86,25,8,6,21,5,3,3,2,11441,194,677,0.9825104382609712,0.9824937870121275,89199,28,23,821,1476
87,24,6,10,13,3,2,1,4,11444,199,674,0.9821068440248875,0.9820909486254155,89194,51,28,838,1409
88,9,18,5,15,3,1,2,1,11447,380,671,0.9673940785036871,0.9673782959175541,89205,31,17,778,1399
89,2,30,10,25,2,4,4,3,11448,1391,670,0.8926608122839113,0.8926479515632596,89163,34,59,554,1140
90,15,13,11,28,5,5,1,4,11450,315,668,0.9726420014848718,0.972628813605537,89195,166,27,629,1169
91,29,6,2,23,3,5,1,4,11451,133,667,0.9876081099262766,0.9875932749721916,89218,209,4,776,1315
92,7,5,5,25,4,3,2,5,11449,390,669,0.966602446013282,0.9665886038165807,89204,65,18,696,1227
93,12,25,14,12,3,2,4,3,11440,305,678,0.9734132258267632,0.9733982329340035,89152,29,70,738,1329
94,7,27,12,17,5,4,1,5,11453,475,665,0.9598719388524782,0.9598599016692017,89198,180,24,547,1067
