observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,11444,307,674,0.9732666345759692,0.973251833465886,89198,56,24,756,1312
2,19,22,1,30,5,2,1,1,11446,315,672,0.9726260904441992,0.9726081079979548,89220,41,2,922,1594
3,10,16,13,9,4,1,2,2,11441,306,677,0.9733359876540059,0.9733202501932084,89198,29,24,759,1395
4,14,24,6,16,3,1,4,1,11440,305,678,0.9734132258267632,0.9733980524326611,89148,26,74,755,1345
5,2,29,29,25,2,1,4,3,11448,1389,670,0.8927972598423723,0.8927840719630376,89163,34,59,579,1169
6,4,15,2,28,2,4,2,3,11450,843,668,0.9316896537694781,0.9316748526593949,89211,37,11,708,1312
7,17,6,30,24,5,5,3,5,11450,298,668,0.9740204501760895,0.9740067884807306,89195,158,27,658,1211
8,3,6,2,10,2,2,5,2,11447,1063,671,0.9156017840117228,0.9155885284443844,89155,31,67,611,1175
9,9,17,5,25,1,5,4,1,11444,379,674,0.967461048787292,0.9674462928025443,89162,31,60,722,1308
10,1,25,22,22,4,1,2,1,11451,1391,667,0.892690091303697,0.8926762829509974,89204,33,18,606,1224
11,29,1,30,1,5,5,3,5,11436,124,682,0.9883192350637273,0.9883041293576287,89185,123,37,770,1339
12,29,1,30,1,5,5,3,5,11436,124,682,0.9883192350637273,0.9883041293576287,89185,123,37,770,1339
13,30,1,29,1,5,5,3,5,11436,113,682,0.9892408381039378,0.989225743679173,89185,122,37,769,1338
14,29,2,30,1,5,5,3,5,11436,124,682,0.9883192350637273,0.9883045242043152,89173,126,49,737,1304
15,26,2,30,4,5,5,3,5,11446,122,672,0.9885136885741429,0.9884994515307549,89194,144,28,711,1262
16,23,9,22,7,4,4,5,4,11437,197,681,0.9822495980652167,0.982239489990038,89015,152,207,501,896
17,23,10,24,7,4,4,5,4,11437,197,681,0.9822495980652167,0.982239489990038,89015,152,207,501,896
18,24,9,24,7,4,4,5,4,11436,197,682,0.9822463861475431,0.9822363006350321,89012,152,210,500,894
19,24,9,24,7,4,4,5,4,11436,197,682,0.9822463861475431,0.9822363006350321,89012,152,210,500,894
20,22,9,25,7,4,4,5,4,11438,197,680,0.9822528094422681,0.9822427352110911,89013,153,209,498,893
21,26,4,17,13,3,3,2,3,11439,119,679,0.9887459807073955,0.9887287653918566,89194,23,28,886,1526
22,27,5,16,12,3,3,2,3,11438,120,680,0.9886595443072987,0.9886421710530852,89194,23,28,890,1540
23,26,5,15,12,3,3,2,3,11441,120,677,0.9886676103123537,0.9886503837154809,89194,23,28,879,1527
24,26,5,16,12,3,3,2,3,11441,120,677,0.9886676103123537,0.9886503837154809,89194,23,28,879,1527
25,26,5,18,4,3,3,2,3,11441,120,677,0.9886676103123537,0.9886503837154809,89194,23,28,879,1527
26,20,13,11,18,3,2,1,2,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,843,1494
27,20,13,10,19,3,2,1,2,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,843,1494
28,20,12,11,19,3,2,1,2,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,843,1494
29,20,13,12,19,3,2,1,2,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,842,1494
30,19,13,11,17,3,2,1,2,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,843,1494
31,30,3,20,12,2,3,3,4,11438,108,680,0.9896655314671763,0.9896490043130056,89193,47,29,892,1465
32,30,3,19,12,2,3,3,4,11438,108,680,0.9896655314671763,0.9896490043130056,89193,47,29,892,1465
33,30,3,19,13,2,3,3,4,11438,108,680,0.9896655314671763,0.9896490043130056,89193,47,29,892,1465
34,28,4,18,14,2,3,3,4,11438,120,680,0.9886595443072987,0.9886433217491435,89194,50,28,870,1438
35,28,4,19,14,2,3,3,4,11438,120,680,0.9886595443072987,0.9886433217491435,89194,50,28,870,1438
36,29,19,27,10,1,3,4,5,11438,118,680,0.9888270667851622,0.9888120964550704,89146,53,76,820,1327
37,30,7,27,10,1,3,4,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
38,30,7,27,10,1,3,4,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
39,30,7,20,10,1,3,4,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
40,30,7,27,9,1,3,4,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
41,13,7,27,9,1,4,4,5,11449,314,669,0.9727190083346786,0.9727074788114278,89149,171,73,587,1022
42,13,7,27,9,1,4,4,5,11449,314,669,0.9727190083346786,0.9727074788114278,89149,171,73,587,1022
43,13,7,27,9,1,4,4,5,11449,314,669,0.9727190083346786,0.9727074788114278,89149,171,73,587,1022
44,12,7,27,9,1,4,4,5,11449,314,669,0.9727190083346786,0.9727075577807651,89149,172,73,582,1015
45,12,7,26,9,1,4,4,5,11449,314,669,0.9727190083346786,0.9727075577807651,89149,172,73,582,1015
46,16,10,22,5,1,3,4,5,11441,293,677,0.9743920801793269,0.9743779785119457,89146,53,76,748,1250
47,28,11,22,5,1,3,4,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
48,7,11,21,5,1,3,4,5,11445,393,673,0.9663446924921476,0.9663316963954891,89157,64,65,673,1152
49,6,11,21,4,1,3,4,5,11445,767,673,0.937337225186976,0.9373243080596549,89156,61,66,664,1145
50,8,10,21,5,1,3,4,5,11445,395,673,0.9661847983548266,0.9661716330381596,89155,63,67,684,1167
51,30,30,14,15,2,2,5,4,11439,107,679,0.9897520558185895,0.989736927549823,89146,53,76,825,1341
52,30,26,25,15,2,2,5,4,11439,107,679,0.9897520558185895,0.989736927549823,89146,53,76,825,1341
53,30,30,14,16,2,2,5,4,11439,107,679,0.9897520558185895,0.989736927549823,89146,53,76,825,1341
54,30,30,14,15,2,2,5,4,11439,107,679,0.9897520558185895,0.989736927549823,89146,53,76,825,1341
55,28,29,14,15,2,2,5,4,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
56,27,26,25,11,1,1,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
57,27,26,29,22,1,2,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
58,27,26,29,22,1,1,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
59,27,26,25,21,1,2,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
60,27,23,29,11,1,1,5,5,11438,119,680,0.9887432984504098,0.9887284070896553,89146,53,76,812,1320
61,25,20,24,27,2,2,4,4,11441,197,677,0.9822624403310555,0.9822478197223147,89146,53,76,790,1296
62,24,19,8,27,2,2,4,4,11442,197,676,0.9822656495469834,0.9822510740635783,89146,54,76,788,1292
63,24,15,23,28,2,2,4,4,11442,197,676,0.9822656495469834,0.9822510515009104,89146,53,76,788,1294
64,24,28,23,29,2,2,4,4,11442,197,676,0.9822656495469834,0.9822510515009104,89146,53,76,788,1294
65,24,21,23,8,2,2,4,4,11442,197,676,0.9822656495469834,0.9822510515009104,89146,53,76,788,1294
66,29,28,28,16,1,1,5,3,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
67,29,28,28,17,1,1,5,3,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
68,29,28,28,16,1,1,5,3,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
69,29,28,13,16,1,1,5,3,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
70,29,30,28,17,1,1,5,3,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
71,30,8,15,14,2,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
72,30,8,17,14,2,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
73,30,8,17,14,2,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
74,30,8,15,13,2,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
75,30,8,15,14,2,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
76,28,8,17,11,2,3,5,5,11438,119,680,0.9887432984504098,0.9887284183709891,89145,53,77,810,1319
77,28,8,17,11,2,3,5,5,11438,119,680,0.9887432984504098,0.9887284183709891,89145,53,77,810,1319
78,28,8,17,11,2,3,5,5,11438,119,680,0.9887432984504098,0.9887284183709891,89145,53,77,810,1319
79,28,8,16,11,2,3,5,5,11438,119,680,0.9887432984504098,0.9887284183709891,89145,53,77,810,1319
80,28,8,16,11,2,3,5,5,11438,119,680,0.9887432984504098,0.9887284183709891,89145,53,77,810,1319
81,25,6,13,13,3,3,4,5,11441,197,677,0.9822624403310555,0.9822477971596469,89143,50,79,789,1298
82,25,6,20,13,3,3,4,5,11441,197,677,0.9822624403310555,0.9822477971596469,89143,50,79,789,1298
83,25,6,18,8,3,3,4,5,11441,197,677,0.9822624403310555,0.9822477971596469,89143,50,79,789,1298
84,25,6,18,13,3,3,4,5,11441,197,677,0.9822624403310555,0.9822477971596469,89143,50,79,789,1298
85,25,6,18,13,3,3,4,5,11441,197,677,0.9822624403310555,0.9822477971596469,89143,50,79,789,1298
86,30,9,15,14,1,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
87,30,10,15,14,1,3,5,1,11437,106,681,0.9898308018520923,0.9898143198232572,89146,26,76,853,1461
88,30,10,26,14,1,3,5,5,11439,107,679,0.9897520558185895,0.989736927549823,89146,53,76,825,1341
89,30,9,15,14,1,3,5,5,11439,107,679,0.9897520558185895,0.9897369388311569,89145,53,77,823,1340
90,30,9,12,14,1,3,5,1,11437,106,681,0.9898308018520923,0.989814331104591,89145,26,77,851,1460
91,29,4,9,10,1,3,3,1,11436,118,682,0.9888217146493642,0.988804284988481,89194,23,28,906,1545
92,29,12,10,10,1,3,3,1,11438,119,680,0.9887432984504098,0.9887258913521945,89195,26,27,897,1543
93,29,12,9,10,1,3,3,1,11438,119,680,0.9887432984504098,0.9887258913521945,89195,26,27,898,1543
94,29,12,10,10,1,3,4,1,11436,117,682,0.9889055109258668,0.9888891755543724,89146,26,76,848,1448
