observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,11445,469,673,0.9603056868220385,0.9602903667705956,89198,29,24,735,1358
2,8,29,21,7,2,,,,11445,464,673,0.9607006693426945,0.9606851575085752,89197,26,25,748,1375
3,19,23,11,11,5,,,,11438,294,680,0.9742992166763773,0.9742892778212071,89015,155,207,481,881
4,4,8,24,3,5,,,,11445,774,673,0.9368108976195427,0.9368025268697853,89070,184,152,397,742
5,2,24,12,30,2,,,,11450,1390,668,0.8927485427536886,0.8927345877436482,89206,34,16,622,1237
6,19,11,6,6,5,,,,11438,294,680,0.9742992166763773,0.9742892439772054,89021,158,201,482,884
7,3,29,28,29,1,,,,11448,1138,670,0.9102590198972063,0.9102448279791538,89205,34,17,636,1258
8,28,2,29,25,4,,,,11426,122,692,0.9884596086302058,0.9884490944270063,88988,137,234,532,932
9,29,30,27,1,4,,,,11425,120,693,0.9886245441943293,0.9886139284591248,88959,123,263,533,941
10,27,30,5,30,4,,,,11433,123,685,0.9883948115540095,0.9883844778521527,89020,159,202,519,916
11,17,30,17,6,2,,,,11442,293,676,0.9743959205154541,0.974379314391946,89194,23,28,826,1472
12,29,1,9,29,5,,,,11422,120,696,0.9886164562834531,0.9886058631109164,88963,125,259,542,939
13,12,12,30,23,4,,,,11439,308,679,0.9731658388929442,0.9731565317924726,89039,172,183,443,825
14,9,2,2,4,4,,,,11438,312,680,0.9728374396973469,0.972827940814199,89066,184,156,482,842
15,28,6,24,1,5,,,,11426,120,692,0.9886272392502146,0.9886167363283491,88964,129,258,527,931
16,30,4,1,29,3,,,,11441,110,677,0.9895055845097099,0.9894877261581384,89210,34,12,937,1583
17,18,30,29,4,1,,,,11442,292,676,0.9744772468675692,0.9744604715240526,89186,21,36,847,1487
18,1,11,5,6,4,,,,11453,1318,665,0.8977154619005889,0.8977079259695404,89104,197,118,326,668
19,2,1,29,28,4,,,,11437,309,681,0.9730768183612628,0.9730674435727878,89018,151,204,486,831
20,30,3,23,2,3,,,,11434,107,684,0.9897390530567305,0.9897213752065015,89187,15,35,920,1567
21,30,19,30,26,4,,,,11431,112,687,0.9893115236487949,0.9893010771335989,89005,150,217,523,926
22,13,1,2,1,4,,,,11292,301,826,0.9731546516137373,0.9731450850425859,87825,146,1397,498,848
