observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,11442,306,676,0.9733399118702893,0.9733239600641478,89198,29,24,784,1414
2,5,2,26,19,4,,,,11439,768,679,0.9372219427425315,0.9372132448340907,89051,163,171,424,771
3,1,30,25,7,1,,,,11451,1395,667,0.8924173748230909,0.8924032393117081,89203,30,19,633,1253
4,6,10,16,13,2,,,,11444,767,674,0.9373305572710281,0.9373154402835955,89202,31,20,742,1340
5,19,5,9,11,3,,,,11443,294,675,0.9743184538963371,0.9743015544581475,89194,23,28,844,1498
6,24,6,16,18,1,,,,11442,198,676,0.9821830180710688,0.9821659381315367,89194,23,28,866,1514
7,19,6,2,29,5,,,,11442,313,676,0.9727722393485605,0.972762210242719,89060,186,162,490,889
8,25,10,3,21,3,,,,11444,200,674,0.9820242536993243,0.9820072188851279,89209,35,13,876,1510
9,4,15,2,28,2,,,,11450,843,668,0.9316896537694781,0.9316746608767185,89211,37,11,724,1329
10,20,10,16,17,1,,,,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,841,1494
11,30,24,29,27,3,,,,11439,108,679,0.9896681380327068,0.9896505842771508,89195,26,27,902,1556
12,28,3,6,2,2,,,,11434,118,684,0.9888163606991763,0.9887988746316237,89187,13,35,910,1550
13,12,9,25,11,2,,,,11442,307,676,0.973258775235234,0.9732428234290924,89198,29,24,783,1414
14,17,5,25,3,5,,,,11437,292,681,0.9744580711234256,0.9744483127695979,89006,153,216,473,865
15,24,6,1,25,4,,,,11444,218,674,0.9805399995887285,0.9805296094802021,89082,203,140,527,921
16,22,24,3,11,1,,,,11445,201,673,0.9819449115606103,0.9819279105904155,89209,35,13,874,1507
17,26,19,10,2,2,,,,11439,195,679,0.9824213650667143,0.9824042851271823,89174,11,48,871,1514
18,10,22,20,27,3,,,,11444,310,674,0.9730233443978887,0.9730073925917472,89198,29,24,785,1414
19,4,22,23,17,4,,,,11448,850,670,0.9311556480999479,0.9311473676008617,89075,191,147,387,734
20,15,16,13,1,1,,,,11432,304,686,0.9734630829964134,0.9734469168449277,89098,1,124,824,1433
21,1,20,10,16,5,,,,11453,1400,665,0.8920963055856306,0.892088780935916,89108,203,114,310,667
22,8,13,23,7,1,,,,11445,464,673,0.9607006693426945,0.9606851913525769,89201,28,21,748,1372
23,9,5,28,25,4,,,,11440,312,678,0.9728453686097495,0.9728362194479526,89041,172,181,452,811
24,27,25,6,27,3,,,,11439,120,679,0.9886622334311136,0.9886449165835696,89199,28,23,890,1535
25,25,27,10,4,2,,,,11440,198,678,0.9821765857344001,0.9821595960455394,89191,22,31,868,1506
26,13,25,26,1,3,,,,11437,302,681,0.9736450949978632,0.9736290642223844,89163,11,59,793,1421
27,13,7,4,11,5,,,,11441,307,677,0.9732548445820645,0.9732454133869199,89045,173,177,454,836
28,10,16,22,11,5,,,,11438,313,680,0.9727563584655657,0.9727470626464281,89043,174,179,447,824
29,29,8,15,10,2,,,,11438,119,680,0.9887432984504098,0.9887258913521945,89195,26,27,896,1543
30,2,19,16,2,2,,,,11448,1385,670,0.8930702801376115,0.8930562461582338,89180,14,42,626,1244
31,28,8,5,15,5,,,,11432,122,686,0.9884758518600499,0.9884654166261879,89009,154,213,524,925
32,8,21,23,8,4,,,,11443,467,675,0.9604537793684154,0.9604449460839678,89056,179,166,414,783
33,12,19,20,17,1,,,,11442,306,676,0.9733399118702893,0.9733239600641478,89198,29,24,784,1414
34,26,10,6,2,3,,,,11439,119,679,0.9887459807073955,0.9887288443611939,89183,17,39,881,1519
35,21,1,16,7,4,,,,11429,286,689,0.9749161055219371,0.9749058733520853,88969,130,253,513,907
36,6,21,12,29,1,,,,11445,843,673,0.9316542663171777,0.9316391380484113,89202,31,20,724,1341
37,11,4,28,27,2,,,,11439,309,679,0.9730847100056145,0.973068746918139,89196,25,26,793,1415
38,20,25,17,16,2,,,,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,842,1494
39,3,27,28,19,2,,,,11448,1138,670,0.9102590198972063,0.9102448279791538,89205,34,17,636,1258
40,11,22,27,27,4,,,,11439,311,679,0.972922492804507,0.9729132308293711,89044,173,178,442,821
41,20,3,5,27,4,,,,11435,291,683,0.9745317815821589,0.974521808882987,89016,155,206,486,884
42,1,4,20,1,1,,,,11432,1066,686,0.9152629219240377,0.9152484705353054,89091,1,131,706,1281
43,17,21,20,7,4,,,,11437,295,681,0.9742140357691665,0.9742042322900032,89016,160,206,475,869
44,8,10,23,20,5,,,,11441,398,677,0.9659270316043288,0.9659181870385474,89051,178,171,423,784
45,20,18,3,12,2,,,,11445,296,673,0.9741635982002871,0.9741467777314349,89209,35,13,851,1491
46,8,30,12,27,4,,,,11443,467,675,0.9604537793684154,0.9604449460839678,89056,179,166,414,783
47,24,16,18,15,1,,,,11442,198,676,0.9821830180710688,0.9821659832568723,89195,26,27,865,1510
