observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,11442,306,676,0.9733399118702893,0.9733239600641478,89198,29,24,784,1414
2,5,2,26,19,4,,,,11439,768,679,0.9372219427425315,0.9372132448340907,89051,163,171,424,771
3,1,30,25,7,1,,,,11451,1395,667,0.8924173748230909,0.8924032393117081,89203,30,19,633,1253
4,6,10,16,13,2,,,,11444,767,674,0.9373305572710281,0.9373154402835955,89202,31,20,742,1340
5,19,5,9,11,3,,,,11443,294,675,0.9743184538963371,0.9743015544581475,89194,23,28,844,1498
6,24,6,16,18,1,,,,11442,198,676,0.9821830180710688,0.9821659381315367,89194,23,28,866,1514
7,19,6,2,29,5,,,,11442,313,676,0.9727722393485605,0.972762210242719,89060,186,162,490,889
8,25,10,3,21,3,,,,11444,200,674,0.9820242536993243,0.9820072188851279,89209,35,13,876,1510
9,4,15,2,28,2,,,,11450,843,668,0.9316896537694781,0.9316746608767185,89211,37,11,724,1329
10,20,10,16,17,1,,,,11443,294,675,0.9743184538963371,0.9743015995834832,89195,26,27,841,1494
11,30,22,10,1,2,,,,11427,105,691,0.9898888746435289,0.9898712757626372,89126,2,96,915,1560
12,28,22,10,3,2,,,,11437,119,681,0.9887406157389317,0.988723377860725,89186,21,36,890,1528
13,30,21,11,5,2,,,,11439,108,679,0.9896681380327068,0.9896505504331491,89194,23,28,903,1559
14,29,22,30,1,2,,,,11426,116,692,0.9889626711166812,0.9889452188931304,89126,2,96,909,1547
15,29,22,10,3,2,,,,11437,118,681,0.9888243909440044,0.9888070740964604,89186,21,36,898,1535
16,13,18,7,7,4,,,,11440,309,678,0.973088654841031,0.9730792123645526,89041,170,181,453,837
17,13,17,7,7,4,,,,11440,309,678,0.973088654841031,0.9730792123645526,89041,170,181,453,837
18,14,18,7,6,4,,,,11440,309,678,0.973088654841031,0.9730791785205509,89040,170,182,455,840
19,13,17,12,7,4,,,,11440,309,678,0.973088654841031,0.9730792462085543,89037,168,185,452,834
20,13,18,7,7,4,,,,11440,309,678,0.973088654841031,0.9730792123645526,89041,170,181,453,837
21,24,26,19,11,3,,,,11442,198,676,0.9821830180710688,0.9821659832568723,89195,26,27,865,1510
22,25,26,19,1,3,,,,11436,195,682,0.9824117710729732,0.9823947249774428,89166,11,56,871,1511
23,25,26,20,12,3,,,,11441,198,677,0.9821798021733124,0.9821627447964482,89195,26,27,867,1512
24,25,26,20,11,3,,,,11441,198,677,0.9821798021733124,0.9821627447964482,89195,26,27,867,1512
25,22,25,19,11,3,,,,11443,198,675,0.9821862334278069,0.9821692098949444,89195,26,27,863,1509
26,30,22,29,1,2,,,,11427,105,691,0.9898888746435289,0.9898712644813034,89126,2,96,914,1561
27,30,21,30,1,2,,,,11427,105,691,0.9898888746435289,0.9898712644813034,89126,2,96,914,1561
28,30,22,13,1,2,,,,11427,105,691,0.9898888746435289,0.9898712644813034,89126,2,96,914,1561
29,29,22,30,1,2,,,,11426,116,692,0.9889626711166812,0.9889452188931304,89126,2,96,909,1547
30,30,21,30,1,2,,,,11427,105,691,0.9898888746435289,0.9898712644813034,89126,2,96,914,1561
31,27,13,27,4,1,,,,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,889,1525
32,27,14,27,4,1,,,,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,889,1525
33,27,15,27,4,1,,,,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,889,1525
34,27,13,26,4,1,,,,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,889,1525
35,27,14,27,4,1,,,,11437,119,681,0.9887406157389317,0.9887234117047267,89186,21,36,889,1525
36,8,29,13,25,2,,,,11445,464,673,0.9607006693426945,0.9606851913525769,89198,29,24,747,1372
37,22,28,13,9,2,,,,11443,199,675,0.9821036225316526,0.9820865877174562,89195,26,27,865,1510
38,22,29,13,22,2,,,,11443,199,675,0.9821036225316526,0.9820865877174562,89195,26,27,865,1510
39,10,29,13,9,2,,,,11444,311,674,0.9729422746989099,0.9729263567367701,89198,29,24,782,1411
40,22,28,13,22,2,,,,11443,199,675,0.9821036225316526,0.9820865877174562,89195,26,27,865,1510
41,17,24,24,15,3,,,,11442,293,676,0.9743959205154541,0.9743792579852766,89195,26,27,832,1477
42,30,24,23,14,5,,,,11431,112,687,0.9893115236487949,0.9893010771335989,89005,150,217,523,926
43,16,24,24,2,3,,,,11439,292,679,0.9744657433421303,0.9744492274692935,89179,15,43,827,1464
44,30,24,23,15,5,,,,11431,112,687,0.9893115236487949,0.9893010771335989,89005,150,217,523,926
45,30,24,22,2,3,,,,11436,107,682,0.9897442554848759,0.9897267694173233,89179,15,43,904,1550
46,28,20,29,2,2,,,,11436,117,682,0.9889055109258668,0.988888148952987,89174,11,48,893,1539
47,28,20,29,2,2,,,,11436,117,682,0.9889055109258668,0.988888148952987,89174,11,48,893,1539
