observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,38956,5690,2884,0.8736511513374783,0.8735086686367024,324388,6189,9242,26250,43488
2,19,23,11,11,5,4,3,5,39036,4110,2804,0.9052900889334571,0.9051853860345265,324212,16600,9418,19147,31957
3,2,24,12,30,2,4,5,1,39460,8629,2380,0.8227000155533253,0.8225384676659275,328924,9374,4706,28758,49307
4,12,26,22,29,4,1,1,3,38517,5003,3323,0.8857251922440119,0.8855661278437184,324596,5045,9034,31214,48549
5,27,10,28,28,3,4,4,1,37108,3308,4732,0.9175046879079667,0.9173600002113846,312471,3139,21159,28940,44161
6,18,24,10,12,4,5,4,5,38802,3659,3038,0.914094181713499,0.9140383360173363,317802,17169,15828,10224,17045
7,29,2,28,26,3,1,1,1,37001,3523,4839,0.9124712209422762,0.912272790977923,318625,2235,15005,42830,60564
8,2,25,28,30,1,4,1,1,39518,8869,2322,0.8189230533947446,0.8187549003490326,331229,9389,2401,31558,51323
9,22,12,17,30,1,4,5,3,37615,3350,4225,0.9178307814310986,0.9176913719637051,315606,3674,18024,27245,42550
10,13,30,23,19,3,3,5,1,38254,4645,3586,0.8921628944755121,0.8920229706183094,319838,4902,13792,27047,42707
11,30,23,1,1,1,3,1,5,30824,2469,11016,0.9211109032588511,0.9210047849688532,251024,6651,82606,26612,32389
12,22,1,23,29,4,1,5,5,35693,2562,6147,0.9312828915612353,0.9311773269774651,302053,3336,31577,22634,32220
13,12,20,30,2,5,1,5,2,37622,4225,4218,0.8990399757592326,0.8989148643627134,313973,3065,19657,23234,38186
14,26,28,19,20,3,5,4,1,37307,3335,4533,0.9174011876271948,0.9172572141788828,314024,3332,19606,28880,43943
15,15,2,8,3,1,5,3,3,38273,3795,3567,0.9098875412947681,0.9097331784828578,323988,3696,9642,31396,47114
16,24,3,19,1,4,2,2,5,37500,3552,4340,0.9131250401775018,0.9129699860518989,318901,5477,14729,31943,47325
17,29,30,2,30,2,3,2,3,39413,5399,2427,0.8806870489643498,0.8804996407026597,331244,9058,2386,43333,57200
18,19,4,30,29,2,3,4,1,37494,3333,4346,0.9179073455600204,0.917773456773063,314725,3617,18905,26018,40865
19,30,23,26,17,5,5,3,5,37828,3879,4012,0.9069361869648422,0.9067856968201579,319757,11811,13873,29253,45932
20,21,21,4,3,1,4,1,1,38587,3859,3253,0.9093441372789856,0.9091903674897216,324407,4648,9223,32552,46933
21,24,1,2,17,3,4,1,4,40376,5874,1464,0.8746625998119657,0.8745608521971617,331593,26783,2037,23877,31055
22,26,30,29,3,5,3,5,1,36646,2839,5194,0.9269935065427843,0.9268640932748037,308308,2547,25322,23972,39499
23,21,12,28,30,3,1,3,4,38016,3856,3824,0.9079236977256053,0.9077743510334266,321347,7851,12283,30814,45583
24,30,8,24,8,4,5,1,5,37873,3857,3967,0.9075246452379696,0.9073760553868477,319995,11746,13635,28952,45352
25,23,27,16,22,4,5,1,2,37937,3666,3903,0.9117774721722449,0.9116047191055643,322222,3666,11408,34052,52727
26,23,19,30,14,3,3,5,1,37257,3320,4583,0.9176090197934794,0.91746645190713,313535,3354,20095,28371,43514
27,16,6,1,1,1,1,1,5,32369,2766,9471,0.917772214204502,0.9176754237348018,265163,5799,68467,23113,29542
28,17,2,11,30,5,1,5,1,37112,2903,4728,0.926606993495874,0.9264924352813637,311054,3229,22576,22227,34965
29,30,30,7,5,5,2,2,1,38477,3733,3363,0.9117210787960932,0.911556346278794,325605,4500,8025,34761,50279
30,19,30,17,26,1,5,4,5,38508,3828,3332,0.9097936780349137,0.9097200351066269,317146,15952,16484,14533,22477
31,1,2,21,1,4,2,1,1,36075,5434,5765,0.8689500481987262,0.8687906889252937,306080,876,27550,33612,48639
32,29,18,2,24,1,1,5,3,39253,5131,2587,0.8854102756584693,0.8852349965118977,328312,8785,5318,39285,53498
33,23,30,30,5,5,4,5,4,37564,3230,4276,0.9203497152511876,0.9202788899995625,310364,12848,23266,12809,21617
34,14,6,30,30,3,3,4,5,38258,4487,3582,0.8954078110043088,0.8953126718241872,317860,9179,15770,20205,29038
35,4,30,3,2,2,2,3,3,38472,7371,3368,0.8406802534976993,0.8405282365654283,322410,4176,11220,30942,46398
36,15,12,1,30,2,1,5,4,40073,6326,1767,0.8653614011629137,0.8652548241813662,330578,22196,3052,23808,32529
37,26,30,29,1,3,2,1,3,36916,3533,4924,0.9120281682207251,0.9118455631148329,315063,1859,18567,37461,55734
38,29,1,6,2,4,5,5,5,38377,3306,3463,0.9206177400929901,0.9205517081680583,315808,14335,17822,14437,20154
39,16,3,29,17,5,3,2,2,37980,3676,3860,0.9116728693067254,0.9115088706959056,322263,3706,11367,32232,50055
40,25,25,21,28,5,4,4,4,37649,3313,4191,0.9187263113610786,0.9186550044833265,311068,13573,22562,13002,21764
41,30,9,19,3,1,1,5,1,36922,3173,4918,0.920062098335655,0.9199168667619498,311890,2568,21740,30044,44327
42,18,29,25,26,5,4,3,5,38726,4162,3114,0.9033980419455134,0.9032852071006823,322456,15918,11174,20216,34439
43,22,1,8,29,5,3,3,2,37971,3540,3869,0.9145764276241535,0.9144075472246986,323832,3742,9798,36018,51545
44,13,28,6,1,5,4,1,1,34564,3369,7276,0.9093123752668296,0.9091916345455044,290760,868,42870,25512,36852
45,17,4,30,14,5,5,4,3,37566,3127,4274,0.922636196045087,0.9225137942050786,313704,3882,19926,21539,37359
46,20,1,29,2,1,3,5,1,36062,2835,5778,0.925714385460878,0.9255850147856841,305493,1391,28137,26848,39486
47,18,29,4,30,5,5,1,3,39156,4230,2684,0.9031467592725004,0.902988192880175,328838,6501,4792,31967,48397
48,30,13,28,29,3,1,5,5,36958,3318,4882,0.9169063256066894,0.9167832815985115,310994,6372,22636,26959,37555
49,29,20,3,2,5,1,5,4,38140,3771,3700,0.9100544553297837,0.9099652234415472,313631,11288,19999,19849,27235
50,26,29,25,10,1,5,1,2,37673,3735,4167,0.9096102436122293,0.909425187782915,320549,3180,13081,37193,56482
51,20,2,18,24,4,5,5,4,37733,3148,4107,0.9225631769835733,0.9224998808260979,311557,12814,22073,11695,19319
52,28,25,1,1,2,1,3,4,30868,2451,10972,0.9217239354996294,0.9216195110919968,252310,5929,81320,25760,31872
53,30,29,30,30,1,5,5,4,37264,3490,4576,0.9138771798511467,0.9137755567383348,310945,11726,22685,21245,31017
54,14,16,27,2,1,5,2,3,37896,3934,3944,0.9059483339788,0.9057996425602637,319560,3144,14070,29047,45383
55,15,5,1,8,5,2,4,1,39101,5276,2739,0.8821181845705008,0.8819634154889324,326136,7966,7494,31971,47238
56,25,1,22,28,5,1,4,1,35576,2580,6264,0.9305858694082713,0.9304673435118569,301900,1811,31730,24558,36176
57,14,29,4,3,1,3,2,5,39258,5096,2582,0.886110692284982,0.8859977296617905,327046,12133,6584,24822,34478
58,27,30,30,14,3,3,4,2,37054,3320,4786,0.9171028519438502,0.9169561984263414,312323,3123,21307,29645,44761
59,29,10,15,8,1,5,1,5,38357,3962,3483,0.9065829784478258,0.9064439523155129,321874,13103,11756,27697,42433
60,20,19,7,30,3,5,1,5,39563,4441,2277,0.8999625119879747,0.8998646534222376,327176,19043,6454,19056,29868
61,22,6,21,25,5,1,5,1,37206,2980,4634,0.9250833186636791,0.924956752559674,311725,3434,21905,22917,38630
62,30,27,4,3,2,5,2,2,38463,4574,3377,0.8942167797408509,0.8940515918083702,323847,4594,9783,36670,50418
63,16,24,27,6,1,1,5,5,38182,3896,3658,0.9075127087906708,0.9074110692960179,317871,9035,15759,21830,31022
64,29,1,27,2,5,5,1,3,37004,3398,4836,0.9152437401621933,0.9150525280370099,318198,2066,15432,39839,58361
65,23,29,28,30,3,4,4,4,37869,3629,3971,0.9123996141172934,0.9123141795398139,313819,13848,19811,17191,26076
66,23,6,24,26,5,3,5,1,37041,2959,4799,0.9251738400671382,0.9250469659845213,310700,3284,22930,23058,38724
67,25,30,1,1,2,4,4,3,30588,2266,11252,0.9259629251564765,0.9258581731120227,251806,1589,81824,23574,31972
68,16,15,27,3,3,1,1,5,38364,4109,3476,0.9035255016799207,0.9033912721506693,322503,8296,11127,27849,40969
69,30,4,11,5,1,5,4,1,37548,3273,4292,0.9193616866031463,0.9192185027595733,315906,3318,17724,29724,43702
70,28,29,28,17,1,4,3,1,37521,3720,4319,0.9095342930377392,0.9093439393210272,319876,3059,13754,38533,58099
71,24,1,26,1,4,5,5,3,36051,2682,5789,0.9292658822728826,0.9291492566700309,303778,1759,29852,21966,35596
72,21,22,4,30,5,1,1,4,39562,4524,2278,0.8982976802567058,0.8981868800365338,328796,15805,4834,23902,33818
73,30,28,27,18,2,1,4,2,36832,3239,5008,0.9183576278886303,0.9182079994287855,311173,2914,22457,30641,45669
74,10,27,12,1,5,5,5,3,35897,3742,5943,0.9045934508008715,0.9044935608868434,297763,2125,35867,18593,30488
75,28,14,2,5,1,4,3,4,39838,5112,2002,0.8875017265270296,0.8874037238010912,327120,21253,6510,22117,29912
76,21,4,14,1,4,5,5,4,36936,2849,4904,0.927432010666372,0.9273646026667914,305238,9413,28392,12562,20574
77,30,26,27,30,1,5,2,1,37416,3677,4424,0.9101891264801885,0.9099934552178693,319661,2955,13969,39816,59722
78,24,30,2,1,1,2,1,1,32882,2371,8958,0.9292706403947013,0.9291362601525122,272443,767,61187,32441,41015
79,18,17,29,13,1,2,5,5,37911,3589,3929,0.9133684119228657,0.9132638368022953,316271,8567,17359,22369,31918
80,26,12,10,28,5,1,5,5,37950,3197,3890,0.9219923976321195,0.9218994208550174,315454,9487,18176,18954,28378
81,28,3,13,29,2,1,3,3,37785,3640,4055,0.9119476363215094,0.9117669609964937,322146,3339,11484,37669,55145
82,10,29,4,2,4,5,1,4,38992,4926,2848,0.8886773858590169,0.8886002568749531,321202,15687,12428,14647,23541
83,30,15,30,1,2,5,1,2,35945,3282,5895,0.9151139812715414,0.9149270906760287,308527,1070,25103,38904,57042
84,18,29,27,24,1,1,5,4,37929,3619,3911,0.9127676286956873,0.9126623557086879,316458,8673,17172,22551,32131
85,13,1,22,8,5,3,3,4,37559,3617,4281,0.9118634751566428,0.9117066648976786,319897,5579,13733,33398,47861
