observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,38770,5186,3070,0.8828683908977795,0.8827436497308682,324614,10491,9016,26182,38073
2,19,22,1,30,5,2,1,1,39535,6099,2305,0.8677926130402221,0.867593422958444,332742,10390,888,43027,60796
3,10,16,13,9,4,1,2,2,38872,5422,2968,0.8785641379846545,0.8784101650605614,326948,5590,6682,30306,46995
4,14,24,6,16,3,1,4,1,38749,4701,3091,0.8924680660927086,0.8923250821075964,323657,5803,9973,27543,43641
5,2,29,29,25,2,1,4,3,39385,8945,2455,0.8171127920631034,0.8169435021176221,329078,9455,4552,31235,51670
6,4,15,2,28,2,4,2,3,39538,7781,2302,0.8375023459301132,0.837342744205433,331030,8424,2600,30595,48713
7,17,6,30,24,5,5,3,5,38739,4129,3101,0.9041146915661706,0.9040049791002449,322614,15633,11016,19672,33486
8,3,6,2,10,2,2,5,2,39203,7890,2637,0.8343204660600145,0.8341787500294001,326545,7914,7085,27101,43254
9,9,17,5,25,1,5,4,1,39037,5159,2803,0.8842126912392794,0.8840699136653645,325067,6262,8563,26489,43578
10,1,25,22,22,4,1,2,1,39432,9103,2408,0.8146922280691968,0.8145205758622353,331202,9298,2428,33119,52391
11,26,19,10,2,2,2,4,4,37849,3449,3991,0.9162445616967216,0.9161343315646184,316120,7501,17510,24798,33644
12,27,15,4,22,4,3,4,3,38810,3701,3030,0.9132284708917543,0.9130816306212574,323485,6254,10145,29431,44818
13,16,13,1,4,1,4,2,3,38416,4891,3424,0.8876635197004643,0.8875137863968368,320233,6203,13397,31560,45701
14,28,8,13,23,2,1,2,1,37919,3726,3921,0.9104442134125992,0.9102638395134589,322656,3580,10974,37393,55053
15,28,25,20,27,5,1,5,3,36878,2854,4962,0.9271848858655972,0.927053388827434,309827,3220,23803,24332,40135
16,25,27,10,4,2,3,5,5,38120,3571,3720,0.91428067073472,0.9141732058573871,317782,8748,15848,23959,32800
17,1,16,13,7,1,2,5,2,39166,8580,2674,0.822333473587319,0.8221816958299275,326840,7690,6790,28024,46325
18,16,22,11,30,5,2,3,2,38450,4067,3390,0.9046322346463088,0.9044710242248368,324773,4769,8857,31748,49204
19,9,2,19,16,1,2,5,2,37873,4453,3967,0.8949983316113799,0.8948776334828414,316263,4085,17367,23014,36839
20,5,15,30,8,4,4,2,4,40131,7922,1709,0.8373055498642359,0.8372344559504175,329056,22624,4574,12503,21699
21,12,19,20,17,1,5,2,1,38583,4709,3257,0.8918252472785033,0.8916683583867021,324592,4955,9038,30566,47885
22,2,18,21,1,3,2,4,1,35359,6923,6481,0.8364409000888506,0.8363144584868376,293918,871,39712,26518,38592
