observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,38770,5186,3070,0.8828683908977795,0.8827436497308682,324614,10491,9016,26182,38073
2,19,22,1,30,5,2,1,1,39535,6099,2305,0.8677926130402221,0.867593422958444,332742,10390,888,43027,60796
3,10,16,13,9,4,1,2,2,38872,5422,2968,0.8785641379846545,0.8784101650605614,326948,5590,6682,30306,46995
4,14,24,6,16,3,1,4,1,38749,4701,3091,0.8924680660927086,0.8923250821075964,323657,5803,9973,27543,43641
5,2,29,29,25,2,1,4,3,39385,8945,2455,0.8171127920631034,0.8169435021176221,329078,9455,4552,31235,51670
6,4,15,2,28,2,4,2,3,39538,7781,2302,0.8375023459301132,0.837342744205433,331030,8424,2600,30595,48713
7,17,6,30,24,5,5,3,5,38739,4129,3101,0.9041146915661706,0.9040049791002449,322614,15633,11016,19672,33486
8,3,6,2,10,2,2,5,2,39203,7890,2637,0.8343204660600145,0.8341787500294001,326545,7914,7085,27101,43254
9,9,17,5,25,1,5,4,1,39037,5159,2803,0.8842126912392794,0.8840699136653645,325067,6262,8563,26489,43578
10,1,25,22,22,4,1,2,1,39432,9103,2408,0.8146922280691968,0.8145205758622353,331202,9298,2428,33119,52391
11,29,1,30,1,5,5,3,5,37203,3529,4637,0.9128638646950398,0.912700006968053,317191,8035,16439,33638,50012
12,29,1,30,1,5,5,3,5,37203,3529,4637,0.9128638646950398,0.912700006968053,317191,8035,16439,33638,50012
13,30,1,29,1,5,5,3,5,37149,3559,4691,0.9120652167508293,0.9118984561616073,317121,7904,16509,34186,50898
14,29,2,30,1,5,5,3,5,37236,3530,4604,0.9129272021708622,0.9127709849345443,316345,8453,17285,31024,47680
15,26,2,30,4,5,5,3,5,37807,3782,4033,0.9089527773463589,0.9088071100156816,319468,10930,14162,28377,44460
16,23,9,22,7,4,4,5,4,37714,3234,4126,0.920620692752791,0.9205524656611576,311304,13459,22326,12352,20824
17,23,10,24,8,4,4,5,4,37680,3262,4160,0.9199227733620834,0.9198541203425824,311115,13471,22515,12408,20954
18,23,9,23,8,4,4,5,4,37701,3235,4139,0.9205676211014873,0.9204991810459201,311234,13489,22396,12370,20889
19,26,9,23,8,4,4,5,4,37461,3135,4379,0.9222104494043458,0.9221367212904855,310059,12687,23571,13545,22503
20,23,9,21,7,4,4,5,4,37716,3234,4124,0.920625466830047,0.9205573773458784,311335,13479,22295,12333,20782
21,20,13,17,12,3,3,4,4,37927,3536,3913,0.9145528367848599,0.9144472132264619,316513,8526,17117,22765,32238
22,20,12,15,12,3,3,4,4,37959,3546,3881,0.9144168993319957,0.9143119703636585,316736,8587,16894,22636,32026
23,19,12,16,12,3,3,4,4,38022,3553,3818,0.9144234168584643,0.91431961823716,316940,8694,16690,22317,31681
