observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,39026,6197,2814,0.8642610154192174,0.8641056926314212,327603,6204,6027,30960,47407
2,8,29,21,7,2,,,,38922,5662,2918,0.8740797033491792,0.8739237514986864,326835,5503,6795,31277,47599
3,19,23,11,11,5,,,,38642,3576,3198,0.9154607248822804,0.9154031197763881,316761,16535,16869,10545,17582
4,4,8,24,3,5,,,,39533,7670,2307,0.839417747762324,0.8393732776165912,322102,19285,11528,8268,13573
5,2,24,12,30,2,,,,39443,9086,2397,0.815018508026206,0.8148474455655225,331211,9366,2419,32942,52211
6,19,23,8,7,5,,,,38945,3711,2895,0.9133511320910476,0.9132960727232555,318957,17404,14673,10341,16805
7,1,1,25,30,4,,,,37419,3709,4421,0.9095032258817216,0.9094314308251059,309607,12054,24023,13799,21913
8,30,30,28,27,2,,,,37375,3695,4465,0.9096905470069659,0.9094940304416482,319561,2941,14069,40260,59980
9,29,2,2,26,1,,,,39357,5536,2483,0.8778785838846144,0.8776781586120206,331910,9164,1720,50165,61173
10,26,2,30,3,4,,,,36932,2917,4908,0.9258734652967926,0.9257963428654653,307272,10400,26358,14533,23539
11,26,1,11,13,4,,,,37509,2972,4331,0.9259611268637593,0.9258892630034112,311035,11239,22595,14852,21934
12,1,29,27,28,3,,,,39437,9184,2403,0.8133792083304286,0.8132035982706677,331328,9520,2302,33973,53599
13,5,21,1,2,5,,,,38492,6597,3348,0.8549214397115141,0.8548747580172386,312864,16881,20766,9264,14248
14,30,30,28,4,1,,,,37271,3645,4569,0.9105038099909905,0.9103091347446076,318925,2461,14705,40062,59418
15,27,29,2,29,1,,,,39436,5529,2404,0.878258448861422,0.878065926188954,332012,9251,1618,44039,58761
16,23,2,23,24,4,,,,37281,2982,4559,0.9252121999655537,0.9251412272773591,309166,11288,24464,13287,21662
17,14,27,3,1,2,,,,35708,3889,6132,0.9007649994223278,0.9006300523684381,298663,1284,34967,29646,41188
18,22,29,30,11,5,,,,37778,3363,4062,0.9179448027917886,0.917877070431755,311699,14252,21931,12100,20673
19,22,26,10,29,1,,,,38347,3802,3493,0.9099296155311866,0.9097600077779888,324436,4347,9194,34540,51767
20,23,6,2,9,5,,,,40117,5203,1723,0.8865556989551474,0.886497998834577,326530,24085,7100,12452,17611
21,16,1,29,29,3,,,,37307,3508,4533,0.9135923399982858,0.9134125329108461,319331,2450,14299,38179,54880
22,30,23,1,1,1,,,,28990,1916,12850,0.9314151984855747,0.9312909553266315,239178,631,94452,32183,37921
23,18,30,10,25,5,,,,38785,3666,3055,0.9139046881178018,0.9138486032467596,317719,17255,15911,10255,17118
24,10,1,7,6,2,,,,38143,4087,3697,0.9033873175722724,0.9032215398935137,324534,4030,9096,37868,50598
25,14,20,30,2,2,,,,37894,4509,3946,0.8939005570424805,0.8937453653094127,319998,2993,13632,31206,47367
26,30,20,30,3,5,,,,36862,2961,4978,0.9247092692182842,0.9246256792361077,306826,10689,26804,15572,25513
27,1,1,1,19,5,,,,40219,9090,1621,0.8181308154945054,0.8180773746526098,326488,26767,7142,10931,16311
28,18,30,15,29,1,,,,38195,3825,3645,0.9090497996020601,0.9088809060971325,323339,4192,10291,33650,51549
29,4,1,28,1,1,,,,35874,3752,5966,0.9043041793503852,0.9041119712092655,309080,798,24550,42600,58665
30,27,13,4,13,1,,,,39015,4266,2825,0.902035458097141,0.9018628983361848,328415,6205,5215,38088,52668
31,14,14,11,2,4,,,,38301,3699,3539,0.9119980569948187,0.9119428895068757,314086,13298,19544,10227,16838
32,29,26,29,28,5,,,,37082,3034,4758,0.9235755089353851,0.9234941010144373,308031,11935,25599,15086,24847
33,22,1,2,28,2,,,,39406,5342,2434,0.8817664149166792,0.8815793834373334,331180,9066,2450,46681,57085
34,8,1,30,21,4,,,,37049,3543,4791,0.9121559072860204,0.912084256389606,307157,10010,26473,14348,21869
35,1,27,13,29,1,,,,39441,9179,2399,0.8134781496728846,0.8133040532952373,331292,9428,2338,33907,53137
36,29,26,9,21,4,,,,38425,3417,3415,0.9183365215205025,0.9182690676517669,316351,15568,17279,13377,20588
37,3,1,24,1,3,,,,36644,3884,5196,0.9035799955812265,0.9034050506242124,312995,1873,20635,36678,53396
38,10,2,1,29,1,,,,39518,6666,2322,0.8572769838983434,0.8570714147276577,332610,10326,1020,51387,62743
39,1,24,30,29,4,,,,40383,9433,1457,0.8132473344868585,0.8131911087319833,328717,27375,4913,9750,17161
40,30,1,29,26,3,,,,36848,3470,4992,0.9132447251987934,0.9130445587592882,317642,2027,15988,43128,61094
41,29,21,17,2,5,,,,37243,2908,4597,0.9267936766108961,0.9267170620166415,308882,11081,24748,14573,23384
42,12,1,15,29,4,,,,37519,3189,4321,0.9211492871214398,0.9210856797089844,309991,11013,23639,12719,19414
43,25,6,30,14,1,,,,37618,3759,4222,0.9089490086806588,0.9087659481595851,320388,3191,13242,36806,55873
44,28,18,1,29,4,,,,40552,6306,1288,0.867280726743266,0.8672027688380447,330535,29674,3095,17500,23794
45,20,23,28,29,4,,,,38055,3503,3785,0.9155839093977332,0.9155201185086579,313177,15184,20453,11393,19470
46,19,1,21,2,2,,,,37016,3450,4824,0.9141224710743557,0.9139345484228565,318789,1915,14841,41532,57357
47,29,30,17,30,5,,,,37486,3070,4354,0.9237173029800638,0.9236413076194012,310551,12768,23079,14358,23195
48,26,25,2,3,1,,,,38454,4607,3386,0.8935189552701446,0.8933523257356509,322213,5157,11417,38805,50858
49,24,21,29,11,5,,,,37568,3334,4272,0.918067015373126,0.9179954857023355,310499,13470,23131,12879,21832
50,28,6,11,22,1,,,,38100,3771,3740,0.9099511396839485,0.9097738750582408,323638,3872,9992,37054,54104
51,30,1,17,1,3,,,,36980,3416,4860,0.9147831731349604,0.9145907880699572,318135,1880,15495,41845,58719
52,24,30,25,30,5,,,,37631,3341,4209,0.9180675180095517,0.9179964011611558,310958,13647,22672,12854,21706
53,19,30,9,1,5,,,,37211,2942,4629,0.9259521921907574,0.9258928702679224,305878,10999,27752,11418,18106
54,16,7,11,25,5,,,,38794,3852,3046,0.9100189819910354,0.9099663995576112,317419,16905,16211,9553,16049
55,28,11,30,17,4,,,,37175,3079,4665,0.9227835570519778,0.922704770225599,308396,12081,25234,14544,24047
56,21,25,29,22,1,,,,37851,3759,3989,0.9095605869094019,0.9093835286948915,321462,3637,12168,35291,54041
57,1,1,1,8,5,,,,39326,8716,2514,0.8206943701276098,0.820652442443609,318702,23395,14928,8901,12797
58,29,6,18,4,1,,,,37543,3626,4297,0.9116268543713555,0.9114417559492545,320393,2724,13237,38283,56495
59,5,30,11,11,1,,,,39283,7753,2557,0.8370180908240162,0.8368564086055218,329564,7309,4066,32080,49348
60,25,16,1,16,5,,,,40417,6187,1423,0.8690198311198416,0.8689504966157527,329136,28273,4494,15214,21162
61,30,28,11,2,1,,,,37345,3511,4495,0.9136239446047136,0.9134432332396476,317992,1856,15638,38766,55156
62,7,1,27,30,2,,,,37120,3985,4720,0.9027303214760809,0.9025413143467037,318896,2269,14734,41384,57688
63,17,1,3,1,5,,,,34344,2478,7496,0.9301680607631798,0.9301237413303847,279638,9678,53992,10976,13527
64,13,29,30,15,4,,,,38922,4616,2918,0.894675528985354,0.8946234478362661,318139,18521,15491,9331,15896
65,25,18,15,30,5,,,,37882,3358,3958,0.9183069911761855,0.9182387509790793,312630,14093,21000,12619,20828
66,15,1,14,2,1,,,,36959,3349,4881,0.9162182959068528,0.9160298261018622,318330,1505,15300,43036,57524
67,25,30,30,26,5,,,,37501,3328,4339,0.9180346650437878,0.9179614152796863,310183,13342,23447,13259,22357
