observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,38525,5022,3315,0.8853704399113274,0.8852104843388803,324607,4995,9023,31810,48821
2,5,2,26,19,4,,,,38393,5556,3447,0.87441996482551,0.8743634900666507,315405,14609,18225,10809,17237
3,1,30,25,7,1,,,,39274,8908,2566,0.8172691548628701,0.8170995602151452,329874,7805,3756,33423,51763
4,6,10,16,13,2,,,,39003,7119,2837,0.8472216309021826,0.8470704723783831,327622,6001,6008,30105,46136
5,19,5,9,11,3,,,,38416,3788,3424,0.910402514697825,0.9102395252084142,324821,4429,8809,32976,49747
6,24,6,16,18,1,,,,37879,3752,3961,0.909783505199209,0.9096067680687834,321982,3482,11648,35767,53943
7,19,6,2,29,5,,,,40234,5356,1606,0.8839723168186313,0.883917345912781,327301,25182,6329,11383,16778
8,25,10,3,21,3,,,,39234,4507,2606,0.8977419846426948,0.8975695461073625,329835,7341,3795,38167,52631
9,4,15,2,28,2,,,,39462,8087,2378,0.8319205174595372,0.8317579964907806,331011,8394,2619,31979,49604
10,20,10,16,17,1,,,,38087,3720,3753,0.9110053038127461,0.9108353520408862,322932,3934,10698,34015,51872
11,30,24,29,27,3,,,,37331,3690,4509,0.909682830629051,0.909485580157254,319356,2916,14274,40355,60204
12,28,3,6,2,2,,,,38135,3771,3705,0.9100415514448507,0.9098751741907093,322883,3610,10747,36550,50781
13,12,9,25,11,2,,,,38472,4938,3368,0.8868889267980065,0.8867330208166686,324251,4717,9379,30934,47585
14,17,5,25,3,5,,,,38186,3359,3654,0.9190173979384322,0.9189596322904976,313744,14354,19886,10248,17631
15,24,6,1,25,4,,,,40492,6298,1348,0.8672335139534385,0.8671613617726879,330185,29224,3445,15782,22022
16,22,24,3,11,1,,,,39242,4387,2598,0.9001858545893145,0.9000187794687442,329486,7125,4144,36492,50994
17,26,19,10,2,2,,,,37863,3672,3977,0.9114587721557686,0.9112880471610109,321400,3003,12230,35818,52108
18,10,22,20,27,3,,,,38871,5511,2969,0.8768324582528407,0.8766748125199827,326866,5899,6764,31336,48116
19,4,22,23,17,4,,,,40166,8062,1674,0.8350478084932632,0.8349991642544291,326421,24276,7209,8712,14847
20,15,16,13,1,1,,,,36373,4038,5467,0.8994405975531892,0.8992872799027384,307417,918,26213,32256,46795
21,1,20,10,16,5,,,,40356,9256,1484,0.8159888192789795,0.815936217187346,328323,26601,5307,9184,16055
22,8,13,23,7,1,,,,38903,5698,2937,0.8733262724325402,0.8731746552171911,326769,5405,6861,30381,46276
23,9,5,28,25,4,,,,39277,5074,2563,0.8865983849494298,0.8865542588223592,320291,18644,13339,8288,13468
24,27,25,6,27,3,,,,38755,4100,3085,0.9047571244808531,0.9045850922151789,327179,5518,6451,36750,52507
25,25,27,10,4,2,,,,38130,3773,3710,0.9099860769505037,0.9098148277368321,323357,3576,10273,35390,52268
