observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,38525,5022,3315,0.8853704399113274,0.8852104843388803,324607,4995,9023,31810,48821
2,5,2,26,19,4,,,,38393,5556,3447,0.87441996482551,0.8743634900666507,315405,14609,18225,10809,17237
3,1,30,25,7,1,,,,39274,8908,2566,0.8172691548628701,0.8170995602151452,329874,7805,3756,33423,51763
4,6,10,16,13,2,,,,39003,7119,2837,0.8472216309021826,0.8470704723783831,327622,6001,6008,30105,46136
5,19,5,9,11,3,,,,38416,3788,3424,0.910402514697825,0.9102395252084142,324821,4429,8809,32976,49747
6,24,6,16,18,1,,,,37879,3752,3961,0.909783505199209,0.9096067680687834,321982,3482,11648,35767,53943
7,19,6,2,29,5,,,,40234,5356,1606,0.8839723168186313,0.883917345912781,327301,25182,6329,11383,16778
8,25,10,3,21,3,,,,39234,4507,2606,0.8977419846426948,0.8975695461073625,329835,7341,3795,38167,52631
9,4,15,2,28,2,,,,39462,8087,2378,0.8319205174595372,0.8317579964907806,331011,8394,2619,31979,49604
10,20,10,16,17,1,,,,38087,3720,3753,0.9110053038127461,0.9108353520408862,322932,3934,10698,34015,51872
11,29,22,10,1,2,,,,36786,3361,5054,0.9155105191874938,0.9153363933225326,312971,1390,20659,37603,53146
12,28,22,10,3,2,,,,38010,3710,3830,0.9110214177516154,0.9108465547038066,322859,3387,10771,36803,53371
13,30,21,11,5,2,,,,38001,3711,3839,0.9109768867273202,0.9107959984383708,323116,3648,10514,37924,55210
14,29,22,30,1,2,,,,36465,3404,5375,0.9137169549684001,0.9135271221942336,312239,1103,21391,39788,57940
15,29,21,10,3,2,,,,37998,3676,3842,0.9117188917137667,0.9115423413363292,322844,3380,10786,37269,53886
16,13,24,30,9,4,,,,38910,4562,2930,0.8957314288239974,0.8956799275920829,317974,18138,15656,9253,15719
17,13,26,20,1,4,,,,36586,3538,5254,0.9110440875016684,0.910987517728131,300674,9800,32956,10724,17266
18,14,26,29,1,4,,,,36534,3450,5306,0.9128680056929942,0.9128101089903312,300545,9650,33085,10853,17671
19,13,25,30,9,4,,,,38913,4563,2927,0.8957196602098183,0.8956681032796443,317981,18142,15649,9261,15736
20,13,26,30,1,4,,,,36542,3536,5298,0.9109710409829771,0.9109142877328198,300357,9734,33273,10744,17322
21,25,17,5,24,3,,,,38853,4178,2987,0.9034072915266707,0.9032381293595496,327542,5739,6088,36001,51631
22,25,17,6,23,3,,,,38772,4120,3068,0.9043884251717247,0.9042193416374408,327181,5522,6449,35722,51607
23,25,17,7,13,3,,,,38647,4030,3193,0.9059250928147179,0.9057552524393772,326459,5191,7171,35417,51838
24,24,18,6,24,3,,,,38771,4100,3069,0.9047994440189328,0.9046313433951122,327130,5469,6500,35297,51307
25,22,18,6,24,3,,,,38818,4023,3022,0.9065182534355822,0.9063520694871654,327266,5555,6364,34641,50722
