observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,21690,950,1103,0.9579093991713136,0.9576005886097253,180461,2220,1969,15571,24514
2,19,23,11,11,5,4,3,5,21602,870,1191,0.9610106048378846,0.9607186872747091,180181,3060,2249,15195,23173
3,2,24,12,30,2,4,5,1,21890,1188,903,0.9487567342657646,0.9484468655297791,181253,3455,1177,14954,24598
4,12,26,22,29,4,1,1,3,21584,866,1209,0.9611316987325923,0.9608003515758061,180701,1846,1729,16379,26303
5,27,10,28,28,3,4,4,1,21202,654,1591,0.9692458058930072,0.9689116621324569,177634,938,4796,18223,26525
6,18,24,10,12,4,5,4,5,21384,784,1409,0.9640900791235545,0.9638808629284473,176686,3173,5744,10751,16608
7,29,2,28,26,3,1,1,1,21249,658,1544,0.969179994088864,0.968789956044975,179097,608,3333,21414,30962
8,2,25,28,30,1,4,1,1,21938,1224,855,0.947456706264236,0.9471279919461286,182065,3464,365,16298,26094
9,22,12,17,30,1,4,5,3,21307,692,1486,0.9678453845762502,0.9675169851909992,178249,1077,4181,17802,26069
10,13,30,23,19,3,3,5,1,21504,818,1289,0.9629481689923883,0.9626269626735755,179407,1676,3023,16961,25498
11,30,23,1,1,1,3,1,5,19044,563,3749,0.9681394478697273,0.9678203830943374,157852,1417,24578,19334,25328
12,22,5,29,28,2,5,3,3,21384,720,1409,0.9668239760048252,0.9664531110732286,179528,934,2902,19665,29440
13,27,30,14,30,3,2,5,5,21340,729,1453,0.9663332047304138,0.966016986948045,178291,1755,4139,17869,25102
14,21,10,16,4,3,1,4,1,21280,656,1513,0.9693374159687407,0.969013123307936,178032,803,4398,17780,25743
15,30,1,1,25,1,2,1,2,21752,1090,1041,0.952321743950139,0.95188383611209,181908,3241,522,24808,34762
16,1,23,14,23,1,5,5,5,22108,1575,685,0.9341987390767881,0.9340159016577259,180976,7847,1454,9754,14514
17,30,4,3,2,5,1,2,4,21479,810,1314,0.9632235948747663,0.9629219395876735,178858,2265,3572,16766,23946
18,23,1,30,29,2,3,5,4,21162,585,1631,0.9721645430523449,0.9718551656116152,176598,832,5832,18014,24559
19,20,24,28,1,3,4,2,4,21179,686,1614,0.9678041415564925,0.9674772790435803,176969,1633,5461,17666,25947
20,26,27,4,30,4,1,1,4,21736,968,1057,0.9572892893351385,0.9569867774306765,181303,3540,1127,16382,24014
21,30,30,30,6,5,3,1,5,21309,713,1484,0.9669462214723866,0.9665964570421631,179070,1201,3360,18239,27765
22,15,2,1,23,3,3,5,1,21757,1016,1036,0.9553689831118761,0.9550080196692821,181094,2890,1336,20169,28654
23,19,17,27,30,1,1,3,5,21493,798,1300,0.9637667122250801,0.9634241660559234,179916,1839,2514,18583,27192
24,12,24,6,1,4,2,4,1,20697,502,2096,0.9748536094594288,0.9746080374153886,171479,244,10951,12717,19494
25,22,1,21,3,1,2,3,4,21316,653,1477,0.9695489932446324,0.9691783550646924,179071,737,3359,21347,29422
26,7,19,28,1,1,1,5,5,21041,688,1752,0.9673898450962471,0.9671317765164683,174293,1257,8137,14824,20486
27,30,8,6,17,3,5,5,1,21424,729,1369,0.9665340299019209,0.9661916600951638,179308,1329,3122,18818,27178
28,4,1,2,3,5,3,3,2,19759,653,3034,0.9657559622319478,0.9655251668375259,163943,938,18487,15223,18321
29,27,29,30,22,2,5,2,1,21331,732,1462,0.9661829184331631,0.9657956140064669,179342,991,3088,20275,30745
30,20,29,4,1,3,3,1,3,21047,660,1746,0.9686258555497056,0.9682743526901153,175981,578,6449,19327,27903
31,22,13,1,1,1,5,5,5,19772,612,3021,0.9676892039909594,0.9674172027816172,163291,1915,19139,16406,21592
32,16,28,30,29,5,3,3,4,21562,814,1231,0.9632627095549836,0.9629508756379748,180103,2108,2327,16374,24754
33,2,4,28,3,3,2,1,4,21639,863,1154,0.9613991937024554,0.9611089893740182,180258,1914,2172,17401,23037
34,30,2,23,24,2,1,5,5,21136,603,1657,0.971319958382506,0.9709984245335226,176871,893,5559,18466,25524
35,30,29,23,6,1,5,1,1,21313,700,1480,0.9675149578275514,0.9671282706692536,179285,773,3145,20457,30696
36,30,16,30,13,3,3,5,2,21164,659,1629,0.9689411419990478,0.9685989611520044,177454,841,4976,18735,27163
37,7,5,2,1,4,1,3,5,21078,689,1715,0.9674345680462944,0.9671784520502247,174572,1559,7858,14960,20331
38,3,27,28,30,5,5,5,2,21805,1088,988,0.9525577737975623,0.9522694212743203,180196,3341,2234,13117,22890
39,30,28,3,1,1,5,5,4,20823,640,1970,0.968980343980344,0.9686841307330084,173004,1700,9426,17425,23514
40,28,4,15,29,1,1,5,5,21271,657,1522,0.9692736030038324,0.9689623107713363,177800,1345,4630,17807,24711
41,13,9,3,1,1,4,2,1,20682,553,2111,0.9725310070083175,0.9722245647418087,171934,228,10496,17465,24326
42,28,30,29,30,5,2,4,2,21001,599,1792,0.9711957069644365,0.9709267920970862,174976,1008,7454,13235,21347
43,24,2,19,18,1,5,5,5,21316,700,1477,0.9675220161640995,0.9672300860036097,177629,2105,4801,16661,23174
44,7,29,22,2,5,1,4,5,21294,705,1499,0.9672548748846235,0.9670352029186866,175888,1779,6542,11670,17438
45,30,23,11,9,2,1,3,4,21451,780,1342,0.9644262448386495,0.9640639838726874,179888,1672,2542,19796,28757
46,16,4,23,1,2,5,5,1,20913,538,1880,0.9737012660491,0.9734011098424032,174547,224,7883,17037,23827
47,30,28,28,26,5,1,1,5,21342,732,1451,0.9662093824897979,0.9658606006500862,179302,1485,3128,18170,27687
48,9,30,1,5,3,2,5,2,21630,873,1163,0.9609574921808359,0.960635378855397,180085,1739,2345,17200,25570
49,30,8,13,30,4,4,5,1,21085,592,1708,0.9716894354293131,0.9714245642998379,175606,979,6824,13162,21026
50,25,12,3,1,5,1,1,1,20625,544,2168,0.9728094453783417,0.9724947140790547,171677,230,10753,17456,24984
51,30,29,30,30,1,5,5,4,21255,746,1538,0.9653973958115697,0.965089063947923,177537,2286,4893,17318,24476
52,5,2,1,1,5,4,1,4,16016,512,6777,0.9617313085094246,0.9615672284912844,131324,1819,51106,12159,13025
53,8,30,25,4,5,1,2,1,21535,769,1258,0.965098696859071,0.964789949284054,179754,1147,2676,15633,24509
54,28,2,20,14,4,2,5,1,20986,534,1807,0.9740335086835001,0.9737755912714924,174753,703,7677,13127,20474
55,29,26,4,1,1,3,3,4,21038,684,1755,0.9675570816366514,0.9672129104139561,175887,1199,6543,19342,27321
56,16,2,14,2,5,5,5,1,21045,521,1748,0.9747324522684472,0.9744862251640658,174705,479,7725,12751,19546
57,28,26,27,29,1,1,4,5,21242,701,1551,0.967304189435337,0.9669844192103489,177693,1554,4737,18008,25384
58,5,30,30,1,3,1,4,2,20496,583,2297,0.9707634247260493,0.9704869136782046,169976,323,12454,15236,21950
59,30,30,1,2,5,1,3,1,20370,558,2423,0.9716054623592317,0.9713001034617487,168879,539,13551,17629,24240
60,30,15,30,2,2,4,1,4,21265,714,1528,0.9667983312783469,0.9664387031510636,178465,1519,3965,19399,28548
61,19,30,7,1,5,2,4,1,20755,499,2038,0.9751099142203961,0.9748541005598684,172443,246,9987,13242,20307
62,29,1,30,30,3,2,1,1,21196,636,1597,0.9700144888935263,0.9696201425681629,178696,420,3734,22080,31304
63,5,2,25,1,2,3,5,4,21215,625,1578,0.9705357869917554,0.9702892449545177,175902,1080,6528,14973,19571
64,25,23,28,13,3,5,5,5,21322,764,1471,0.9647902682969429,0.9644934503785231,177785,2380,4645,16645,23562
65,28,5,13,6,4,5,1,1,21382,697,1411,0.9678055951855044,0.9674551505003113,179847,901,2583,18030,27819
66,15,4,5,1,5,2,5,1,20860,502,1933,0.9751937998992082,0.9749498403113923,172734,242,9696,12883,19366
67,28,27,30,29,5,5,4,2,21008,596,1785,0.9713433371340008,0.9710752284947627,174986,999,7444,13129,21283
68,2,24,25,2,3,5,4,1,21097,643,1696,0.9694840232966593,0.96924408225209,173852,610,8578,13210,19047
69,27,1,26,10,1,4,5,5,21169,633,1624,0.9700840718143583,0.9697809930307549,176632,1483,5798,17505,24059
70,30,24,7,6,1,5,2,1,21488,772,1305,0.9648569014119923,0.9644774703067039,180444,1179,1986,20301,30120
71,16,6,11,1,3,4,4,1,20882,534,1911,0.9738130924278361,0.9735118024628566,174366,234,8064,17068,23917
72,28,29,26,29,5,1,2,5,21364,743,1429,0.9657913485636995,0.9654473159114609,179401,1555,3029,17917,27310
73,30,1,30,13,5,3,3,2,21209,633,1584,0.9701743102563376,0.9698055490762212,178723,443,3707,19651,29273
74,3,23,29,2,4,2,4,3,21292,682,1501,0.9682415674490392,0.96798856298959,175732,1001,6698,12790,20084
75,29,30,3,3,2,2,5,2,21391,722,1402,0.9667549465349399,0.9664069205340833,178868,1060,3562,19390,27627
76,14,21,30,1,4,1,5,1,20779,500,2014,0.9751150672383111,0.9748665474227358,172237,230,10193,12817,19728
77,30,7,10,30,4,5,3,1,21401,724,1392,0.9666931064451024,0.9663389203575763,179999,1044,2431,18200,28116
78,5,1,2,3,1,2,1,5,20286,847,2507,0.9584148311931288,0.9582055142195075,167427,3438,15003,15475,16616
79,24,30,2,13,5,2,5,1,21571,846,1222,0.9619380927663113,0.9616397631701812,178860,2090,3570,15017,23682
80,30,2,29,7,1,3,1,5,21291,687,1502,0.9680235333700095,0.9676465461436861,179082,1012,3348,20725,29926
81,27,10,29,2,4,1,5,1,20894,497,1899,0.975487230053261,0.9752268183730313,173861,372,8569,13082,20672
82,2,29,4,2,1,4,1,1,21097,661,1696,0.9686987744906722,0.9684441071857416,173971,601,8459,14538,20216
83,29,2,1,30,4,4,5,3,21698,1017,1095,0.9551622252665016,0.9548234960835634,180035,3418,2395,17388,26889
84,18,30,22,28,4,5,5,1,21184,648,1609,0.969465320471809,0.9692028302347275,176178,1270,6252,12761,20837
85,14,1,7,1,5,4,5,4,21124,628,1669,0.9702004609416696,0.9699951625112949,174473,2010,7957,11569,16297
86,22,12,29,2,5,1,5,1,20962,507,1831,0.975181759141922,0.9749247739311689,174124,403,8306,12950,20400
87,28,30,11,21,1,5,5,3,21307,706,1486,0.9672425846399682,0.9669024823497764,178526,1141,3904,18526,26998
88,2,19,1,1,3,5,4,1,19857,476,2936,0.9742324184827937,0.9740189066035264,163407,211,19023,12806,16949
89,19,5,17,30,4,5,4,1,21166,593,1627,0.9718232774769878,0.971571091842965,175962,1044,6468,12510,20019
90,30,2,7,7,3,4,5,1,21345,685,1448,0.9682353485511171,0.9678997057101708,178738,1071,3692,18800,26644
91,26,1,22,1,5,3,5,1,20821,462,1972,0.9769063303492672,0.9766475563198903,173176,211,9254,13554,20542
92,4,27,2,1,4,4,4,4,20468,657,2325,0.9673717622726903,0.9672093576973457,167298,2508,15132,9018,12892
93,20,29,29,29,3,2,5,3,21321,719,1472,0.9667169347986359,0.9663855624472212,178348,1215,4082,17887,26305
94,30,15,10,18,3,4,3,1,21411,753,1382,0.965477995254453,0.9650929205523795,180000,1081,2430,20386,30568
95,10,19,30,2,4,3,1,2,21401,692,1392,0.9680644139865202,0.9677574678274413,178587,818,3843,15786,24366
96,24,2,17,1,3,1,5,1,21020,543,1773,0.9737071281661696,0.9733825709617655,175627,225,6803,18406,25764
97,18,24,29,27,5,3,2,1,21441,761,1352,0.9652099458805374,0.9648649306377872,179891,1256,2539,17401,27388
98,2,29,6,4,4,3,5,1,21535,844,1258,0.9619301674879666,0.9616576119967972,177953,1319,4477,13806,21636
99,29,15,9,18,4,5,5,4,21296,725,1497,0.966399291355591,0.9661762936986914,176242,2755,6188,11545,17702
100,2,8,30,4,2,5,4,1,21530,786,1263,0.9643663714293138,0.964111792305583,178432,1234,3998,13502,20209
