observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,21675,929,1118,0.9587407520773822,0.958426260127066,180709,2697,1721,16997,24965
2,19,22,1,30,5,2,1,1,21857,1141,936,0.950556451928555,0.9501815432590833,182109,3479,321,20152,29761
3,10,16,13,9,4,1,2,2,21634,837,1159,0.9624761538680562,0.9621567363678672,180761,1634,1669,16004,25356
4,14,24,6,16,3,1,4,1,21548,825,1245,0.9627637234489353,0.9624391536472171,179868,1725,2562,17334,25765
5,2,29,29,25,2,1,4,3,21875,1184,918,0.9488723709186561,0.9485508622643012,181224,3349,1206,15912,25522
6,4,15,2,28,2,4,2,3,21911,1066,882,0.9537585338122657,0.9534368110035686,181946,2959,484,16226,25539
7,17,6,30,24,5,5,3,5,21565,820,1228,0.9630172784903963,0.9627248318400222,179857,2762,2573,15282,23215
8,3,6,2,10,2,2,5,2,21737,916,1056,0.9594452634645433,0.9591687272220701,179981,2029,2449,15522,21952
9,9,17,5,25,1,5,4,1,21679,914,1114,0.9593751382926938,0.9590595755706661,180540,2161,1890,16266,25050
10,1,25,22,22,4,1,2,1,21919,1235,874,0.9469567689328711,0.9466241494473454,181975,3148,455,16724,26404
11,26,19,10,2,2,2,4,4,21299,678,1494,0.9684304143258046,0.9681166908116577,177971,1276,4459,17861,24904
12,27,15,4,22,4,3,4,3,21434,739,1359,0.9661308788662814,0.9658500469396482,177968,1709,4462,14023,22293
13,16,13,1,4,1,4,2,3,21502,835,1291,0.9622252095665824,0.9618710990629418,179188,1610,3242,19386,28110
14,28,8,13,23,2,1,2,1,21376,735,1417,0.9661626132673797,0.96578151931661,179857,989,2573,20333,30252
15,28,25,20,27,5,1,5,3,21048,601,1745,0.9712124651853,0.9709436888884065,175316,1040,7114,13228,21336
16,25,27,10,4,2,3,5,5,21374,715,1419,0.9670145518181176,0.9667039272432769,178416,1547,4014,17658,24658
17,1,16,13,7,1,2,5,2,21750,1035,1043,0.9545686754010065,0.9542833840251279,179771,2060,2659,14804,22647
18,16,22,11,30,5,2,3,2,21523,785,1270,0.9643914919548161,0.9640537453623896,180307,1392,2123,17087,26811
19,9,2,19,16,1,2,5,2,21369,676,1424,0.9686780937046123,0.9683919835033072,177949,1038,4481,16320,22712
20,5,15,30,8,4,4,2,4,21958,1130,835,0.9512999250501472,0.9510878618620189,181177,5337,1253,11119,16834
21,12,19,20,17,1,5,2,1,21618,871,1175,0.96101014088414,0.9606649996682473,180723,1740,1707,17671,27398
22,2,18,21,1,3,2,4,1,20538,592,2255,0.9704554024285483,0.9701962630770581,169291,223,13139,14624,20571
23,21,12,29,5,2,1,5,5,21324,692,1469,0.9678851319517384,0.967580654866253,178003,1439,4427,17225,24170
24,8,20,25,17,3,2,1,5,21792,1006,1001,0.9558775150342795,0.9555811632164871,181222,3265,1208,16145,23525
25,28,19,11,11,4,5,5,4,21252,720,1541,0.9665087350523595,0.9662858759659166,175969,2611,6461,11483,17691
26,20,3,5,27,4,1,1,4,21676,848,1117,0.9621214609545402,0.9618216574726426,180968,2600,1462,16547,23799
27,1,5,17,21,4,2,4,2,21519,815,1274,0.9631126813640674,0.9628708129304174,177883,1668,4547,12800,19200
28,10,23,20,26,4,3,1,2,21642,888,1151,0.9603616732178817,0.9600344453828561,180894,1968,1536,16179,25976
29,8,8,30,12,5,4,4,3,21510,769,1283,0.9650379016280473,0.9647892306447009,178122,1874,4308,12063,19740
30,18,15,6,22,2,1,4,1,21493,769,1300,0.964996484472864,0.9646696975438372,179576,1482,2854,17726,25941
31,29,29,28,12,1,5,3,5,21401,807,1392,0.9631543180150947,0.9628008499744809,179275,2255,3155,18969,28059
32,29,26,9,12,5,2,1,3,21436,749,1357,0.9657091267531523,0.965355028846826,180178,1136,2252,18184,28109
33,29,21,18,3,4,5,1,3,21307,652,1486,0.9695718175728806,0.9692199871831196,179090,645,3340,18056,27929
34,27,23,21,22,2,2,5,5,21284,705,1509,0.9672312029767672,0.9669127176778329,177953,1584,4477,17925,25282
35,27,28,16,16,4,4,4,4,21214,701,1579,0.9672377506319372,0.9670135814248121,175664,2548,6766,11448,17795
36,27,11,12,3,3,1,3,3,21353,690,1440,0.96803880678212,0.9676618699450537,179524,701,2906,20150,29922
37,9,18,1,2,5,2,1,3,21212,691,1581,0.9676654136710339,0.9673735842890581,175921,998,6509,16601,23166
38,24,7,19,3,1,3,3,4,21408,710,1385,0.9673090391523393,0.9669505195887103,179391,1199,3039,19481,28460
39,22,30,16,10,4,2,3,1,21425,732,1368,0.9664082360986066,0.9660584086818118,179772,1003,2658,17795,27770
40,1,29,26,21,3,1,1,2,21925,1266,868,0.9457344679558851,0.9453961670816315,181995,3187,435,17144,26855
