observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,21675,929,1118,0.9587407520773822,0.958426260127066,180709,2697,1721,16997,24965
2,19,22,1,30,5,2,1,1,21857,1141,936,0.950556451928555,0.9501815432590833,182109,3479,321,20152,29761
3,10,16,13,9,4,1,2,2,21634,837,1159,0.9624761538680562,0.9621567363678672,180761,1634,1669,16004,25356
4,14,24,6,16,3,1,4,1,21548,825,1245,0.9627637234489353,0.9624391536472171,179868,1725,2562,17334,25765
5,2,29,29,25,2,1,4,3,21875,1184,918,0.9488723709186561,0.9485508622643012,181224,3349,1206,15912,25522
6,4,15,2,28,2,4,2,3,21911,1066,882,0.9537585338122657,0.9534368110035686,181946,2959,484,16226,25539
7,17,6,30,24,5,5,3,5,21565,820,1228,0.9630172784903963,0.9627248318400222,179857,2762,2573,15282,23215
8,3,6,2,10,2,2,5,2,21737,916,1056,0.9594452634645433,0.9591687272220701,179981,2029,2449,15522,21952
9,9,17,5,25,1,5,4,1,21679,914,1114,0.9593751382926938,0.9590595755706661,180540,2161,1890,16266,25050
10,1,25,22,22,4,1,2,1,21919,1235,874,0.9469567689328711,0.9466241494473454,181975,3148,455,16724,26404
11,29,1,30,1,5,5,3,5,21271,675,1522,0.9684951103996096,0.9681517831969692,178675,1345,3755,18378,27254
12,29,1,30,1,5,5,3,5,21271,675,1522,0.9684951103996096,0.9681517831969692,178675,1345,3755,18378,27254
13,30,1,29,1,5,5,3,5,21264,669,1529,0.9687383258466894,0.9683927941140548,178647,1305,3783,18480,27429
14,29,2,30,1,5,5,3,5,21257,677,1536,0.968376187521582,0.9680396250766953,178331,1387,4099,17708,26717
15,26,2,30,4,5,5,3,5,21391,736,1402,0.966155864052552,0.9658282457007846,179191,1865,3239,17275,26007
16,23,9,24,7,4,4,5,4,21200,663,1593,0.9688505410938871,0.9686307305574935,175368,2398,7062,11219,17449
17,23,9,24,8,4,4,5,4,21201,667,1592,0.9686793228702626,0.9684594997365547,175378,2417,7052,11218,17450
18,23,9,23,8,4,4,5,4,21201,667,1592,0.9686793228702626,0.9684595249311833,175377,2417,7053,11217,17448
19,21,9,24,8,4,4,5,4,21223,686,1570,0.9679075902051749,0.9676920123663701,175566,2532,6864,11012,17113
20,23,9,24,7,4,4,5,4,21200,663,1593,0.9688505410938871,0.9686307305574935,175368,2398,7062,11219,17449
21,25,13,17,13,3,3,4,4,21335,696,1458,0.9677387164432575,0.9674260259088794,178108,1542,4322,17658,24822
22,24,12,17,12,3,3,4,4,21347,694,1446,0.967852796784917,0.9675429910355028,178112,1537,4318,17528,24593
23,25,12,17,12,3,3,4,4,21331,690,1462,0.9679875696800392,0.9676753830382312,178087,1530,4343,17648,24782
24,25,12,17,11,3,3,4,4,21330,689,1463,0.9680282902069847,0.9677159775920342,178083,1519,4347,17651,24792
25,25,13,15,12,3,3,4,4,21338,701,1455,0.9675307244736574,0.9672188401673915,178163,1566,4267,17635,24758
26,20,6,26,5,4,4,5,3,21124,571,1669,0.9726959942828094,0.9724439094273006,175596,920,6834,12514,20011
27,20,8,26,5,4,4,5,3,21128,577,1665,0.9724413580303737,0.9721879000676114,175614,928,6816,12547,20120
28,21,6,25,5,4,4,5,3,21114,561,1679,0.9731137797409455,0.97286096424121,175443,887,6987,12547,20069
29,21,6,25,5,4,4,5,3,21114,561,1679,0.9731137797409455,0.97286096424121,175443,887,6987,12547,20069
30,21,6,26,6,4,4,5,3,21111,561,1682,0.9731073704666915,0.9728546179535273,175423,885,7007,12545,20064
31,16,4,20,19,4,2,5,2,21181,601,1612,0.9715065713491561,0.9712587065939219,175960,1004,6470,12529,19676
32,16,4,20,18,4,2,5,2,21181,601,1612,0.9715065713491561,0.9712587317885504,175959,1004,6471,12528,19674
33,17,19,21,19,4,2,5,2,21227,665,1566,0.9688261352568368,0.9685652574759797,176296,1264,6134,12800,20709
34,17,4,21,19,4,3,5,2,21171,603,1622,0.9713972134100628,0.9711477865878613,175900,1011,6530,12535,19800
35,17,4,21,4,4,2,5,2,21145,573,1648,0.9726534648910968,0.9724052222164351,175679,820,6751,12540,19706
36,13,6,27,5,3,4,1,3,21549,766,1244,0.9652597856351929,0.9649195069826016,180246,1178,2184,17962,27012
37,20,6,27,5,3,4,1,3,21404,715,1389,0.9670854779943323,0.9667200299078643,179673,920,2757,19324,29010
38,13,6,27,5,3,4,1,3,21549,766,1244,0.9652597856351929,0.9649195069826016,180246,1178,2184,17962,27012
39,13,7,26,5,3,4,1,3,21551,768,1242,0.9651798958101939,0.9648391258623468,180231,1186,2199,17932,27051
40,13,6,27,5,3,4,1,3,21549,766,1244,0.9652597856351929,0.9649195069826016,180246,1178,2184,17962,27012
