observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,21740,977,1053,0.9569285323163657,0.9565930280458761,181280,2221,1150,16943,26633
2,8,29,21,7,2,,,,21660,908,1133,0.9595747037324178,0.959241630743579,180761,1715,1669,17182,26440
3,19,23,11,11,5,,,,21343,759,1450,0.9650557835974428,0.9648455344225669,176474,3049,5956,10784,16690
4,4,8,24,3,5,,,,21627,918,1166,0.9590704373754988,0.9589080579947827,177529,4081,4901,8729,12890
5,2,24,12,30,2,,,,21914,1208,879,0.9480251710762773,0.9476907627721277,182039,3431,391,16865,26546
6,19,3,14,7,5,,,,21261,687,1532,0.9679534165873737,0.9677439232513529,175885,2540,6545,10921,16630
7,3,29,28,29,1,,,,21890,1148,903,0.9503714219970391,0.9500341415052399,181941,3222,489,16740,26774
8,29,18,3,30,2,,,,21644,910,1149,0.9594490482198063,0.9590598919879149,181333,2053,1097,20907,30892
9,29,28,30,1,4,,,,20803,529,1990,0.9738675974499584,0.9736360966059384,172687,1310,9743,11841,18377
10,5,24,1,1,4,,,,20426,643,2367,0.967897237801538,0.967731520132545,166939,2453,15491,9330,13155
11,29,24,14,26,4,,,,21218,709,1575,0.966901685720952,0.966676168601202,175783,2642,6647,11566,17902
12,3,2,29,3,3,,,,21452,754,1341,0.965534748358744,0.9651954648939787,179624,793,2806,20022,26933
13,6,30,2,6,1,,,,21716,959,1077,0.9576070583171938,0.9572759001201214,180974,1881,1456,17147,26288
14,4,1,1,29,4,,,,21945,1413,848,0.9399615363199082,0.939774113478458,179703,7631,2727,11577,14878
15,30,2,4,3,4,,,,21446,754,1347,0.9655202220795557,0.9652950324899762,177041,2928,5389,12136,17876
16,24,28,25,5,5,,,,21141,655,1652,0.9690620711278084,0.9688381916589112,175125,2221,7305,11354,17772
17,1,5,2,29,3,,,,21881,1075,912,0.9533066640409816,0.9529952458353431,181675,2668,755,18252,24721
18,30,3,30,29,1,,,,21262,683,1531,0.9681285276906069,0.9677396360023148,179057,690,3373,20916,30871
19,28,1,2,1,5,,,,20136,575,2657,0.9702861900943688,0.9700763440335489,165091,1950,17339,12296,16658
20,29,30,1,30,5,,,,21899,1251,894,0.946252969598399,0.9460118192116614,180106,6871,2324,13083,19143
21,23,5,11,12,1,,,,21434,746,1359,0.9658322315978634,0.9654637601559748,180083,1018,2347,19854,29250
22,4,20,29,30,5,,,,21950,1297,843,0.9445767951692751,0.9444045268968707,179854,7038,2576,8636,13675
23,29,30,23,1,3,,,,21106,631,1687,0.9700286605644238,0.9696452864997744,177562,421,4868,20480,30433
24,1,26,3,12,4,,,,22096,1441,697,0.9393711111073322,0.9392031637137165,180444,7183,1986,8859,13332
25,29,20,3,30,5,,,,21651,934,1142,0.958468575192703,0.9582442422204926,178418,4466,4012,11888,17808
26,30,29,30,13,1,,,,21290,721,1503,0.9665568602383297,0.9661642649396474,179144,845,3286,20750,31165
27,12,2,8,1,4,,,,21190,658,1603,0.969044537634507,0.968847251095997,174905,2126,7525,10790,15661
28,24,30,1,3,5,,,,21258,813,1535,0.9625345929263804,0.9623187631412906,174583,3596,7847,12235,17133
29,29,8,3,18,1,,,,21623,869,1170,0.9611067996205889,0.9607231484150259,181245,1774,1185,20781,30455
30,26,2,29,23,5,,,,21083,611,1710,0.9708518795836061,0.9706252287055733,174711,1925,7719,11731,17992
31,30,23,27,1,2,,,,21046,622,1747,0.9702865309697795,0.9698994784893683,177116,273,5314,20754,30725
32,1,11,5,22,5,,,,22000,1308,793,0.9442992226700491,0.9441436206444009,179956,6673,2474,8531,12352
33,30,1,16,26,1,,,,21257,649,1536,0.9695882180686324,0.9691942118707537,179193,490,3237,22302,31277
34,22,8,3,2,1,,,,21315,693,1478,0.967821029164037,0.9674602042918997,178069,665,4361,20016,28643
35,13,11,30,15,1,,,,21581,835,1212,0.9624260932930304,0.9620803474060535,180492,1570,1938,18123,27446
36,21,4,30,2,3,,,,21334,691,1459,0.9679515216629856,0.967583944630409,179206,659,3224,19690,29179
37,30,30,23,28,4,,,,21124,667,1669,0.9685003557831263,0.9682673684560245,175137,2335,7293,11834,18495
38,11,29,1,1,3,,,,20336,584,2457,0.9703465973452888,0.9700413896155768,168665,532,13765,17174,24228
39,30,17,11,9,1,,,,21413,747,1380,0.9657388874406589,0.9653547197452116,179988,986,2442,20512,30496
40,27,1,21,24,1,,,,21245,634,1548,0.9702118253956655,0.9698195072378968,178978,434,3452,22314,31143
41,30,18,30,22,3,,,,21292,727,1501,0.9663037203510138,0.9659098149316492,179175,909,3255,20787,31269
42,10,3,2,1,4,,,,20584,620,2209,0.9693074612752627,0.9691247372320287,168620,2349,13810,10598,14505
43,7,28,28,1,5,,,,20811,664,1982,0.9678922635591422,0.96772080151485,170853,2553,11577,9105,13611
44,30,25,7,4,4,,,,21344,712,1449,0.9670722413475942,0.9668478453888126,176571,2649,5859,11757,17813
45,23,1,22,8,2,,,,21277,639,1516,0.970066847394447,0.9696831332023128,179032,469,3398,21685,30460
46,22,5,26,30,3,,,,21374,720,1419,0.9668002232677974,0.9664272167927779,179565,939,2865,19849,29610
47,16,30,3,3,2,,,,21519,782,1274,0.9645087320782185,0.9641556923462894,179991,1105,2439,19034,28025
48,26,21,30,5,5,,,,21097,645,1696,0.9693967105668241,0.9691701226753625,174936,2125,7494,11514,17987
49,6,2,13,2,1,,,,21446,700,1347,0.9678260783232412,0.9674899693816675,179472,584,2958,20208,26681
50,29,29,10,29,2,,,,21442,780,1351,0.9644040368058535,0.9640188235333232,180127,1216,2303,20431,30579
51,30,17,18,11,5,,,,21154,663,1639,0.9687441039139938,0.9685132833249434,175311,2242,7119,11779,18323
52,1,2,24,30,1,,,,21462,757,1331,0.9654312457490798,0.9650774879702383,179786,897,2644,20923,28082
53,2,26,9,3,5,,,,21648,1010,1145,0.9553102949158676,0.9551510018771434,177217,4504,5213,8495,12645
54,18,30,16,30,3,,,,21474,797,1319,0.9637617676415888,0.9633933843809,180067,1304,2363,19226,29243
55,25,2,7,27,5,,,,21359,721,1434,0.9667216734120083,0.9665052641504629,176611,2815,5819,11509,17179
56,29,13,27,16,1,,,,21314,720,1479,0.9666572634447177,0.9662696944744221,179358,889,3072,20503,30766
57,1,28,18,30,3,,,,21938,1295,855,0.9446181138639868,0.9442757062652868,182070,3488,360,17278,27181
58,7,3,15,2,2,,,,21503,722,1290,0.9670197820146823,0.9666974293402725,179910,861,2520,18233,25589
59,28,30,9,2,4,,,,21150,634,1643,0.9699974958929893,0.9697738809676915,175286,2005,7144,11609,17751
60,11,7,23,26,5,,,,21501,856,1292,0.9613372607722892,0.9611511102595786,177293,3873,5137,9656,14777
61,28,8,28,1,4,,,,20884,534,1909,0.9738173509594087,0.9735878404910405,173222,1347,9208,11756,18219
62,15,1,2,22,1,,,,21769,987,1024,0.9565957162581284,0.9562035744627593,181716,2500,714,23037,31129
63,7,29,5,1,5,,,,20797,668,1996,0.9676821971043517,0.9675110499929158,170617,2577,11813,9117,13586
64,17,29,30,28,5,,,,21343,793,1450,0.9636040044895648,0.9633943977777158,176254,3288,6176,10647,16639
65,26,6,18,29,5,,,,21177,646,1616,0.9695363146906933,0.9693129517116805,175361,2265,7069,11447,17731
66,29,30,27,7,5,,,,21072,645,1721,0.9693392190452709,0.9691077056039366,174869,2089,7561,11749,18378
67,16,5,1,27,1,,,,21809,1089,984,0.9525286186609829,0.9521329370203088,182075,3189,355,21757,31410
68,1,8,23,1,1,,,,21012,674,1781,0.9679318449208453,0.9676386172369875,173977,230,8453,17132,23277
69,30,1,26,21,1,,,,21192,631,1601,0.9702230524118228,0.9698252040330971,178794,402,3636,22469,31582
70,20,26,1,1,3,,,,19629,542,3164,0.9706063854616228,0.9702802283983087,163068,461,19362,18860,25891
71,16,23,29,2,4,,,,21196,652,1597,0.969318924950496,0.9691119258826972,175221,2202,7209,10703,16432
72,29,3,3,30,4,,,,21629,876,1164,0.9608293989185617,0.9606079255366867,178170,4099,4260,11907,17581
73,1,4,1,4,1,,,,18952,673,3841,0.9625992210625974,0.9623872712502974,156272,1082,26158,16308,16825
74,25,30,8,15,3,,,,21493,776,1300,0.9646993556402573,0.9643219149106209,180325,1210,2105,20004,29962
75,19,1,30,22,5,,,,21103,599,1690,0.9714221531940515,0.9712051266641076,174653,1845,7777,11628,17228
76,27,3,20,1,5,,,,21005,559,1788,0.9729681155499805,0.9727407088330926,174138,1543,8292,11697,18052
77,20,30,30,30,1,,,,21436,775,1357,0.964601865484929,0.964230030560135,179790,1223,2640,19449,29517
78,11,30,5,1,4,,,,20927,647,1866,0.9689152612371854,0.9687273596977936,172161,2261,10269,9964,14916
79,21,15,14,21,4,,,,21298,731,1495,0.9661463200431133,0.9659326066068179,176091,2881,6339,10964,16965
80,29,2,30,28,4,,,,21022,599,1771,0.9712424992284392,0.9710115778608748,174447,1775,7983,11963,18331
81,30,14,30,1,5,,,,20860,537,1933,0.9736325736572179,0.973398439974519,173160,1343,9270,11959,18586
82,9,28,1,1,1,,,,20034,529,2759,0.9721656088045187,0.9718628701484002,166029,225,16401,17653,24032
83,25,1,14,27,2,,,,21298,652,1495,0.969551406072602,0.9691673265583545,179290,530,3140,21664,30489
84,21,29,23,18,3,,,,21413,760,1380,0.9651843104023367,0.9648099560146921,179749,1097,2681,19613,29717
85,11,4,14,2,5,,,,21356,729,1437,0.9663715724941583,0.9661850188673915,176248,2822,6182,9913,14809
86,30,2,30,1,3,,,,21172,639,1621,0.9698295606541999,0.969440328838423,178273,383,4157,21116,30898
87,6,24,4,1,1,,,,20620,587,2173,0.970868300914556,0.9705721380564774,171213,236,11217,16463,23510
88,29,29,21,30,5,,,,21148,683,1645,0.9678612225769603,0.9676305153637381,175264,2426,7166,11710,18314
89,14,2,26,28,1,,,,21401,702,1392,0.9676354626347393,0.9672800168157879,179754,786,2676,20172,28216
90,26,7,8,14,5,,,,21338,724,1455,0.9665428856410085,0.966324523795754,176479,2802,5951,11368,17334
91,26,10,18,1,5,,,,20988,563,1805,0.9727547108247002,0.9725300125303765,173849,1608,8581,11538,17837
92,29,30,25,30,1,,,,21329,739,1464,0.9658779576587796,0.9654874031250062,179425,1023,3005,20549,31003
93,1,29,28,1,1,,,,20426,718,2367,0.964537908615865,0.9642499844013075,168871,220,13559,16668,22856
94,17,1,29,23,3,,,,21342,680,1451,0.968443674441019,0.9680751274152448,179202,558,3228,20847,29256
95,16,23,1,2,1,,,,20828,609,1965,0.9703635648701181,0.9700286526733984,172844,572,9586,19605,26586
96,29,5,27,1,5,,,,20927,548,1866,0.9732872711307564,0.9730557954813649,173696,1418,8734,11844,18375
97,7,28,3,1,1,,,,20647,589,2146,0.9708404609176411,0.9705420683349397,171282,240,11148,16633,23687
98,23,29,22,25,3,,,,21388,742,1405,0.9658921044146166,0.9655107585175619,179598,1084,2832,19971,30272
99,16,2,29,28,1,,,,21383,697,1410,0.9678079283940716,0.9674468767702777,179676,767,2754,20267,28661
100,3,2,15,1,1,,,,21075,649,1718,0.9691713826109271,0.9688414967425942,176237,238,6193,20455,26187
101,27,14,21,1,5,,,,20946,556,1847,0.9729735755873098,0.972747025487791,173624,1540,8806,11590,17984
102,12,1,29,23,1,,,,21331,670,1462,0.9688492989911358,0.9684832966228407,179200,497,3230,22075,29054
103,5,3,6,2,1,,,,21465,716,1328,0.9671864045087603,0.9668733108603261,178938,644,3492,18449,24854
104,29,28,29,26,5,,,,21080,674,1713,0.9680924445620117,0.9678603768388503,174857,2329,7573,11752,18422
105,30,30,1,3,1,,,,21036,706,1757,0.9665937907514675,0.9662203181758205,175348,1045,7082,21591,29647
106,29,1,28,13,5,,,,20973,555,1820,0.9730760486793205,0.97284143629868,174024,1458,8406,12318,18624
107,10,28,2,1,1,,,,20529,559,2264,0.9719204056414845,0.9716090000331602,170371,229,12059,17854,24720
108,26,25,20,29,4,,,,21193,699,1600,0.9672743338436022,0.9670489049050519,175491,2583,6939,11446,17895
109,9,13,30,1,5,,,,21021,642,1772,0.9693529346663222,0.9691741283878208,172822,2367,9608,9492,14194
110,29,30,27,1,1,,,,20991,607,1802,0.9708212506763977,0.9704373097326069,176554,193,5876,20618,30478
111,18,13,4,1,5,,,,21028,637,1765,0.969588095664058,0.969383376710139,173274,2213,9156,10906,16251
112,28,1,30,29,2,,,,21206,636,1587,0.9700370796971046,0.9696450764721922,178743,427,3687,22021,31118
113,26,30,17,16,1,,,,21411,746,1382,0.965776744135695,0.9653943400642431,179757,1020,2673,20161,30356
114,5,20,30,3,1,,,,21536,788,1257,0.9642964925147918,0.9639924563353053,179152,1084,3278,16114,24135
115,30,4,16,10,5,,,,21135,623,1658,0.9704435985618977,0.9702154108115261,175252,2032,7178,11775,18114
116,28,1,23,18,5,,,,21020,567,1773,0.9726474148493924,0.9724157880322298,174301,1559,8129,12201,18387
117,2,23,3,1,1,,,,20461,626,2332,0.9687459755922033,0.9684641988670012,168838,218,13592,16450,22368
118,24,29,30,3,1,,,,21302,676,1491,0.9685236629490369,0.9681469906555699,178913,616,3517,19957,29901
119,4,2,29,1,1,,,,21185,660,1608,0.9689461561400587,0.9686034714004452,177389,228,5041,20969,27203
120,24,2,1,1,4,,,,18571,508,4222,0.9695989407558393,0.969395254781689,151752,1741,30678,12414,16169
121,25,1,22,14,5,,,,21067,574,1726,0.9724409666895002,0.9722129553015281,174443,1636,7987,12041,18100
122,3,30,9,1,1,,,,20437,595,2356,0.9700852794056358,0.9698005549088985,169127,218,13303,15924,22602
