observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,21611,883,1182,0.960489742657549,0.960140053811211,180701,1758,1729,17959,27759
2,5,2,26,19,4,,,,21424,778,1369,0.964444656524632,0.9642617435216841,176515,3169,5915,10681,14520
3,1,30,25,7,1,,,,21788,1124,1005,0.9510415275329751,0.9507175372077125,180986,2084,1444,17115,25719
4,6,10,16,13,2,,,,21753,914,1040,0.9595703834929016,0.9592496936639731,181306,2088,1124,16672,25457
5,19,5,9,11,3,,,,21475,759,1318,0.9653776683308476,0.9650168308613961,180274,1123,2156,19342,28644
6,24,6,16,18,1,,,,21402,723,1391,0.9667382769094006,0.9663635571996427,179755,936,2675,19960,29746
7,19,6,2,29,5,,,,21719,981,1074,0.9567057501015335,0.9564947576851166,178849,4796,3581,11263,16749
8,25,10,3,21,3,,,,21644,878,1149,0.9607846792930571,0.9604047946844556,181277,1830,1153,20441,30156
9,4,15,2,28,2,,,,21905,1066,888,0.9537414705339385,0.9534149733431396,181928,2914,502,16887,25918
10,20,10,16,17,1,,,,21450,755,1343,0.9654873167824651,0.9651200798773732,179957,1095,2473,19405,29152
11,30,24,29,27,3,,,,21294,725,1499,0.9663944871855383,0.9660003676118315,179183,936,3247,20779,31286
12,28,3,6,2,2,,,,21413,720,1380,0.9668927400637581,0.9665186628170271,179909,834,2521,20473,29695
13,12,9,25,11,2,,,,21599,836,1194,0.9624296413535952,0.9620878258286651,180605,1544,1825,17896,27134
14,17,5,25,3,5,,,,21269,674,1524,0.9685336976320583,0.9683269505105446,175744,2452,6686,10697,16412
15,24,6,1,25,4,,,,21934,1226,859,0.94736414735931,0.9471280484955877,180164,6560,2266,12928,18742
16,22,24,3,11,1,,,,21637,879,1156,0.9607247106547776,0.9603505452268468,181206,1760,1224,20043,29702
17,26,19,10,2,2,,,,21342,701,1451,0.9675401214978694,0.9671658049021676,179229,665,3201,20073,29714
18,10,22,20,27,3,,,,21636,917,1157,0.95913608596583,0.9587894204749127,180882,1962,1548,17711,27519
19,4,22,23,17,4,,,,21946,1248,847,0.9465202678515207,0.9463473697134037,179813,6521,2617,8692,13725
20,15,16,13,1,1,,,,21045,623,1748,0.9702404278370715,0.9698950346748937,175979,241,6451,18681,27418
21,1,20,10,16,5,,,,22060,1427,733,0.9397983736290703,0.9396323410272209,180332,7053,2098,8668,13180
22,8,13,23,7,1,,,,21683,877,1110,0.9609273970890764,0.9605996149722237,180893,1694,1537,17177,26020
23,9,5,28,25,4,,,,21579,850,1214,0.9617904572415749,0.9616107187618187,177527,3910,4903,9565,14268
24,27,25,6,27,3,,,,21546,823,1247,0.9628430010885944,0.9624624992115947,180819,1551,1611,20225,30205
25,25,27,10,4,2,,,,21419,727,1374,0.9666076084866875,0.9662333800721854,179786,841,2644,19944,29707
26,13,25,26,1,3,,,,21126,663,1667,0.9686791006314801,0.9683429790925921,176495,521,5935,17931,26682
27,13,7,4,11,5,,,,21643,888,1150,0.9603642843704185,0.9601720241602953,178121,4186,4309,10076,15262
28,10,16,22,11,5,,,,21585,915,1208,0.9590835453521883,0.9588968405576506,177720,4268,4710,9533,14821
29,29,8,15,10,2,,,,21367,722,1426,0.9666978538737588,0.9663129807287134,179724,912,2706,20456,30552
30,2,19,16,2,2,,,,21390,766,1403,0.9648721578222308,0.9645817519367655,177429,918,5001,15939,23053
31,28,8,5,15,5,,,,21456,797,1337,0.9637168857068426,0.9634980451636463,177319,3336,5111,11518,17372
32,8,21,23,8,4,,,,21683,980,1110,0.9566479599039954,0.9564666719545862,178259,4637,4171,9302,14391
33,12,19,20,17,1,,,,21619,871,1174,0.9610127284511156,0.9606649795911726,180723,1740,1707,17927,27605
34,26,10,6,2,3,,,,21432,727,1361,0.9666385226559286,0.9662664609794781,179888,895,2542,20069,29535
35,21,1,16,7,4,,,,21127,594,1666,0.9716940692948907,0.9714734021411279,174783,1772,7647,11858,17517
36,6,21,12,29,1,,,,21777,1036,1016,0.9546040346124512,0.9542701553955003,181568,2711,862,16816,26504
37,11,4,28,27,2,,,,21515,771,1278,0.9649652361350439,0.9646296058914119,180337,1269,2093,18248,26643
38,20,25,17,16,2,,,,21445,765,1348,0.9650494157502185,0.9646774800469105,179915,1144,2515,19483,29525
39,3,27,28,19,2,,,,21880,1116,913,0.9516378348238558,0.9513045350833604,181840,2932,590,16619,26458
40,11,22,27,27,4,,,,21560,949,1233,0.9575974430904637,0.9574065811822225,177733,4491,4697,9681,15151
41,20,3,5,27,4,,,,21518,801,1275,0.9637019626951767,0.9634942455804656,177423,3404,5007,11054,16489
42,1,4,20,1,1,,,,21101,676,1692,0.9680547883868291,0.9677361393228096,175959,229,6471,18813,25295
43,17,21,20,7,4,,,,21332,741,1461,0.9657995056004781,0.9655922923783371,176195,2917,6235,10620,16449
44,8,10,23,20,5,,,,21700,986,1093,0.9564468484415207,0.956268722417989,178313,4904,4117,9222,14140
45,20,18,3,12,2,,,,21654,882,1139,0.9606435166988004,0.960273457995316,181254,1807,1176,19756,29376
46,8,30,12,27,4,,,,21747,1098,1046,0.9519803046407015,0.9517953004835877,178774,5582,3656,9362,14686
47,24,16,18,15,1,,,,21414,739,1379,0.9660828844436025,0.9657038060631132,179704,994,2726,19959,30092
48,22,9,1,20,1,,,,21777,1075,1016,0.9530073756652934,0.9526018681195021,181936,2921,494,22088,32190
49,29,29,28,12,1,,,,21316,730,1477,0.9662326265335929,0.9658436088721583,179342,899,3088,20528,30881
50,28,13,29,29,5,,,,21093,669,1700,0.9683408148331101,0.9681123877337676,174922,2287,7508,11613,18133
51,9,12,26,10,1,,,,21663,878,1130,0.9608339202804571,0.9604985167884816,180904,1756,1526,17416,26625
52,17,29,21,18,1,,,,21498,805,1295,0.963482843928149,0.9631184540160782,180084,1264,2346,19038,28926
53,19,30,5,16,5,,,,21528,848,1265,0.961743790524983,0.9615361741887859,177579,3737,4851,10777,16481
54,23,21,22,11,2,,,,21394,739,1399,0.966034805068138,0.9656560290231908,179594,973,2836,19915,30068
55,25,25,27,28,3,,,,21352,743,1441,0.9657622972767602,0.9653764667358316,179478,1048,2952,20223,30628
56,16,24,20,22,4,,,,21398,795,1395,0.963656834046386,0.9634500869248723,176568,3346,5862,10558,16412
57,27,11,12,3,3,,,,21352,690,1441,0.968036479995938,0.967659807702471,179506,701,2924,20131,29901
58,2,14,17,9,3,,,,21850,1026,943,0.9552188172423773,0.9549029269901791,181527,2359,903,16377,25076
59,1,2,25,11,1,,,,21437,751,1356,0.9656262809626984,0.9652725609757996,179697,862,2733,20945,28079
60,16,24,7,19,1,,,,21590,840,1203,0.9622387047259781,0.9618796938670932,180789,1534,1641,18892,28499
61,2,16,17,20,4,,,,22015,1321,778,0.9438314196613611,0.9436681332740189,180041,6871,2389,8520,12962
62,30,16,10,24,2,,,,21435,764,1358,0.9650675704879771,0.9646821934503615,180083,1120,2347,20517,30592
63,14,3,1,29,5,,,,21914,1220,879,0.9475431072876157,0.9473289529453215,180014,6651,2416,11802,17000
64,21,13,6,5,2,,,,21543,792,1250,0.9641445460469313,0.9637803828865171,180625,1265,1805,19452,28908
65,17,22,20,9,5,,,,21325,748,1468,0.9654825828300299,0.9652741980576633,176184,2961,6246,10635,16542
66,23,17,19,13,2,,,,21415,747,1378,0.9657437196218018,0.9653659009727378,179715,1022,2715,19885,29992
67,11,23,1,4,1,,,,21522,805,1271,0.9635427859199726,0.9632019277909256,179280,1343,3150,18735,27058
68,2,26,22,15,1,,,,21899,1159,894,0.9499538015069818,0.949620375793344,181836,2848,594,17080,26468
69,15,15,6,14,2,,,,21629,857,1164,0.9616248164914498,0.9612716759810066,180951,1686,1479,18549,28033
70,19,20,2,12,4,,,,21776,1037,1017,0.954560199188168,0.9543451252419334,179185,5068,3245,11434,17073
71,16,26,20,5,1,,,,21464,736,1329,0.9663305999587609,0.9659740959654123,179767,940,2663,18815,28300
72,20,1,18,29,3,,,,21337,676,1456,0.9686044505778852,0.9682295797003563,179276,571,3154,21007,29758
73,12,20,14,17,5,,,,21521,912,1272,0.9590377982370925,0.9588441019331445,177529,4161,4901,9796,15376
74,12,29,28,6,1,,,,21570,823,1223,0.9629034418106334,0.9625608200575911,180275,1312,2155,17815,27198
75,4,1,3,21,1,,,,21697,1037,1096,0.9543359674302118,0.9540069129846196,180879,2840,1551,20574,26121
76,10,26,1,25,2,,,,21838,1086,955,0.9527349574938334,0.9523671789042287,182050,3000,380,19082,29195
77,4,21,19,27,4,,,,21963,1299,830,0.9445387229482097,0.944365484682608,179928,7013,2502,8692,13752
78,25,9,6,23,5,,,,21435,797,1358,0.9636644334768079,0.9634493217386304,177160,3307,5270,11258,17076
79,30,13,12,24,2,,,,21396,743,1397,0.9658686678632435,0.965483492382656,179920,1044,2510,20508,30576
80,28,26,13,23,4,,,,21233,722,1560,0.9663768400892784,0.9661527716606674,175887,2694,6543,11501,17787
81,4,28,16,25,2,,,,21868,1106,925,0.9520086302446891,0.9516709592361481,181852,3134,578,16859,26805
82,27,12,1,28,1,,,,21774,1095,1019,0.9521818757466936,0.9517631662155656,181997,3202,433,22885,33238
83,10,29,29,18,4,,,,21607,973,1186,0.9567282700429415,0.9565388316312109,177931,4584,4499,9593,15038
84,14,9,10,21,4,,,,21471,826,1322,0.9625264267769822,0.9623293417955002,177086,3641,5344,10233,15645
85,24,24,3,15,1,,,,21653,884,1140,0.9605573921175116,0.9601781121799943,181246,1806,1184,20312,30108
86,17,14,27,11,1,,,,21481,777,1312,0.9646274816221873,0.9642669464882778,179987,1144,2443,18964,28620
