observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,21611,883,1182,0.960489742657549,0.960140053811211,180701,1758,1729,17959,27759
2,5,2,26,19,4,,,,21424,778,1369,0.964444656524632,0.9642617435216841,176515,3169,5915,10681,14520
3,1,30,25,7,1,,,,21788,1124,1005,0.9510415275329751,0.9507175372077125,180986,2084,1444,17115,25719
4,6,10,16,13,2,,,,21753,914,1040,0.9595703834929016,0.9592496936639731,181306,2088,1124,16672,25457
5,19,5,9,11,3,,,,21475,759,1318,0.9653776683308476,0.9650168308613961,180274,1123,2156,19342,28644
6,24,6,16,18,1,,,,21402,723,1391,0.9667382769094006,0.9663635571996427,179755,936,2675,19960,29746
7,19,6,2,29,5,,,,21719,981,1074,0.9567057501015335,0.9564947576851166,178849,4796,3581,11263,16749
8,25,10,3,21,3,,,,21644,878,1149,0.9607846792930571,0.9604047946844556,181277,1830,1153,20441,30156
9,4,15,2,28,2,,,,21905,1066,888,0.9537414705339385,0.9534149733431396,181928,2914,502,16887,25918
10,20,10,16,17,1,,,,21450,755,1343,0.9654873167824651,0.9651200798773732,179957,1095,2473,19405,29152
11,30,22,10,1,2,,,,21121,645,1672,0.9694517807784072,0.9690725890220897,177390,350,5040,20570,30101
12,28,22,10,3,2,,,,21366,710,1427,0.9672101017910997,0.9668323587259212,179556,728,2874,20235,29986
13,30,21,11,5,2,,,,21375,732,1418,0.9662886199002564,0.9659049309027506,179753,887,2677,20486,30458
14,29,22,30,1,2,,,,21051,620,1742,0.9703855174651876,0.9700001152329436,177054,272,5376,20642,30594
15,29,22,10,3,2,,,,21367,710,1426,0.9672124617270494,0.9668329802325041,179549,725,2881,20334,30124
16,13,18,30,9,4,,,,21482,841,1311,0.9619207966900108,0.9617256265002952,177055,3627,5375,9985,15493
17,13,26,20,1,4,,,,20917,604,1876,0.9707868213960172,0.9705909835486463,172530,1957,9900,10217,15546
18,14,26,29,1,4,,,,20940,603,1853,0.9708827893175075,0.9706822148799775,172720,1921,9710,10477,15922
19,13,25,30,9,4,,,,21479,843,1314,0.9618286700980053,0.9616328448479486,177054,3642,5376,10003,15545
20,13,26,30,1,4,,,,20915,603,1878,0.9708264673799524,0.9706306169352672,172494,1949,9936,10221,15547
21,9,27,26,24,5,,,,21686,1024,1107,0.9548399368430137,0.9546522872499069,178351,5034,4079,9452,14896
22,9,27,26,23,5,,,,21686,1022,1107,0.9549223459578947,0.954734847532559,178345,5011,4085,9447,14884
23,9,27,26,13,5,,,,21674,997,1119,0.9559202308957089,0.9557344457051116,178224,4763,4206,9414,14748
24,9,26,25,24,5,,,,21685,1024,1108,0.9548371074754257,0.9546494830769475,178349,5034,4081,9451,14894
25,8,26,27,24,5,,,,21730,1076,1063,0.9528302962324398,0.952645090518298,178650,5418,3780,9341,14702
26,15,18,22,6,4,,,,21408,768,1385,0.9648310779445419,0.9646286391045026,176493,3081,5937,10348,16070
27,16,18,20,6,4,,,,21369,747,1424,0.9656323628959301,0.9654265983649282,176365,2958,6065,10559,16334
28,16,17,19,5,4,,,,21349,723,1444,0.9666120629780652,0.9664068779235189,176220,2782,6210,10565,16288
29,16,18,20,5,4,,,,21350,729,1443,0.9663571909648544,0.9661515650043092,176222,2796,6208,10578,16323
30,16,19,19,5,4,,,,21350,729,1443,0.9663571909648544,0.9661513256553383,176230,2805,6200,10584,16342
31,11,24,23,2,3,,,,21381,727,1412,0.9665170398296695,0.9661857682567688,178731,869,3699,17490,26297
32,11,24,23,2,3,,,,21381,727,1412,0.9665170398296695,0.9661857682567688,178731,869,3699,17490,26297
33,11,24,23,2,3,,,,21381,727,1412,0.9665170398296695,0.9661857682567688,178731,869,3699,17490,26297
34,11,24,23,3,3,,,,21444,740,1349,0.9661121868717951,0.965779050896385,179300,925,3130,17521,26445
35,11,24,23,2,3,,,,21381,727,1412,0.9665170398296695,0.9661857682567688,178731,869,3699,17490,26297
36,21,30,29,1,4,,,,20884,543,1909,0.9734170087889059,0.9731990122657647,172954,1557,9476,11212,17305
37,21,30,28,8,4,,,,21226,696,1567,0.9674822761950863,0.9672654512221706,175555,2559,6875,11038,17212
38,14,30,28,8,4,,,,21422,802,1371,0.963419559278951,0.9632195013313054,176677,3330,5753,10256,15881
39,21,30,28,9,4,,,,21231,700,1562,0.9673212977441471,0.9671044979658598,175584,2598,6846,11035,17210
40,21,30,28,8,4,,,,21226,696,1567,0.9674822761950863,0.9672654512221706,175555,2559,6875,11038,17212
41,18,28,13,13,5,,,,21334,762,1459,0.964905377400391,0.9646952164067149,176365,3048,6065,10740,16683
42,18,28,14,12,5,,,,21328,761,1465,0.964933393898045,0.9647230691392835,176308,3017,6122,10736,16696
43,6,28,30,12,5,,,,21815,1126,978,0.95104028068658,0.9508647245151557,179019,5642,3411,8825,13936
44,19,28,13,12,5,,,,21326,754,1467,0.9652280728116716,0.9650172567576543,176338,3017,6092,10791,16735
45,19,28,13,12,5,,,,21326,754,1467,0.9652280728116716,0.9650172567576543,176338,3017,6092,10791,16735
46,26,14,29,1,1,,,,21055,607,1738,0.9709646745020204,0.970587183383127,176782,202,5648,20291,29966
47,14,22,29,1,1,,,,21020,626,1773,0.9700520653063786,0.9697102119895057,175623,231,6807,18531,27137
48,25,20,5,1,3,,,,21120,660,1673,0.968795785004399,0.9684319871660981,177111,545,5319,19837,28879
49,26,1,7,1,3,,,,21209,667,1584,0.9686978461099992,0.9683236050981829,178338,515,4092,21138,29708
50,24,12,5,1,1,,,,20954,613,1839,0.9704735933366433,0.9701130330081054,175362,244,7068,20127,28622
51,1,13,25,4,4,,,,21780,1077,1013,0.9529343201614302,0.9527775591828709,178361,4768,4069,8616,12444
52,1,13,25,4,4,,,,21780,1077,1013,0.9529343201614302,0.9527775591828709,178361,4768,4069,8616,12444
53,23,14,25,4,4,,,,21173,633,1620,0.9700931102450593,0.9698732997086656,175193,2202,7237,11227,17449
54,23,8,25,4,4,,,,21179,629,1614,0.9702808816320546,0.9700610962902895,175209,2206,7221,11248,17447
55,3,12,25,4,4,,,,21736,978,1057,0.9568762937155908,0.956716118864869,178142,4570,4288,8505,12715
56,27,11,1,3,1,,,,21120,710,1673,0.9666231259090697,0.9662549694000374,175965,1062,6465,21311,29225
57,27,11,29,3,1,,,,21273,665,1520,0.968932047679127,0.9685501349029308,178968,601,3462,20304,30317
58,28,4,17,3,1,,,,21335,677,1458,0.9685567483005427,0.9681760700611434,179467,656,2963,20486,30219
59,27,11,17,3,1,,,,21340,680,1453,0.9684390523274758,0.9680599109604153,179344,665,3086,20217,30097
60,27,16,1,15,1,,,,21746,1051,1047,0.9539007901067337,0.9534862628839376,181684,2802,746,22681,32906
61,23,8,27,1,2,,,,21161,620,1632,0.9706328630848521,0.9702602723212029,177491,302,4939,20003,29577
62,23,9,27,6,2,,,,21382,710,1411,0.9672478356574362,0.9668719569947671,179483,857,2947,19894,29838
63,23,9,27,6,2,,,,21382,710,1411,0.9672478356574362,0.9668719569947671,179483,857,2947,19894,29838
64,23,15,27,6,2,,,,21380,714,1413,0.9670716184834617,0.9666950721631372,179455,857,2975,19872,29891
65,23,15,27,6,2,,,,21380,714,1413,0.9670716184834617,0.9666950721631372,179455,857,2975,19872,29891
66,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
67,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
68,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
69,13,7,29,1,1,,,,21114,634,1679,0.9699157973071675,0.9695798395333649,176300,233,6130,18334,26669
70,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
71,17,3,30,30,4,,,,21281,694,1512,0.9676982233022423,0.9674923705900406,175779,2581,6651,10777,16341
72,17,5,30,27,4,,,,21303,712,1490,0.9669749656840315,0.9667699317972562,175943,2728,6487,10663,16276
73,17,4,30,20,4,,,,21290,701,1503,0.9674176990635724,0.9672125518009689,175862,2657,6568,10708,16285
74,12,4,30,20,4,,,,21407,765,1386,0.9649564874808537,0.9647679308811208,176683,3221,5747,9987,14968
75,17,4,30,20,4,,,,21290,701,1503,0.9674176990635724,0.9672125518009689,175862,2657,6568,10708,16285
76,29,26,29,2,1,,,,21168,639,1625,0.969820476920032,0.9694346337817891,178082,365,4348,20610,30629
77,29,25,28,2,1,,,,21171,638,1622,0.9698708304853981,0.9694852896826973,178129,372,4301,20591,30605
78,29,26,28,2,1,,,,21171,638,1622,0.9698708304853981,0.9694852896826973,178129,372,4301,20591,30605
79,29,26,29,2,1,,,,21168,639,1625,0.969820476920032,0.9694346337817891,178082,365,4348,20610,30629
80,30,6,28,2,1,,,,21188,644,1605,0.9696483766123813,0.9692599636220309,178405,363,4025,20845,30833
81,15,20,26,5,3,,,,21507,774,1286,0.9648184668057946,0.9644641673424402,179924,1063,2506,18564,28125
82,15,23,26,5,1,,,,21481,749,1312,0.9658175840757223,0.9654645317464788,179753,956,2677,18554,28026
83,14,29,26,3,3,,,,21409,723,1384,0.966754902412349,0.9664063977135507,179117,786,3313,18372,27665
84,15,29,26,5,3,,,,21499,772,1294,0.9648837777091607,0.9645295538296917,179861,1064,2569,18548,28119
85,15,23,26,5,3,,,,21503,770,1290,0.9649784144250877,0.9646242157402473,179895,1063,2535,18552,28117
86,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
87,25,7,29,1,1,,,,21082,614,1711,0.9707182172894852,0.970341885123503,177046,204,5384,20250,29874
