observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,3496,224,212,0.9398455814353615,0.9398084471758058,28233,28,45,714,1160
2,19,23,11,11,5,4,3,5,3499,72,209,0.9790863353237785,0.9790512178386642,28255,153,23,635,1097
3,2,24,12,30,2,4,5,1,3500,811,208,0.8141541868460598,0.8141174367340167,28226,34,52,620,1148
4,12,26,22,29,4,1,1,3,3497,74,211,0.9785266975213641,0.978487674536538,28257,32,21,742,1219
5,27,10,28,28,3,4,4,1,3490,37,218,0.9884949385660309,0.9884515619093948,28223,27,55,854,1355
6,18,24,10,12,4,5,4,5,3487,68,221,0.9800284424658382,0.9800006878080496,28151,153,127,522,867
7,29,2,28,26,3,1,1,1,3489,35,219,0.9890352866473149,0.9889871081467707,28238,16,40,955,1505
8,2,25,28,30,1,4,1,1,3503,814,205,0.8137390181238705,0.8137000911759225,28265,36,13,670,1216
9,24,30,18,29,5,1,1,1,3492,38,216,0.9882384903609955,0.9881962661468974,28251,31,27,795,1319
10,14,17,25,21,4,1,4,2,3489,67,219,0.9803205358748428,0.9802847461315813,28167,27,111,656,1118
11,29,4,21,24,3,1,1,3,3493,36,215,0.9887957243714225,0.988749178497807,28248,24,30,913,1454
12,3,29,4,3,1,5,4,5,3509,831,199,0.8108870073208608,0.8108593486999504,28230,213,48,460,864
13,1,27,30,24,5,1,2,1,3502,824,206,0.8118433619866284,0.8118031225346789,28261,34,17,711,1257
14,25,17,30,1,1,5,4,1,3478,33,230,0.9894905745190531,0.9894479661574422,28102,5,176,840,1331
15,24,30,10,30,3,5,5,5,3496,46,212,0.9860887028533389,0.986052400913394,28233,153,45,706,1134
16,8,8,14,20,1,2,4,3,3495,221,213,0.9405679469514295,0.9405301724460194,28223,28,55,736,1180
17,30,24,29,4,5,5,1,3,3491,35,217,0.9890527079248876,0.9890075705921518,28250,27,28,857,1410
18,26,30,2,28,3,5,1,4,3499,48,209,0.9855727250705592,0.9855328697661222,28268,175,10,765,1245
19,28,6,1,1,1,1,1,1,3488,35,220,0.9890265687469875,0.9889800548856648,28143,6,135,961,1453
20,6,27,6,2,4,5,1,5,3504,282,204,0.9258965659384215,0.9258666984693134,28248,185,30,532,933
21,22,6,21,1,2,3,2,3,3493,61,215,0.9819852238352806,0.9819422633384498,28239,23,39,843,1342
22,30,30,1,29,1,4,3,1,3493,37,215,0.9885214910741577,0.9884735686719552,28261,29,17,935,1497
23,17,19,27,27,5,1,4,5,3484,61,224,0.9818897149588812,0.9818570624203065,28154,52,124,620,1020
24,12,29,3,4,5,1,4,5,3491,69,217,0.9798033096077419,0.9797704329831181,28176,49,102,636,1027
25,16,2,9,28,1,4,1,1,3498,68,210,0.9801504130193565,0.9801094052723817,28253,24,25,799,1281
26,28,28,30,30,2,3,2,4,3493,40,215,0.9876997030962816,0.987655238021693,28251,50,27,879,1389
27,13,7,1,1,2,1,2,3,3497,71,211,0.9793323624957992,0.9792919629823861,28235,28,43,816,1262
28,30,1,28,5,2,3,5,5,3488,31,220,0.9901271155167227,0.9900838348969647,28190,34,88,883,1352
29,27,2,3,29,5,5,2,2,3494,45,214,0.9863425154839401,0.986298786692084,28259,28,19,846,1366
30,23,29,9,9,4,4,4,1,3478,56,230,0.9831857706616007,0.9831486364020451,28139,27,139,669,1160
31,10,5,15,7,3,2,5,3,3497,142,211,0.9606140018349734,0.9605758111697579,28216,28,62,733,1193
32,21,27,29,28,4,3,2,2,3493,61,215,0.9819852238352806,0.9819434798055733,28251,31,27,780,1304
33,4,29,5,20,1,4,5,4,3508,560,200,0.8638691883372736,0.8638409534950942,28238,208,40,542,882
34,5,2,28,30,1,5,4,5,3504,384,204,0.9020698177324684,0.9020398222141894,28200,184,78,626,937
35,5,26,25,1,5,1,1,1,3494,457,214,0.8854222100584368,0.8853828349383907,28186,6,92,756,1230
36,26,9,27,1,1,1,4,5,3490,37,218,0.9884949385660309,0.9884533866100798,28215,38,63,840,1298
37,30,30,3,27,2,3,1,1,3493,45,215,0.9863330886090248,0.9862861906001894,28259,28,19,922,1465
38,19,2,17,28,3,2,5,1,3493,60,215,0.9822558420741824,0.9822157626836965,28194,23,84,796,1252
39,15,24,14,7,5,3,3,2,3497,67,211,0.9804086484546719,0.9803695614452603,28255,27,23,736,1221
40,28,1,1,9,3,4,2,4,3497,46,211,0.9860981868426246,0.98605612268999,28258,170,20,838,1314
41,25,1,26,29,1,2,2,2,3487,37,221,0.9884683417997098,0.9884208355573126,28235,15,43,940,1484
42,30,28,1,2,2,2,4,4,3492,36,216,0.9887869520897046,0.9887433833593121,28232,49,46,886,1361
43,23,29,30,15,3,2,5,1,3490,60,218,0.9822242736043411,0.9821820814025356,28225,27,53,818,1318
44,22,23,7,30,5,5,1,3,3493,61,215,0.9819852238352806,0.9819432557195242,28256,31,22,781,1311
45,17,3,15,1,4,2,2,2,3494,64,214,0.9811850603762988,0.9811430922605424,28219,6,59,792,1311
46,20,22,22,25,1,5,3,2,3493,64,215,0.9811742630659378,0.9811325190362304,28251,31,27,803,1304
47,29,3,3,5,3,1,3,5,3496,44,212,0.9866341551521721,0.986589401966949,28257,47,21,895,1398
48,9,28,7,3,5,5,2,4,3505,232,203,0.9380637080413872,0.9380337125231082,28251,187,27,540,937
49,9,5,30,11,3,3,1,5,3499,222,209,0.9404043281712778,0.9403669698256731,28256,48,22,751,1167
50,30,24,30,2,5,4,5,4,3481,37,227,0.9884150150491227,0.9883818183015716,28110,135,168,608,1037
51,11,23,30,3,3,1,5,2,3497,139,211,0.9613904284331838,0.9613516295344067,28225,24,53,746,1212
52,26,2,4,29,1,5,3,2,3494,38,214,0.988256324387926,0.9882111870551902,28255,27,23,899,1410
53,30,29,30,30,1,5,5,4,3496,42,212,0.9871802112159033,0.9871409321327353,28226,149,52,766,1227
54,16,30,2,19,5,2,4,2,3490,73,218,0.9787150508987913,0.9786786529219682,28181,32,97,658,1137
55,29,5,28,10,5,5,1,1,3491,35,217,0.9890527079248876,0.9890073785183956,28250,27,28,860,1416
56,27,6,30,2,3,3,3,1,3490,37,218,0.9884949385660309,0.9884486167784644,28216,6,62,906,1447
57,13,30,1,29,4,3,3,4,3501,71,207,0.9793774057828306,0.9793400154249332,28262,65,16,717,1168
58,30,11,8,22,1,5,1,3,3493,37,215,0.9885214910741577,0.9884744970284441,28255,27,23,918,1468
59,24,28,25,18,3,1,4,5,3491,38,217,0.9882295659263202,0.9881893584866633,28227,50,51,810,1256
60,21,21,4,2,4,5,5,5,3488,65,220,0.980849807373246,0.9808203560639432,28149,150,129,545,920
61,24,5,14,2,4,2,5,1,3477,32,231,0.9897579832506874,0.9897197285608865,28094,6,184,697,1195
62,15,29,28,29,3,5,1,4,3504,78,204,0.9775367413210138,0.9775038967086827,28256,179,22,620,1026
63,30,14,2,28,2,3,1,5,3495,38,213,0.9882652339884067,0.9882194884221093,28267,69,11,910,1429
64,30,24,29,5,1,4,3,3,3492,37,216,0.9885126451488715,0.988465875189207,28250,27,28,914,1461
65,29,1,30,30,3,2,1,1,3487,35,221,0.9890178460002497,0.9889692833521928,28235,15,43,964,1517
66,26,1,26,3,5,4,1,1,3490,37,218,0.9884949385660309,0.9884501213562223,28243,21,35,865,1400
67,17,30,6,30,4,2,4,1,3485,62,223,0.9816293074795366,0.9815935497485679,28166,31,112,651,1117
68,29,2,2,23,1,3,4,4,3495,44,213,0.9866248115673644,0.9865822672303389,28225,50,53,869,1329
69,24,23,30,22,1,3,2,5,3492,40,216,0.9876906367380189,0.9876481244132862,28251,50,27,835,1328
70,29,28,11,2,2,5,2,4,3497,43,211,0.9869163731599386,0.9868748212039875,28242,136,36,780,1298
71,8,7,28,10,3,1,3,2,3498,223,210,0.9401355644307315,0.9400967335196617,28256,28,22,767,1213
72,27,30,9,29,2,5,1,5,3498,47,210,0.985835310828406,0.9857956475977254,28256,155,22,753,1239
73,7,28,1,1,4,1,5,5,3492,230,216,0.9382758509506358,0.9382430703628901,28177,47,101,634,1024
74,4,2,1,30,3,5,4,3,3497,540,211,0.8676515102644389,0.8676121991689782,28221,34,57,886,1228
75,29,2,5,2,4,5,4,2,3479,30,229,0.9903273004685482,0.9902879893730876,28109,21,169,729,1228
76,1,30,1,30,5,3,2,4,3504,827,204,0.8113853293011065,0.8113467544883785,28268,83,10,693,1205
77,30,7,29,8,1,2,5,1,3491,34,217,0.9893273934014611,0.9892819999703836,28217,27,61,891,1418
78,20,22,2,1,2,1,4,3,3491,69,217,0.9798033096077419,0.9797625579591088,28213,24,65,789,1273
79,14,2,13,27,5,2,5,2,3490,66,218,0.9806015105196907,0.9805666171206254,28135,23,143,661,1090
80,9,23,30,21,2,4,2,5,3505,234,203,0.9375718894280409,0.9375410936024439,28257,198,21,570,962
81,27,29,28,29,4,1,1,1,3491,38,217,0.9882295659263202,0.9881861572573913,28251,31,27,827,1356
82,25,1,1,4,1,5,5,5,3490,53,218,0.9841242985647013,0.9840869722313893,28170,147,108,752,1166
83,12,26,18,1,4,5,3,2,3488,70,220,0.9795001404099971,0.9794612774866346,28162,5,116,733,1214
84,12,3,12,30,3,5,3,3,3498,73,210,0.9788065164225713,0.978766597093549,28256,28,22,792,1247
85,29,8,30,9,1,1,3,3,3492,36,216,0.9887869520897046,0.9887408864004799,28250,27,28,908,1439
86,25,29,5,26,2,3,3,1,3493,40,215,0.9876997030962816,0.9876553980831566,28256,31,22,860,1384
87,14,6,29,8,4,3,2,5,3497,71,211,0.9793323624957992,0.9792944599412183,28255,47,23,731,1184
88,24,1,3,1,1,4,5,4,3487,40,221,0.9876452294497851,0.9876082872639858,28120,125,158,748,1154
89,30,29,26,3,3,1,1,2,3492,37,216,0.9885126451488715,0.9884657791523288,28245,23,33,917,1464
90,30,2,18,27,2,4,1,5,3498,43,210,0.9869256335453146,0.9868826090238983,28248,135,30,815,1344
91,24,28,29,4,5,4,2,1,3492,37,216,0.9885126451488715,0.988470452947066,28240,22,38,791,1318
92,29,1,4,28,1,5,5,4,3496,39,212,0.9880004295654041,0.9879613105436998,28211,138,67,773,1222
93,18,12,29,27,4,1,1,5,3495,63,213,0.9814658803706823,0.9814264732383434,28250,44,28,745,1231
94,28,22,1,1,1,3,5,5,3491,47,217,0.9857683402044389,0.9857258278797062,28217,45,61,869,1328
95,28,30,15,29,2,3,3,1,3493,40,215,0.9876997030962816,0.987653861493106,28256,31,22,900,1432
96,23,2,2,9,2,5,5,5,3496,67,212,0.9803976555708236,0.9803616097292204,28218,145,60,701,1126
97,28,30,28,25,4,2,2,1,3491,36,217,0.9887781749381129,0.9887336458389389,28251,31,27,844,1391
98,18,29,13,1,3,5,1,1,3481,61,227,0.9818577730642087,0.9818162851328431,28122,5,156,808,1296
99,30,6,29,5,3,1,5,1,3491,34,217,0.9893273934014611,0.9892818719212128,28212,23,66,892,1422
100,27,19,1,30,3,1,5,2,3492,48,216,0.9855052831211054,0.9854605299358823,28245,33,33,878,1398
101,26,27,30,23,2,2,5,1,3491,38,217,0.9882295659263202,0.9881860932328058,28228,31,50,855,1358
102,25,7,2,1,5,5,1,5,3499,48,209,0.9855727250705592,0.9855356868478816,28227,169,51,697,1157
103,18,5,9,29,2,1,5,2,3494,62,214,0.981725409099083,0.9816852016594262,28213,24,65,784,1256
104,28,1,22,14,1,4,2,3,3491,38,217,0.9882295659263202,0.9881828279789484,28245,23,33,933,1460
105,30,30,17,5,3,5,3,5,3497,44,211,0.98664349357003,0.9866015574665663,28250,149,28,791,1310
106,24,6,30,22,4,5,4,1,3479,33,229,0.9894991922455575,0.9894622180474654,28133,27,145,678,1155
107,28,28,3,1,5,3,5,5,3478,32,230,0.9897665312069575,0.9897294929842799,28124,43,154,701,1157
108,16,3,6,11,1,2,3,5,3499,67,209,0.980430616110557,0.9803910489167547,28253,42,25,784,1236
109,26,24,12,29,1,1,1,2,3493,40,215,0.9876997030962816,0.9876548858864731,28256,31,22,880,1400
110,21,22,29,1,1,5,1,1,3481,58,227,0.9826726663994263,0.9826295778534246,28125,5,153,831,1346
111,28,30,28,4,1,5,5,1,3491,37,217,0.9885037943141919,0.9884592972273105,28217,22,61,872,1390
112,26,4,2,30,4,2,1,5,3498,44,210,0.9866528268252232,0.9866106986480031,28266,94,12,828,1316
113,22,1,28,18,5,1,5,2,3467,45,241,0.986086145304785,0.9860481147010332,28053,13,225,732,1188
114,21,14,1,5,1,5,2,1,3494,61,214,0.981995806703653,0.9819513416290644,28257,29,21,860,1389
115,22,30,19,30,4,2,2,1,3492,61,216,0.9819746351339953,0.981932763055117,28251,31,27,781,1308
116,30,2,7,1,4,1,5,1,3474,29,234,0.9905620027943315,0.9905213471825766,28062,6,216,752,1270
117,25,29,28,26,3,3,1,5,3493,40,215,0.9876997030962816,0.987656838636329,28251,50,27,838,1339
118,21,1,21,29,1,5,4,1,3491,51,217,0.9846783929236289,0.984636712918507,28197,24,81,829,1302
119,24,12,1,20,5,4,1,5,3502,54,206,0.9839732062578671,0.9839365521827023,28271,214,7,688,1145
120,22,14,28,3,2,4,4,2,3491,59,217,0.982505713224285,0.9824638411454067,28214,22,64,805,1308
121,30,1,1,4,5,2,3,1,3485,37,223,0.9884505859796014,0.9884035279093024,28175,21,103,946,1470
122,24,30,29,27,4,4,1,4,3497,45,211,0.986370764839281,0.9863337906411889,28251,152,27,670,1155
123,21,1,12,28,1,4,5,4,3496,57,212,0.9830994628947443,0.9830630008933358,28197,128,81,728,1139
124,24,8,28,2,3,4,4,5,3494,44,214,0.9866154628113175,0.9865791288590798,28220,146,58,707,1135
125,28,28,3,17,1,5,4,2,3492,38,216,0.9882384903609955,0.9881939292495288,28233,31,45,875,1392
126,24,2,28,10,1,1,4,1,3485,33,223,0.9895507978874439,0.9895085096487602,28168,16,110,847,1321
127,29,26,2,23,4,4,1,5,3501,49,207,0.9853201094237243,0.9852810224143127,28268,201,10,732,1221
128,30,23,22,1,5,3,1,2,3489,34,219,0.9893101199421556,0.98926357406854,28214,6,64,875,1454
129,23,22,30,30,5,2,4,2,3477,57,231,0.9829030835510024,0.9828659172791541,28134,31,144,669,1161
130,29,3,12,30,5,5,3,1,3493,35,215,0.9890701098652168,0.9890246524095538,28255,27,23,863,1420
131,24,23,28,2,1,3,2,1,3489,38,219,0.9882117021939489,0.9881664047997496,28214,6,64,870,1415
132,27,3,1,30,5,4,4,2,3484,39,224,0.9878923639663142,0.9878511961578758,28170,33,108,763,1286
133,28,29,8,16,5,1,5,5,3479,32,229,0.9897750743967179,0.9897383242846748,28129,51,149,695,1148
134,17,6,9,8,1,5,1,5,3500,76,208,0.9780251715735587,0.977990790371177,28255,158,23,659,1074
135,30,4,30,21,1,2,5,5,3493,34,215,0.9893446476822767,0.9893011749887624,28211,38,67,875,1358
136,28,28,27,9,5,5,5,1,3477,31,231,0.9900341685649203,0.9899953056415578,28122,27,156,711,1214
137,15,1,2,28,5,1,3,1,3494,75,214,0.9782237427837102,0.9781808463114648,28258,26,20,938,1340
138,30,3,10,3,1,4,1,2,3494,36,214,0.9888044917873193,0.9887573376801422,28248,22,30,923,1473
139,30,24,10,29,3,2,2,5,3494,37,214,0.9885303320941338,0.9884849066507635,28255,45,23,898,1419
140,21,3,29,16,3,2,3,4,3496,61,212,0.9820169549609272,0.9819742185501454,28248,39,30,840,1335
141,28,11,20,14,5,3,5,1,3477,31,231,0.9900341685649203,0.9899951135678015,28121,27,157,714,1220
142,26,29,4,29,1,1,1,4,3495,48,213,0.9855342187632181,0.9854913222909728,28260,58,18,858,1340
143,29,30,28,3,3,1,2,5,3493,37,215,0.9885214910741577,0.9884768659381055,28247,44,31,879,1394
144,30,2,1,2,4,2,3,4,3494,38,214,0.988256324387926,0.9882132358419243,28204,71,74,865,1346
145,21,1,10,28,2,5,1,1,3495,55,213,0.9836314717040606,0.9835870706540574,28252,24,26,885,1387
146,25,16,28,25,5,3,5,1,3476,34,232,0.9891973727646303,0.9891596302715129,28131,31,147,689,1179
147,26,30,2,3,2,5,1,4,3498,46,210,0.9861076655916646,0.9860678102872277,28258,167,20,765,1245
148,14,2,1,27,1,5,1,3,3495,74,213,0.9785037152344209,0.9784604026023702,28271,41,7,853,1353
149,30,2,12,9,4,2,4,5,3478,29,230,0.9905953255749042,0.990557679118665,28102,36,176,720,1176
150,19,7,28,1,1,4,2,1,3482,60,226,0.9821398350501507,0.9820980590081505,28131,5,147,816,1305
151,28,12,24,11,5,4,4,1,3477,31,231,0.9900341685649203,0.9899952416169723,28121,27,157,712,1216
152,28,8,10,2,5,3,5,1,3476,30,232,0.9903021048193182,0.9902616732936124,28091,6,187,732,1263
153,29,3,27,11,4,1,4,1,3478,31,230,0.9900426418596179,0.9900030746658155,28106,24,172,725,1236
