observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,3498,74,210,0.9785381792140363,0.9785002766594554,28257,54,21,753,1184
2,19,22,1,30,5,2,1,1,3497,70,211,0.9796012123860588,0.9795562671270793,28272,41,6,844,1404
3,10,16,13,9,4,1,2,2,3499,144,209,0.9601295173284307,0.9600908144665317,28256,28,22,727,1209
4,14,24,6,16,3,1,4,1,3496,69,212,0.9798590751879276,0.9798201802522722,28232,27,46,748,1215
5,2,29,29,25,2,1,4,3,3499,811,209,0.814107157814405,0.8140678787312371,28234,34,44,675,1227
6,4,15,2,28,2,4,2,3,3501,551,207,0.865487303219682,0.8654484723086122,28263,34,15,749,1213
7,17,6,30,24,5,5,3,5,3498,72,210,0.9790750008396869,0.9790418681167213,28250,156,28,612,1035
8,3,6,2,10,2,2,5,2,3495,781,213,0.8195299017033092,0.8194931836035589,28201,28,77,680,1147
9,9,17,5,25,1,5,4,1,3497,221,211,0.9406100381946312,0.9405726798490265,28234,32,44,716,1167
10,1,25,22,22,4,1,2,1,3503,816,205,0.8133686884400876,0.8133297294798468,28264,35,14,685,1217
11,26,19,10,2,2,2,4,4,3492,37,216,0.9885126451488715,0.9884711572175059,28224,39,54,840,1296
12,27,15,4,22,4,3,4,3,3478,34,230,0.9892147716671598,0.989176164842139,28140,27,138,712,1206
13,16,13,1,4,1,4,2,3,3497,66,211,0.9806780896828291,0.980636537726878,28267,34,11,795,1298
14,28,8,13,23,2,1,2,1,3493,38,215,0.9882474098468258,0.9882015042190647,28255,27,23,908,1434
15,28,25,20,27,5,1,5,3,3477,32,231,0.9897579832506874,0.9897188642289831,28123,31,155,714,1222
16,25,27,10,4,2,3,5,5,3493,37,215,0.9885214910741577,0.9884808994869881,28233,45,45,816,1268
17,1,16,13,7,1,2,5,2,3498,818,210,0.8127625562288561,0.8127235012317372,28218,31,60,694,1220
18,16,22,11,30,5,2,3,2,3497,68,211,0.9801393552437596,0.9801001401851771,28256,31,22,737,1225
19,9,2,19,16,1,2,5,2,3497,166,211,0.9544474467097902,0.9544100563518928,28193,24,85,762,1168
20,5,15,30,8,4,4,2,4,3505,473,203,0.8822937119266979,0.8822637164084189,28256,196,22,562,937
21,12,19,20,17,1,5,2,1,3497,73,211,0.9787951051847871,0.9787558261016192,28256,28,22,765,1227
22,2,18,21,1,3,2,4,1,3496,811,212,0.8139659419513762,0.8139294159253821,28148,6,130,641,1141
23,21,12,29,5,2,1,5,5,3493,59,215,0.9825266095096649,0.9824872984142042,28220,44,58,784,1228
24,8,20,25,17,3,2,1,5,3499,224,209,0.9399092056840465,0.9398724235597107,28257,54,21,728,1149
25,28,19,11,11,4,5,5,4,3483,38,225,0.9881579917951393,0.9881260115147116,28129,150,149,590,999
26,20,3,5,27,4,1,1,4,3499,69,209,0.9798924610731489,0.9798533100391518,28257,56,21,759,1223
27,1,5,17,21,4,2,4,2,3496,767,212,0.8222206542957267,0.8221840322328545,28176,30,102,661,1144
28,10,23,20,26,4,3,1,2,3498,145,210,0.9598551162088742,0.9598165413961461,28257,32,21,720,1205
29,8,8,30,12,5,4,4,3,3489,217,219,0.9414361420815751,0.9414017608791934,28170,28,108,633,1074
30,18,15,6,22,2,1,4,1,3493,62,215,0.9817147546696796,0.9816743871685591,28226,27,52,780,1261
31,29,29,28,12,1,5,3,5,3497,44,211,0.98664349357003,0.9866024217984697,28250,149,28,774,1283
32,29,26,9,12,5,2,1,3,3493,35,215,0.9890701098652168,0.9890249405201883,28255,27,23,858,1411
33,29,21,18,3,4,5,1,3,3491,35,217,0.9890527079248876,0.989007442542981,28243,22,35,857,1414
34,27,23,21,22,2,2,5,5,3492,38,216,0.9882384903609955,0.9881973545648498,28228,50,50,835,1285
35,27,28,16,16,4,4,4,4,3481,41,227,0.987316065938305,0.9872851100512444,28129,154,149,577,967
36,27,11,12,3,3,1,3,3,3493,39,215,0.9879734805629724,0.9879284392671148,28250,23,28,887,1407
37,9,18,1,2,5,2,1,3,3498,222,210,0.9403832505322923,0.9403432351663918,28236,26,42,766,1250
38,24,7,19,3,1,3,3,4,3492,38,216,0.9882384903609955,0.9881956899256283,28250,44,28,844,1337
39,22,30,16,10,4,2,3,1,3492,60,216,0.982245325052319,0.9822035810226116,28250,27,28,780,1304
40,1,29,26,21,3,1,1,2,3502,814,206,0.8136919588088777,0.8136511751479519,28264,35,14,721,1274
41,17,22,20,9,5,4,3,4,3498,72,210,0.9790750008396869,0.9790420922027703,28250,157,28,602,1028
42,13,8,11,23,1,1,1,1,3496,72,212,0.9790523132071246,0.9790120737551751,28255,27,23,795,1257
43,26,22,15,3,3,3,1,3,3493,39,215,0.9879734805629724,0.9879285993285783,28247,23,31,880,1402
44,12,19,20,2,2,4,3,5,3504,84,204,0.9759358288770054,0.9759034324367724,28249,176,29,609,1012
45,20,5,3,20,1,3,5,3,3493,60,215,0.9822558420741824,0.9822153145115984,28223,27,55,788,1266
46,12,20,14,17,5,2,5,5,3490,70,218,0.979522644093675,0.9794897994813438,28172,54,106,635,1026
47,6,3,4,1,1,4,1,2,3486,264,222,0.9298082770540602,0.9297691580323559,28159,5,119,783,1222
48,26,1,25,9,1,4,4,5,3494,39,214,0.9879824685423441,0.9879442138525432,28193,126,85,760,1195
49,23,25,9,6,4,5,5,3,3478,56,230,0.9831857706616007,0.9831486364020451,28139,27,139,669,1160
50,12,24,11,28,5,3,4,4,3490,70,218,0.979522644093675,0.9794897994813438,28173,54,105,634,1026
51,4,28,16,25,2,5,2,1,3501,551,207,0.865487303219682,0.8654487604192467,28259,33,19,739,1204
52,28,3,10,29,5,3,4,3,3479,31,229,0.990051110428121,0.9900119273818312,28111,24,167,714,1224
53,9,10,21,23,4,4,1,3,3497,221,211,0.9406100381946312,0.9405722316769284,28256,28,22,715,1181
54,2,17,14,27,2,1,1,4,3504,812,204,0.8141566600988883,0.8141202941343579,28259,50,19,660,1136
55,19,4,3,22,1,5,4,1,3494,62,214,0.981725409099083,0.9816850415979625,28220,27,58,785,1261
56,3,30,12,12,5,5,5,4,3507,821,201,0.8126332375567707,0.812608364005327,28200,208,78,421,777
57,12,3,24,17,3,5,1,3,3498,73,210,0.9788065164225713,0.9787666291058417,28256,28,22,792,1246
58,1,15,2,4,1,4,4,3,3498,818,210,0.8127625562288561,0.8127238853792498,28224,31,54,673,1208
59,29,12,9,27,2,5,1,5,3498,44,210,0.9866528268252232,0.9866118510905411,28255,150,23,775,1280
60,2,27,16,30,1,3,5,3,3499,813,209,0.8137360695082699,0.8136958300563204,28240,36,38,693,1257
61,19,21,14,19,3,5,1,2,3495,66,213,0.9806562400040404,0.9806143359128694,28256,31,22,804,1309
62,29,27,14,19,2,1,3,2,3493,38,215,0.9882474098468258,0.9882014081821866,28256,31,22,900,1437
63,18,3,30,30,4,3,2,5,3496,63,212,0.9814765944783519,0.9814361309403533,28248,39,30,772,1264
64,21,5,28,25,5,4,4,3,3482,56,226,0.9832269723838029,0.9831902222717598,28134,27,144,668,1148
65,28,26,2,1,2,5,5,1,3478,33,230,0.9894905745190531,0.9894463655428062,28102,5,176,883,1381
66,18,12,30,26,5,3,3,2,3494,63,214,0.9814551603642677,0.9814145687770982,28250,27,28,763,1268
67,2,26,25,30,5,3,4,5,3499,809,209,0.8144785847299814,0.8144445876751123,28198,54,80,598,1062
68,26,8,14,4,5,4,2,4,3497,44,211,0.98664349357003,0.9866052388802291,28255,148,23,706,1195
69,19,11,4,21,3,4,3,5,3500,73,208,0.9788293201331207,0.9787929221562977,28255,153,23,683,1137
70,17,17,27,13,1,1,4,4,3494,66,214,0.9806453061499428,0.9806083639641435,28229,46,49,746,1154
71,22,7,5,1,2,3,2,3,3494,61,214,0.981995806703653,0.9819528141945295,28244,23,34,841,1343
72,28,11,16,24,2,4,5,5,3496,44,212,0.9866341551521721,0.9865958044254931,28226,148,52,751,1198
73,5,28,15,8,3,5,3,2,3498,463,210,0.8842399025263274,0.8842012316767212,28256,28,22,753,1208
74,20,8,3,4,1,1,1,4,3496,70,212,0.9795900068369554,0.9795499594587622,28259,52,19,797,1251
75,6,11,27,15,4,1,1,1,3495,273,213,0.9278432621854095,0.9278052315816576,28256,28,22,713,1188
76,6,9,6,3,1,3,2,2,3495,279,213,0.9263971500365789,0.9263584791869726,28251,24,27,750,1208
77,16,21,2,24,4,1,5,5,3491,64,217,0.9811526506017325,0.9811197099525232,28173,54,105,627,1029
78,2,9,25,23,1,2,2,3,3501,793,207,0.8175551341808569,0.817515502962469,28262,31,16,717,1238
79,19,12,14,23,1,2,4,5,3494,62,214,0.981725409099083,0.9816873144707458,28226,45,52,763,1190
80,16,16,4,14,3,2,2,2,3497,75,211,0.9782584370244383,0.9782181015356105,28259,28,19,782,1260
81,1,10,7,10,1,5,3,4,3509,816,199,0.8136509717900321,0.8136208162102895,28262,229,16,528,942
82,24,15,3,17,3,4,3,1,3492,46,216,0.9860507144067319,0.9860068895779976,28259,28,19,859,1369
83,9,11,20,18,2,5,4,2,3496,220,212,0.9408370651050637,0.940799706759459,28226,28,52,718,1167
84,4,5,8,5,1,2,1,5,3499,548,209,0.866041948210741,0.8660047499265999,28256,50,22,765,1162
85,3,16,13,30,1,2,5,5,3500,817,208,0.8130421248739786,0.8130087040403785,28210,48,68,609,1044
86,25,8,6,21,5,3,3,2,3493,37,215,0.9885214910741577,0.9884784985650341,28255,27,23,812,1343
87,24,6,10,13,3,2,1,4,3493,38,215,0.9882474098468258,0.9882047694729222,28255,45,23,848,1332
88,9,18,5,15,3,1,2,1,3498,222,210,0.9403832505322923,0.9403448677933206,28256,28,22,748,1199
89,2,30,10,25,2,4,4,3,3499,811,209,0.814107157814405,0.8140683909279206,28237,34,41,652,1211
90,15,13,11,28,5,5,1,4,3505,76,203,0.9780831245081678,0.9780512402646183,28255,170,23,585,996
91,29,6,2,23,3,5,1,4,3499,46,209,0.9861171391048007,0.9860758752594841,28267,172,11,787,1289
92,7,5,5,25,4,3,2,5,3497,225,211,0.9396193158002213,0.9395828858111055,28256,49,22,713,1138
93,12,25,14,12,3,2,4,3,3496,71,212,0.9793210862172324,0.9792823513430406,28233,28,45,752,1210
94,7,27,12,17,5,4,1,5,3504,235,204,0.9373043938818418,0.9372746544619046,28257,198,21,537,929
95,19,11,5,24,4,3,5,4,3485,59,223,0.9824428858167387,0.9824092408970895,28158,49,120,639,1051
96,5,10,8,23,1,3,4,5,3495,470,213,0.8826069608521514,0.8825718753793298,28224,48,54,719,1096
97,11,25,4,26,1,2,4,1,3498,140,210,0.9611474418860252,0.9611088670732971,28234,32,44,742,1205
98,7,22,22,20,4,3,2,2,3497,226,211,0.9393719612109491,0.9393341546932463,28257,32,21,718,1181
99,6,28,18,13,3,5,1,3,3497,280,211,0.9262054973752655,0.9261672426854646,28256,28,22,726,1195
100,16,19,1,27,5,3,4,5,3493,66,215,0.9806343662794287,0.9806008814212431,28188,68,90,639,1046
101,22,5,18,19,3,4,5,5,3497,67,211,0.9804086484546719,0.9803730827974595,28218,144,60,687,1111
102,14,4,30,26,1,5,5,3,3495,69,213,0.9798479343291615,0.9798093275041407,28217,27,61,745,1206
103,18,12,2,11,5,1,2,2,3497,64,211,0.9812174166792933,0.9811762488708549,28261,29,17,773,1286
104,17,28,11,11,4,3,2,3,3494,65,214,0.9809151090124033,0.9808758939538208,28255,27,23,743,1225
105,5,6,15,13,5,2,3,4,3497,461,211,0.8846445737414622,0.8846073114327356,28256,48,22,734,1164
106,1,20,6,29,1,3,1,5,3504,820,204,0.8126762654000297,0.8126382347962778,28265,61,13,701,1188
107,16,18,3,23,2,5,2,1,3497,76,211,0.9779903235730067,0.977950340219399,28260,32,18,769,1249
108,2,15,17,2,4,3,3,3,3503,821,205,0.812444337242096,0.8124066267612713,28251,24,27,668,1178
109,13,17,5,6,5,5,2,2,3498,71,210,0.9793436325865534,0.97930499374924,28255,27,23,730,1207
110,20,13,1,5,4,4,1,2,3496,68,212,0.9801282913919167,0.9800842424771334,28263,35,15,828,1376
111,7,21,1,4,4,1,4,2,3492,222,216,0.9402565511001971,0.9402203772094231,28186,26,92,660,1130
112,3,8,22,26,5,2,4,2,3495,782,213,0.8193416197410928,0.8193065342682712,28171,28,107,602,1096
113,9,27,1,3,2,1,1,3,3498,222,210,0.9403832505322923,0.9403430751049282,28246,27,32,779,1255
114,13,27,25,11,2,2,3,2,3497,72,211,0.9790636601358428,0.9790238048314058,28255,27,23,781,1245
115,19,13,17,14,2,5,4,1,3492,62,216,0.981704094369539,0.9816638549175895,28221,27,57,777,1257
116,27,15,27,24,3,1,2,3,3492,39,216,0.987964487599518,0.9879197024020022,28250,27,28,885,1399
117,20,8,5,26,5,3,1,2,3495,69,213,0.9798479343291615,0.9798071186559429,28259,28,19,768,1275
118,1,28,4,18,2,3,4,5,3500,818,208,0.8128570765014633,0.8128193980329315,28240,61,38,697,1177
119,7,1,5,28,5,3,4,4,3490,170,218,0.9533018661771775,0.953269629798408,28144,72,134,720,1007
120,6,28,13,12,3,1,1,4,3498,280,210,0.9262299422761213,0.9261931921640782,28256,48,22,719,1148
121,3,19,8,12,2,2,4,2,3501,817,207,0.8130893213804636,0.8130532435265677,28222,29,56,627,1127
122,17,15,20,29,4,2,1,2,3493,65,215,0.9809042403819151,0.9808648332495763,28250,27,28,749,1231
123,18,2,15,18,2,4,1,1,3496,64,212,0.9812066371780768,0.9811641568656367,28253,24,25,832,1327
124,22,15,21,14,2,5,4,4,3496,68,212,0.9801282913919167,0.9800927897592898,28223,148,55,681,1109
125,9,18,11,3,5,1,5,3,3490,217,218,0.9414570193848428,0.9414221259857776,28167,24,111,639,1090
126,6,17,27,22,5,4,4,5,3499,281,209,0.9260141429539296,0.9259899096483403,28183,196,95,457,757
127,8,15,7,30,5,1,4,5,3492,218,216,0.9412500404317029,0.9412178040529334,28175,49,103,624,1007
128,6,18,28,2,4,2,5,5,3493,269,215,0.9287621113982748,0.9287297469703345,28180,48,98,614,1011
129,29,15,26,26,2,5,1,3,3492,38,216,0.9882384903609955,0.9881924886963563,28251,31,27,897,1437
130,7,4,3,21,2,4,1,2,3496,235,212,0.9371297452915666,0.9370910744419603,28260,29,18,774,1208
131,17,24,10,19,5,4,2,1,3495,65,213,0.9809259716640099,0.9808868206300128,28256,31,22,734,1223
132,27,1,27,16,5,4,5,2,3477,30,231,0.9903105080574875,0.9902727655643702,28098,23,180,711,1179
133,24,13,15,19,5,5,4,3,3478,33,230,0.9894905745190531,0.9894536323332538,28133,27,145,676,1154
134,13,23,8,4,2,2,2,2,3497,72,211,0.9790636601358428,0.9790236127576496,28247,23,31,782,1251
135,2,1,30,13,2,4,2,5,3500,158,208,0.9565455042361303,0.956509234308478,28249,166,29,724,1133
136,24,3,13,27,5,3,4,1,3481,33,227,0.9895164132943705,0.9894792150102294,28122,24,156,682,1162
137,30,7,29,20,4,3,2,1,3491,35,217,0.9890527079248876,0.9890073465061028,28250,27,28,863,1417
138,7,6,24,11,1,5,5,5,3501,235,207,0.9372389865718631,0.9372107837419764,28223,195,55,552,881
139,30,6,12,23,4,1,5,2,3478,31,230,0.9900426418596179,0.9900027545428882,28120,27,158,728,1246
140,7,17,18,18,1,5,2,1,3497,228,211,0.9388776425230762,0.9388397079562024,28257,32,21,742,1185
141,27,29,26,25,4,3,1,3,3491,38,217,0.9882295659263202,0.9881861572573913,28251,31,27,827,1356
142,12,8,22,15,1,2,4,1,3494,71,214,0.9792985150762643,0.9792595561160236,28224,28,54,754,1217
143,26,15,15,18,5,2,4,3,3476,33,232,0.9894733246417572,0.9894351980011272,28127,27,151,705,1191
144,9,27,24,20,5,5,4,5,3497,229,211,0.9386306782190442,0.9386063808888694,28177,197,101,460,759
145,21,21,19,23,1,5,5,1,3493,61,215,0.9819852238352806,0.9819436718793295,28227,31,51,799,1298
146,25,4,11,23,1,5,5,3,3492,36,216,0.9887869520897046,0.988744087629752,28224,27,54,837,1339
147,1,9,19,30,4,2,4,3,3494,792,214,0.8174170183696577,0.8173806524051274,28178,30,100,631,1136
148,24,4,23,17,5,2,4,5,3481,33,227,0.9895164132943705,0.9894813598338417,28118,38,160,665,1095
