observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,3498,74,210,0.9785381792140363,0.9785002766594554,28257,54,21,753,1184
2,19,22,1,30,5,2,1,1,3497,70,211,0.9796012123860588,0.9795562671270793,28272,41,6,844,1404
3,10,16,13,9,4,1,2,2,3499,144,209,0.9601295173284307,0.9600908144665317,28256,28,22,727,1209
4,14,24,6,16,3,1,4,1,3496,69,212,0.9798590751879276,0.9798201802522722,28232,27,46,748,1215
5,2,29,29,25,2,1,4,3,3499,811,209,0.814107157814405,0.8140678787312371,28234,34,44,675,1227
6,4,15,2,28,2,4,2,3,3501,551,207,0.865487303219682,0.8654484723086122,28263,34,15,749,1213
7,17,6,30,24,5,5,3,5,3498,72,210,0.9790750008396869,0.9790418681167213,28250,156,28,612,1035
8,3,6,2,10,2,2,5,2,3495,781,213,0.8195299017033092,0.8194931836035589,28201,28,77,680,1147
9,9,17,5,25,1,5,4,1,3497,221,211,0.9406100381946312,0.9405726798490265,28234,32,44,716,1167
10,1,25,22,22,4,1,2,1,3503,816,205,0.8133686884400876,0.8133297294798468,28264,35,14,685,1217
11,28,1,10,1,3,3,5,4,3488,33,220,0.989576536141673,0.9895337997308912,28194,33,84,871,1335
12,27,1,9,1,3,3,5,4,3488,33,220,0.989576536141673,0.9895346640627947,28192,33,86,860,1308
13,28,1,10,1,3,3,5,4,3488,33,220,0.989576536141673,0.9895337997308912,28194,33,84,871,1335
14,28,11,10,1,3,3,5,4,3492,37,216,0.9885126451488715,0.9884700687995533,28221,37,57,862,1330
15,26,21,10,4,3,3,5,4,3493,37,215,0.9885214910741577,0.9884803232657192,28233,45,45,837,1286
16,23,1,17,7,4,4,4,4,3481,54,227,0.9837612972875207,0.9837302133512892,28107,128,171,594,971
17,23,1,17,8,4,4,4,4,3481,54,227,0.9837612972875207,0.9837302133512892,28107,128,171,594,971
18,24,1,17,8,4,4,4,4,3483,36,225,0.988707781922232,0.9886766979860004,28104,124,174,590,971
19,24,1,18,8,4,4,4,4,3483,36,225,0.988707781922232,0.9886766979860004,28104,124,174,590,971
20,22,1,17,7,4,4,4,4,3484,54,224,0.9837917207883887,0.9837608289259135,28107,126,171,593,965
21,30,6,7,13,2,2,3,5,3494,36,214,0.9888044917873193,0.9887588422579,28255,45,23,907,1426
22,30,6,6,12,2,2,3,5,3494,36,214,0.9888044917873193,0.9887589382947782,28255,47,23,906,1423
23,30,6,6,13,2,2,3,5,3494,36,214,0.9888044917873193,0.9887589382947782,28255,47,23,906,1423
24,30,7,7,13,2,2,3,5,3494,36,214,0.9888044917873193,0.9887588422579,28255,45,23,907,1426
25,30,6,13,14,2,2,3,5,3494,36,214,0.9888044917873193,0.9887588422579,28255,45,23,907,1426
26,27,9,10,1,3,3,5,3,3491,37,217,0.9885037943141919,0.9884605457067266,28216,23,62,856,1351
27,20,9,10,1,3,3,5,3,3492,60,216,0.982245325052319,0.9822048935266131,28214,23,64,783,1263
28,20,10,10,1,3,3,5,3,3492,60,216,0.982245325052319,0.9822049575511985,28214,23,64,782,1261
29,20,9,10,1,3,3,5,3,3492,60,216,0.982245325052319,0.9822048935266131,28214,23,64,783,1263
30,27,11,10,1,3,3,5,3,3491,37,217,0.9885037943141919,0.9884605777190193,28217,23,61,857,1350
31,25,3,13,4,1,3,5,4,3494,36,214,0.9888044917873193,0.9887638041632717,28212,40,66,821,1271
32,25,3,13,4,1,3,5,4,3494,36,214,0.9888044917873193,0.9887638041632717,28212,40,66,821,1271
33,25,3,13,4,1,3,5,4,3494,36,214,0.9888044917873193,0.9887638041632717,28212,40,66,821,1271
34,25,4,13,4,1,3,5,4,3493,36,215,0.9887957243714225,0.9887551007719603,28224,45,54,821,1269
35,25,3,13,4,1,3,5,4,3494,36,214,0.9888044917873193,0.9887638041632717,28212,40,66,821,1271
36,28,4,15,6,5,4,1,5,3497,42,211,0.9871894037342126,0.987149964589581,28255,149,23,724,1232
37,28,4,15,6,5,4,1,5,3497,42,211,0.9871894037342126,0.987149964589581,28255,149,23,724,1232
38,27,4,12,18,5,4,1,2,3492,37,216,0.9885126451488715,0.9884691404430644,28255,27,23,834,1359
39,28,4,15,6,5,4,1,2,3492,35,216,0.9890614113101948,0.9890168181864353,28255,27,23,847,1393
40,28,4,4,5,5,4,1,2,3493,43,215,0.9868792803381324,0.986834559165202,28259,28,19,850,1397
41,13,8,20,10,4,5,2,2,3496,71,212,0.9793210862172324,0.9792821592692843,28255,27,23,736,1216
42,15,15,8,10,4,5,2,2,3498,67,210,0.9804196352995913,0.9803808684131069,28255,27,23,728,1211
43,14,12,20,10,4,5,2,2,3497,71,211,0.9793323624957992,0.9792934355478512,28255,27,23,734,1216
44,14,13,20,10,4,5,2,2,3497,71,211,0.9793323624957992,0.9792934355478512,28255,27,23,734,1216
45,16,14,22,10,4,5,2,3,3496,67,212,0.9803976555708236,0.9803589206966319,28250,27,28,728,1210
46,6,19,28,3,3,3,4,1,3496,278,212,0.926662213598821,0.9266247912286308,28222,24,56,713,1169
47,10,19,8,3,3,3,4,1,3497,142,211,0.9606140018349734,0.960575683120587,28225,24,53,730,1197
48,7,19,8,3,3,3,4,1,3496,224,212,0.9398455814353615,0.9398081590651713,28223,24,55,723,1169
49,6,2,28,3,3,3,4,1,3495,182,213,0.9503428848004961,0.9503050142582079,28181,22,97,763,1183
50,8,2,4,3,3,3,4,1,3497,169,211,0.9536821895692204,0.9536444150638103,28190,23,88,769,1180
51,23,30,12,20,2,2,5,4,3493,61,215,0.9819852238352806,0.9819455606046,28234,51,44,786,1239
52,22,26,12,19,2,2,5,4,3494,61,214,0.981995806703653,0.981956207497558,28233,51,45,789,1237
53,23,30,12,19,2,2,5,4,3493,61,215,0.9819852238352806,0.9819455606046,28234,51,44,786,1239
54,18,30,12,6,2,2,5,4,3495,63,213,0.9814658803706823,0.9814279458038085,28232,45,46,760,1185
55,22,29,12,17,2,2,5,4,3494,61,214,0.981995806703653,0.981956207497558,28233,51,45,789,1237
56,26,2,15,2,1,3,5,4,3492,36,216,0.9887869520897046,0.9887453040968753,28208,37,70,846,1301
57,26,2,15,2,1,3,5,4,3492,36,216,0.9887869520897046,0.9887453040968753,28208,37,70,846,1301
58,26,2,15,2,1,3,5,4,3492,36,216,0.9887869520897046,0.9887453040968753,28208,37,70,846,1301
59,26,2,15,2,1,3,5,4,3492,36,216,0.9887869520897046,0.9887453040968753,28208,37,70,846,1301
60,26,2,15,2,1,3,5,4,3492,36,216,0.9887869520897046,0.9887453040968753,28208,37,70,846,1301
61,29,5,9,5,3,4,4,3,3492,34,216,0.9893360229371834,0.9892913657888384,28225,27,53,873,1395
62,29,3,9,5,3,4,4,3,3493,34,215,0.9893446476822767,0.9892997984601755,28223,27,55,874,1401
63,28,5,9,28,3,4,4,3,3492,36,216,0.9887869520897046,0.9887422949413596,28225,27,53,874,1395
64,29,7,11,29,3,4,4,3,3492,35,216,0.9890614113101948,0.9890166581249716,28230,27,48,874,1398
65,29,5,11,5,3,4,4,3,3492,34,216,0.9893360229371834,0.9892913657888384,28225,27,53,873,1395
66,29,5,7,8,3,4,3,3,3493,36,215,0.9887957243714225,0.988749754719076,28255,27,23,904,1436
67,29,5,7,7,3,4,3,3,3493,36,215,0.9887957243714225,0.988749754719076,28255,27,23,904,1436
68,29,5,9,7,3,4,3,3,3493,36,215,0.9887957243714225,0.988749754719076,28255,27,23,904,1436
69,29,5,7,7,3,4,3,3,3493,36,215,0.9887957243714225,0.988749754719076,28255,27,23,904,1436
70,29,5,7,7,3,4,3,3,3493,36,215,0.9887957243714225,0.988749754719076,28255,27,23,904,1436
71,27,1,9,5,3,4,4,3,3491,34,217,0.9893273934014611,0.9892842088185814,28199,23,79,867,1349
72,27,1,9,5,3,4,4,3,3491,34,217,0.9893273934014611,0.9892842088185814,28199,23,79,867,1349
73,27,1,5,5,3,4,4,3,3490,34,218,0.9893187590711177,0.9892753824144815,28202,23,76,874,1355
74,27,1,5,5,3,4,4,3,3490,34,218,0.9893187590711177,0.9892753824144815,28202,23,76,874,1355
75,27,1,9,5,3,4,4,3,3491,34,217,0.9893273934014611,0.9892842088185814,28199,23,79,867,1349
76,30,3,11,9,3,4,4,3,3493,34,215,0.9893446476822767,0.9892989661405647,28225,27,53,892,1427
77,30,3,11,1,3,4,4,3,3492,32,216,0.9898857039187228,0.989840790672036,28200,20,78,887,1403
78,30,3,9,1,3,4,4,3,3492,32,216,0.9898857039187228,0.989840790672036,28200,20,78,887,1403
79,30,3,11,1,3,4,4,3,3492,32,216,0.9898857039187228,0.989840790672036,28200,20,78,887,1403
80,30,3,11,9,3,4,4,3,3493,34,215,0.9893446476822767,0.9892989661405647,28225,27,53,892,1427
81,30,3,1,1,4,1,4,3,3475,34,233,0.9891886660328268,0.9891487146915118,28030,22,248,774,1248
82,30,7,11,1,4,5,4,3,3477,29,231,0.9905870018575286,0.9905480108849951,28099,20,179,722,1218
83,30,3,1,1,4,5,4,3,3473,32,235,0.9897237436806436,0.9896843045360121,28019,20,259,763,1232
84,30,3,11,1,4,5,4,3,3478,29,230,0.9905953255749042,0.990556302590078,28097,20,181,722,1219
85,30,3,11,1,4,5,4,3,3478,29,230,0.9905953255749042,0.990556302590078,28097,20,181,722,1219
86,30,7,11,1,4,5,4,3,3477,29,231,0.9905870018575286,0.9905480108849951,28099,20,179,722,1218
87,30,7,3,1,4,5,4,3,3478,30,230,0.9903189066059225,0.9902796275227546,28109,20,169,728,1227
88,30,7,14,1,4,5,4,3,3477,29,231,0.9905870018575286,0.9905480108849951,28099,20,179,722,1218
89,30,7,14,1,4,5,4,3,3477,29,231,0.9905870018575286,0.9905480108849951,28099,20,179,722,1218
90,30,7,14,1,4,5,4,3,3477,29,231,0.9905870018575286,0.9905480108849951,28099,20,179,722,1218
91,28,7,14,2,4,5,4,3,3478,31,230,0.9900426418596179,0.9900033947887427,28120,22,158,715,1226
92,28,8,14,2,4,5,4,3,3478,31,230,0.9900426418596179,0.9900034268010354,28121,22,157,716,1225
93,28,8,14,2,4,5,4,3,3478,31,230,0.9900426418596179,0.9900034268010354,28121,22,157,716,1225
94,28,8,14,2,4,5,4,3,3478,31,230,0.9900426418596179,0.9900034268010354,28121,22,157,716,1225
95,28,8,14,2,4,5,4,3,3478,31,230,0.9900426418596179,0.9900034268010354,28121,22,157,716,1225
96,29,9,18,3,4,5,4,3,3477,31,231,0.9900341685649203,0.9899945373465324,28112,22,166,726,1238
97,29,10,18,3,4,5,4,3,3477,31,231,0.9900341685649203,0.9899945053342397,28112,22,166,725,1239
98,29,9,16,3,4,5,4,3,3477,31,231,0.9900341685649203,0.9899945373465324,28112,22,166,726,1238
99,29,10,18,4,4,5,4,3,3477,31,231,0.9900341685649203,0.9899946013711179,28119,27,159,725,1236
100,29,10,16,3,4,5,4,3,3477,31,231,0.9900341685649203,0.9899945053342397,28112,22,166,725,1239
101,28,8,14,2,4,5,4,2,3477,29,231,0.9905870018575286,0.9905485230816786,28108,21,170,712,1202
102,28,7,16,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905403227642273,28101,21,177,709,1198
103,28,7,14,2,4,5,4,2,3477,29,231,0.9905870018575286,0.9905484910693859,28107,21,171,711,1203
104,28,8,14,2,4,5,4,2,3477,29,231,0.9905870018575286,0.9905485230816786,28108,21,170,712,1202
105,28,7,14,2,4,5,4,2,3477,29,231,0.9905870018575286,0.9905484910693859,28107,21,171,711,1203
106,30,6,13,4,4,5,4,2,3478,31,230,0.9900426418596179,0.9900027865551809,28117,22,161,727,1245
107,24,6,13,4,4,5,4,2,3480,33,228,0.9895078051693253,0.9894706068851843,28132,22,146,680,1162
108,24,6,13,4,4,5,4,2,3480,33,228,0.9895078051693253,0.9894706068851843,28132,22,146,680,1162
109,24,6,13,4,4,5,4,2,3480,33,228,0.9895078051693253,0.9894706068851843,28132,22,146,680,1162
110,24,6,13,4,4,5,4,2,3480,33,228,0.9895078051693253,0.9894706068851843,28132,22,146,680,1162
111,3,11,17,1,5,5,4,2,3489,783,219,0.8188756829831577,0.818841653915996,28093,5,185,580,1063
112,1,11,12,1,5,5,4,2,3487,795,221,0.8165281979712073,0.8164937527442402,28081,5,197,600,1076
113,11,12,12,1,5,5,4,2,3482,134,226,0.9624527342281582,0.962418064915142,28082,5,196,646,1083
114,1,12,12,1,5,5,4,2,3487,795,221,0.8165281979712073,0.8164937847565329,28079,5,199,600,1075
115,11,12,17,1,5,5,4,2,3482,134,226,0.9624527342281582,0.962418064915142,28082,5,196,646,1083
116,28,9,16,25,4,5,4,2,3477,31,231,0.9900341685649203,0.9899952096046796,28122,27,156,714,1217
117,28,7,16,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905403227642273,28101,21,177,709,1198
118,28,7,16,24,4,5,4,2,3477,31,231,0.9900341685649203,0.9899951775923869,28121,27,157,713,1218
119,28,7,16,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905403227642273,28101,21,177,709,1198
120,28,7,16,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905403227642273,28101,21,177,709,1198
121,27,8,14,3,4,5,4,2,3477,33,231,0.9894819519857939,0.9894436332714076,28126,22,152,705,1197
122,26,8,14,15,4,5,4,2,3477,33,231,0.9894819519857939,0.9894437613205784,28134,27,144,706,1193
123,26,8,14,3,4,5,4,2,3477,33,231,0.9894819519857939,0.989443697295993,28127,22,151,706,1195
124,26,8,14,3,4,5,4,2,3477,33,231,0.9894819519857939,0.989443697295993,28127,22,151,706,1195
125,26,8,10,3,4,5,4,2,3477,33,231,0.9894819519857939,0.989443697295993,28127,22,151,706,1195
126,30,7,15,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905397465429583,28098,21,180,721,1216
127,30,7,19,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905397465429583,28098,21,180,721,1216
128,30,7,19,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905397465429583,28098,21,180,721,1216
129,30,7,15,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905397465429583,28098,21,180,721,1216
130,30,7,19,2,4,5,4,2,3476,29,232,0.9905786734909063,0.9905397465429583,28098,21,180,721,1216
131,27,17,17,1,4,5,3,1,3478,33,230,0.9894905745190531,0.9894469097517825,28124,5,154,834,1364
132,27,9,17,1,4,5,3,1,3479,33,229,0.9894991922455575,0.9894554314414087,28132,5,146,837,1367
133,27,9,11,1,4,5,3,1,3480,33,228,0.9895078051693253,0.9894640123528838,28137,5,141,838,1368
134,27,9,17,1,4,5,3,1,3479,33,229,0.9894991922455575,0.9894554314414087,28132,5,146,837,1367
135,27,17,17,1,4,5,3,1,3478,33,230,0.9894905745190531,0.9894469097517825,28124,5,154,834,1364
136,29,6,16,3,4,5,4,2,3477,31,231,0.9900341685649203,0.9899945053342397,28111,22,167,725,1239
137,29,4,16,3,4,5,4,2,3477,31,231,0.9900341685649203,0.9899945693588252,28108,22,170,724,1237
138,29,4,16,3,4,5,4,2,3477,31,231,0.9900341685649203,0.9899945693588252,28108,22,170,724,1237
139,29,4,16,3,4,5,4,2,3477,31,231,0.9900341685649203,0.9899945693588252,28108,22,170,724,1237
140,29,4,16,3,4,5,4,2,3477,31,231,0.9900341685649203,0.9899945693588252,28108,22,170,724,1237
141,28,5,15,2,4,5,4,3,3477,31,231,0.9900341685649203,0.9899950815555087,28114,22,164,713,1221
142,28,5,15,2,4,5,4,3,3477,31,231,0.9900341685649203,0.9899950815555087,28114,22,164,713,1221
143,28,5,15,2,4,5,4,3,3477,31,231,0.9900341685649203,0.9899950815555087,28114,22,164,713,1221
144,28,5,15,2,4,5,4,3,3477,31,231,0.9900341685649203,0.9899950815555087,28114,22,164,713,1221
145,28,5,15,2,4,5,4,3,3477,31,231,0.9900341685649203,0.9899950815555087,28114,22,164,713,1221
146,30,6,12,1,4,5,4,2,3472,28,236,0.9908223368795944,0.9907820013907667,28065,5,213,737,1260
147,30,6,12,1,4,5,4,2,3472,28,236,0.9908223368795944,0.9907820013907667,28065,5,213,737,1260
148,30,6,12,1,4,5,4,2,3472,28,236,0.9908223368795944,0.9907820013907667,28065,5,213,737,1260
