observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,3497,226,211,0.9393719612109491,0.9393336424965628,28256,28,22,749,1197
2,8,29,21,7,2,,,,3498,223,210,0.9401355644307315,0.9400971176671743,28256,28,22,750,1201
3,19,23,11,11,5,,,,3486,68,222,0.9800173175750896,0.9799891787697883,28150,153,128,527,879
4,4,8,24,3,5,,,,3499,544,209,0.8668830364442683,0.866858451003459,28176,189,102,479,768
5,2,24,12,30,2,,,,3503,813,205,0.813924309453883,0.8138859907394967,28262,34,16,670,1197
6,19,16,26,7,5,,,,3485,68,223,0.9800061865526841,0.9799780797596757,28144,152,134,527,878
7,4,30,2,29,3,,,,3501,551,207,0.865487303219682,0.8654478320627578,28263,34,15,759,1233
8,29,1,8,25,2,,,,3488,35,220,0.9890265687469875,0.988977846037467,28240,15,38,967,1522
9,3,3,2,1,1,,,,3231,552,477,0.8544228480761603,0.8543857138166047,26037,5,2241,803,1160
10,29,27,1,1,4,,,,3480,38,228,0.9881310693395423,0.9880977125305277,28055,139,223,642,1042
11,24,14,29,16,1,,,,3491,38,217,0.9882295659263202,0.988185741097586,28250,27,28,861,1369
12,3,29,4,1,4,,,,3504,815,204,0.8136008804721857,0.8135755587486438,28136,165,142,434,791
13,13,1,1,30,5,,,,3497,89,211,0.9745181750287033,0.9744910926290619,28171,176,107,583,846
14,30,27,9,28,4,,,,3483,38,225,0.9881579917951393,0.9881253392565645,28126,150,152,602,1020
15,1,1,21,5,1,,,,3487,147,221,0.9591580754123251,0.9591152429646652,28222,19,56,959,1338
16,16,12,6,20,5,,,,3497,72,211,0.9790636601358428,0.9790373780435193,28170,170,108,499,821
17,21,28,30,1,1,,,,3490,60,218,0.9822242736043411,0.982180544812485,28188,6,90,842,1366
18,30,3,30,29,1,,,,3493,36,215,0.9887957243714225,0.9887485062396599,28248,24,30,929,1475
19,26,1,12,1,1,,,,3486,36,222,0.9887342159899256,0.9886837966288909,28227,5,51,1011,1575
20,9,3,28,10,5,,,,3498,227,210,0.9391461234045524,0.9391207056441324,28158,170,120,489,794
21,25,22,27,8,2,,,,3492,39,216,0.987964487599518,0.9879204066724421,28250,27,28,857,1377
22,12,5,2,25,3,,,,3497,81,211,0.9766519577724405,0.9766113981975638,28262,30,16,802,1267
23,28,27,7,28,5,,,,3484,40,224,0.9876179245283018,0.9875858482109959,28137,158,141,590,1002
24,13,1,20,2,3,,,,3492,64,216,0.9811634598093868,0.9811207874231905,28244,20,34,883,1333
25,14,30,2,7,2,,,,3497,70,211,0.9796012123860588,0.9795607808603529,28261,29,17,781,1263
26,22,27,6,11,3,,,,3494,62,214,0.981725409099083,0.9816823845776668,28255,27,23,830,1344
27,4,4,28,30,1,,,,3497,528,211,0.870190561032782,0.8701504176177106,28254,25,24,819,1254
28,28,6,30,2,5,,,,3482,38,226,0.9881490226349128,0.988117042354485,28120,149,158,589,999
29,2,2,2,2,1,,,,2873,358,835,0.8865806316231246,0.8865459943224011,23237,4,5041,904,1082
30,30,2,5,29,2,,,,3493,36,215,0.9887957243714225,0.98874815410444,28250,23,28,945,1486
31,21,2,22,30,4,,,,3488,63,220,0.9813907161788786,0.9813604645622579,28117,131,161,562,945
32,30,29,3,5,3,,,,3493,45,215,0.9863330886090248,0.9862861906001894,28259,28,19,922,1465
33,1,24,30,15,2,,,,3503,818,205,0.8129986956743736,0.8129589043945221,28264,32,14,714,1243
34,1,1,1,17,5,,,,3502,819,206,0.8127666092639613,0.8127397829626616,28151,209,127,722,838
35,14,28,12,25,5,,,,3496,77,212,0.9777106580529688,0.9776848881573288,28171,182,107,487,805
36,18,1,15,7,1,,,,3487,55,221,0.9835501449798607,0.9835033109956107,28238,13,40,965,1463
37,11,29,1,28,3,,,,3499,141,209,0.9609047169189534,0.9608640292949058,28263,34,15,781,1271
38,27,27,28,16,2,,,,3492,39,216,0.987964487599518,0.987919830451173,28250,27,28,878,1395
39,25,22,2,1,4,,,,3485,47,223,0.9857107299633434,0.9856795499902338,28124,136,154,584,974
40,14,8,30,30,1,,,,3496,71,212,0.9793210862172324,0.9792808787775755,28255,27,23,789,1256
41,18,30,3,30,3,,,,3495,74,213,0.9785037152344209,0.9784620032170063,28260,32,18,807,1303
42,23,2,30,3,2,,,,3492,61,216,0.9819746351339953,0.9819301060348212,28244,21,34,873,1391
43,30,20,3,1,5,,,,3483,38,225,0.9881579917951393,0.9881247310230028,28122,137,156,612,1039
44,10,3,5,15,1,,,,3500,152,208,0.9580851436580238,0.9580450962798306,28258,26,20,796,1251
45,30,14,26,28,5,,,,3482,38,226,0.9881490226349128,0.9881164021086307,28120,149,158,601,1019
46,30,5,20,13,1,,,,3492,36,216,0.9887869520897046,0.988739733957942,28248,24,30,928,1475
47,15,28,5,30,1,,,,3497,77,211,0.9777223570461993,0.9776821496065424,28260,32,18,781,1256
48,23,25,30,1,5,,,,3480,63,228,0.9813044581676676,0.9812742705756323,28112,131,166,551,943
49,20,16,1,5,2,,,,3495,62,213,0.9817360576625972,0.9816922968584484,28267,34,11,843,1367
50,19,7,30,30,5,,,,3485,68,223,0.9800061865526841,0.979977919698212,28143,152,135,530,883
51,22,6,22,23,2,,,,3493,61,215,0.9819852238352806,0.9819418791909372,28250,27,28,844,1354
52,14,29,2,2,4,,,,3497,84,211,0.9758506951226998,0.9758238688214002,28162,159,116,504,838
53,28,30,27,9,2,,,,3492,39,216,0.987964487599518,0.987918806057806,28250,27,28,898,1427
54,26,26,6,30,1,,,,3493,40,215,0.9876997030962816,0.9876548218618876,28256,31,22,881,1402
55,28,2,4,6,5,,,,3485,39,223,0.9879013969521044,0.9878693526470913,28128,152,150,594,1001
56,23,29,27,30,3,,,,3491,63,217,0.9814229649037975,0.9813792681242341,28251,31,27,845,1365
57,15,3,5,1,5,,,,3497,70,211,0.9796012123860588,0.9795735537651483,28140,139,138,525,864
58,29,24,1,13,1,,,,3494,40,214,0.9877087644311769,0.9876593054389239,28271,37,7,956,1545
59,29,2,30,10,2,,,,3492,36,216,0.9887869520897046,0.9887401821300401,28245,23,33,929,1461
60,11,25,24,1,1,,,,3495,139,213,0.9613586101422645,0.9613184667271931,28186,6,92,781,1254
61,25,1,15,30,5,,,,3482,38,226,0.9881490226349128,0.9881173304651196,28110,129,168,592,990
62,13,25,4,3,1,,,,3497,80,211,0.9769193378068064,0.9768790663425642,28251,24,27,786,1258
63,17,30,30,24,1,,,,3495,69,213,0.9798479343291615,0.9798073747542848,28256,31,22,790,1267
64,29,12,26,2,3,,,,3492,37,216,0.9885126451488715,0.9884666434842323,28245,23,33,900,1437
65,27,30,2,27,5,,,,3483,44,225,0.9865122839614573,0.9864812000252258,28145,160,133,580,971
66,17,21,28,30,4,,,,3488,72,220,0.978961313065541,0.9789347428625831,28156,166,122,507,830
67,12,1,4,3,2,,,,3490,80,218,0.9768358356004881,0.9767937074232681,28232,15,46,925,1316
68,23,29,1,15,4,,,,3493,69,215,0.9798256342358314,0.9797954146315033,28177,181,101,566,944
69,27,2,9,30,3,,,,3494,38,214,0.988256324387926,0.9882107388830921,28253,24,25,902,1424
70,27,30,30,3,3,,,,3492,39,216,0.987964487599518,0.9879196703897095,28242,23,36,879,1400
71,30,29,2,20,3,,,,3493,45,215,0.9863330886090248,0.986285774440384,28261,29,17,925,1478
72,14,1,28,10,1,,,,3486,62,222,0.9816400090110384,0.9815940073463992,28238,13,40,958,1437
73,23,15,21,27,5,,,,3482,65,226,0.9807842894243173,0.9807547420781364,28134,154,144,544,923
74,9,29,30,19,2,,,,3498,223,210,0.9401355644307315,0.9400970536425889,28257,32,21,749,1203
75,9,8,1,22,3,,,,3499,220,209,0.9408999725716498,0.9408600532426274,28262,30,16,777,1247
76,10,10,28,27,4,,,,3497,152,211,0.9580349462218302,0.9580101687072645,28171,188,107,467,774
77,27,25,4,1,1,,,,3489,36,219,0.9887606060090798,0.9887149884919532,28187,6,91,901,1425
78,22,1,2,20,5,,,,3484,68,224,0.9799950493935508,0.9799644136294173,28134,143,144,603,957
79,28,1,30,3,1,,,,3485,36,223,0.988725409533753,0.9886752142587674,28231,10,47,1017,1568
80,13,30,3,28,4,,,,3497,78,211,0.9774545373232784,0.9774286713907603,28175,183,103,492,808
81,17,2,27,24,2,,,,3494,66,214,0.9806453061499428,0.9806035301079427,28245,23,33,832,1305
82,27,27,3,2,4,,,,3482,40,226,0.9875996959486291,0.987568099815714,28128,138,150,587,987
83,29,18,13,30,5,,,,3483,38,225,0.9881579917951393,0.9881253392565645,28126,150,152,602,1020
84,14,30,27,6,3,,,,3497,71,211,0.9793323624957992,0.9792926352405332,28255,27,23,771,1241
85,15,13,1,17,2,,,,3498,67,210,0.9804196352995913,0.980377891269884,28267,34,11,807,1304
86,19,24,3,2,4,,,,3488,66,220,0.9805795765065728,0.9805511175783443,28144,141,134,533,889
87,26,3,24,29,1,,,,3493,38,215,0.9882474098468258,0.9882020164157482,28248,24,30,900,1418
88,20,30,30,19,4,,,,3485,67,223,0.9802763338508967,0.9802482910824737,28144,156,134,523,876
89,29,27,9,29,3,,,,3493,38,215,0.9882474098468258,0.988201472206772,28256,31,22,899,1435
90,29,1,10,4,2,,,,3488,35,220,0.9890265687469875,0.9889776859760034,28239,13,39,968,1527
91,17,30,23,1,3,,,,3492,66,216,0.9806234203875316,0.9805837891691437,28228,23,50,779,1238
92,28,1,2,28,3,,,,3491,46,217,0.9860412041509199,0.9859942741297918,28259,27,19,965,1466
93,12,5,30,20,5,,,,3497,80,211,0.9769193378068064,0.9768934078497029,28166,178,112,499,810
94,12,22,2,15,2,,,,3497,72,211,0.9790636601358428,0.9790233566593078,28262,30,16,784,1259
95,30,2,23,6,1,,,,3489,35,219,0.9890352866473149,0.9889863718640381,28238,16,40,971,1528
96,25,10,3,2,3,,,,3493,47,215,0.985787501128872,0.9857431000788688,28254,24,24,871,1387
97,28,30,30,30,1,,,,3492,40,216,0.9876906367380189,0.9876448271471361,28251,31,27,899,1431
98,16,3,27,18,3,,,,3497,67,211,0.9804086484546719,0.9803677367445752,28248,24,30,802,1278
99,16,22,5,28,3,,,,3497,68,211,0.9801393552437596,0.9800993078655664,28256,31,22,774,1251
100,18,24,30,1,5,,,,3484,67,224,0.9802652681098664,0.980236905218516,28119,135,159,529,886
101,25,29,14,20,1,,,,3493,40,215,0.9876997030962816,0.9876554941200347,28256,31,22,859,1381
102,13,2,29,9,3,,,,3497,73,211,0.9787951051847871,0.9787541934746904,28253,24,25,811,1278
103,24,10,4,1,5,,,,3484,40,224,0.9876179245283018,0.987587448825632,28132,133,146,566,952
104,24,11,25,30,5,,,,3483,40,225,0.9876088127711458,0.9875789132897449,28133,146,145,556,934
105,24,23,30,2,4,,,,3482,39,226,0.9878742829258329,0.9878438712477485,28121,132,157,560,950
106,20,2,9,22,1,,,,3491,61,217,0.981964040594973,0.9819194794835062,28243,16,35,883,1392
107,30,29,25,1,5,,,,3481,37,227,0.9884150150491227,0.9883817862892789,28106,132,172,609,1038
108,21,20,30,29,5,,,,3486,65,222,0.9808279921443724,0.9807986048596551,28140,152,138,542,918
109,26,23,1,12,3,,,,3494,39,214,0.9879824685423441,0.9879365949268757,28261,29,17,900,1433
110,18,2,30,1,5,,,,3487,67,221,0.9802984470408314,0.9802694759159194,28116,132,162,544,905
111,25,1,9,13,3,,,,3491,38,217,0.9882295659263202,0.9881835962739737,28247,22,31,917,1436
112,20,30,27,30,5,,,,3486,66,222,0.9805576183082427,0.9805293834660633,28147,154,131,525,882
113,29,29,15,3,1,,,,3493,37,215,0.9885214910741577,0.9884753933726402,28247,23,31,901,1440
114,17,10,30,5,2,,,,3493,66,215,0.9806343662794287,0.9805940628028937,28250,27,28,789,1259
115,30,20,4,30,4,,,,3484,39,224,0.9878923639663142,0.9878597114277394,28136,154,142,604,1020
116,20,3,27,14,3,,,,3494,62,214,0.981725409099083,0.9816825446391304,28248,24,30,836,1339
117,29,29,1,29,3,,,,3494,38,214,0.988256324387926,0.9882092343053342,28262,33,16,920,1471
118,28,25,17,1,5,,,,3480,37,228,0.988406109940298,0.988373585450894,28100,132,178,596,1016
119,30,1,1,2,4,,,,3484,43,224,0.9867955203335392,0.9867614912663775,28067,154,211,666,1063
120,19,26,30,28,1,,,,3494,66,214,0.9806453061499428,0.9806036581571136,28251,31,27,805,1301
121,23,8,2,30,1,,,,3493,61,215,0.9819852238352806,0.9819404066254721,28267,34,11,875,1400
122,25,30,28,2,3,,,,3492,39,216,0.987964487599518,0.9879202466109784,28242,23,36,858,1382
123,12,19,1,1,4,,,,3494,76,214,0.9779554182200875,0.9779291041154713,28127,151,151,517,822
124,30,2,19,13,5,,,,3483,38,225,0.9881579917951393,0.9881253392565645,28113,147,165,604,1020
125,19,20,30,29,2,,,,3494,65,214,0.9809151090124033,0.9808734930318668,28251,31,27,805,1300
126,28,9,29,16,4,,,,3482,38,226,0.9881490226349128,0.9881170103421923,28122,149,156,591,1000
127,25,30,1,1,5,,,,3481,51,227,0.984579354663529,0.9845481746904193,28080,141,198,588,974
128,13,11,2,29,2,,,,3496,71,212,0.9793210862172324,0.9792803345685993,28261,29,17,797,1273
129,24,30,18,27,2,,,,3491,40,217,0.9876815653522101,0.9876377085111832,28251,31,27,855,1370
130,24,1,13,2,1,,,,3485,36,223,0.988725409533753,0.9886758545046218,28229,5,49,996,1548
131,26,1,20,9,5,,,,3482,38,226,0.9881490226349128,0.9881169463176069,28108,130,170,602,1002
132,26,29,1,27,1,,,,3494,43,214,0.9868885612441461,0.9868401266452602,28272,41,6,936,1513
133,15,29,29,12,4,,,,3495,72,213,0.9790409600484058,0.979014838017546,28162,167,116,495,816
134,18,18,9,2,1,,,,3493,63,215,0.981444434454235,0.9814013138959407,28217,6,61,820,1347
135,27,15,28,28,2,,,,3492,39,216,0.987964487599518,0.9879197024020022,28250,27,28,885,1399
136,26,1,20,20,3,,,,3490,37,218,0.9884949385660309,0.9884485207415863,28242,22,36,928,1450
137,18,30,1,9,4,,,,3498,70,210,0.9796124117844741,0.979583792794782,28181,173,97,542,894
138,13,28,30,20,2,,,,3497,73,211,0.9787951051847871,0.9787551218311793,28256,31,22,782,1249
139,30,14,29,1,2,,,,3490,36,218,0.9887693929125915,0.9887211503874618,28214,6,64,934,1507
140,29,18,5,28,1,,,,3493,46,215,0.986060219400516,0.9860139616375351,28260,32,18,906,1445
141,30,1,3,21,2,,,,3490,44,218,0.9865780159887829,0.9865292612669697,28249,17,29,992,1523
142,26,30,29,1,2,,,,3489,38,219,0.9882117021939489,0.9881656044924315,28206,6,72,894,1440
143,1,3,21,1,5,,,,3498,570,210,0.8614066193853428,0.8613793769242377,28128,156,150,524,851
144,24,29,10,30,4,,,,3484,41,224,0.9873436375281268,0.9873138340836041,28141,153,137,553,931
145,18,10,30,17,5,,,,3486,68,222,0.9800173175750896,0.9799894668804229,28144,152,134,524,870
146,26,21,30,26,5,,,,3481,41,227,0.987316065938305,0.9872851740758298,28130,153,148,578,965
147,17,1,4,3,1,,,,3490,76,218,0.9779087882897526,0.9778643232151639,28247,18,31,982,1389
148,28,30,7,11,3,,,,3493,39,215,0.9879734805629724,0.9879276389597967,28255,27,23,899,1432
149,30,1,12,29,2,,,,3489,35,219,0.9890352866473149,0.9889859877165255,28240,15,38,978,1540
150,13,18,26,2,3,,,,3497,72,211,0.9790636601358428,0.979023676782235,28247,23,31,778,1249
151,30,8,18,15,3,,,,3492,37,216,0.9885126451488715,0.9884657151277434,28250,27,28,918,1466
152,30,9,19,15,3,,,,3492,37,216,0.9885126451488715,0.9884657151277434,28250,27,28,918,1466
153,30,3,17,16,3,,,,3493,36,215,0.9887957243714225,0.9887485062396599,28248,24,30,929,1475
