observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,3497,74,211,0.9785266975213641,0.9784870022783908,28257,32,21,776,1240
2,5,2,26,19,4,,,,3500,372,208,0.9046919911495276,0.9046647486884225,28151,169,127,561,851
3,1,30,25,7,1,,,,3502,818,206,0.8129515107619738,0.8129090944741193,28264,32,14,758,1325
4,6,10,16,13,2,,,,3495,280,213,0.9261565694842673,0.9261182187575883,28256,28,22,746,1198
5,19,5,9,11,3,,,,3495,64,213,0.9811958517453776,0.9811538196050357,28255,27,23,823,1313
6,24,6,16,18,1,,,,3492,38,216,0.9882384903609955,0.9881945054707977,28255,27,23,867,1374
7,19,6,2,29,5,,,,3490,68,218,0.9800617803987646,0.9800336095811706,28162,159,116,536,880
8,25,10,3,21,3,,,,3493,47,215,0.985787501128872,0.985743196115747,28259,28,19,870,1384
9,4,15,2,28,2,,,,3501,550,207,0.8656970332382162,0.8656580102533901,28262,30,16,761,1219
10,20,10,16,17,1,,,,3494,62,214,0.981725409099083,0.981683505007912,28255,27,23,814,1309
11,30,24,29,27,3,,,,3492,37,216,0.9885126451488715,0.9884659072014997,28250,27,28,916,1460
12,28,3,6,2,2,,,,3494,38,214,0.988256324387926,0.9882101306495304,28248,22,30,916,1443
13,12,9,25,11,2,,,,3497,73,211,0.9787951051847871,0.978755153843472,28256,28,22,785,1248
14,17,5,25,3,5,,,,3489,68,219,0.9800506738726187,0.9800237195221481,28153,156,125,513,842
15,24,6,1,25,4,,,,3495,44,213,0.9866248115673644,0.9865941117786455,28176,173,102,579,959
16,22,24,3,11,1,,,,3494,70,214,0.9795675772664066,0.9795244246958196,28259,28,19,837,1348
17,26,19,10,2,2,,,,3493,39,215,0.9879734805629724,0.987929111525262,28241,23,37,878,1386
18,10,22,20,27,3,,,,3498,145,210,0.9598551162088742,0.9598159651748771,28257,32,21,753,1223
19,4,22,23,17,4,,,,3503,548,205,0.8661915759592893,0.8661671185676509,28188,200,90,470,764
20,15,16,13,1,1,,,,3494,66,214,0.9806453061499428,0.9806044264521389,28194,6,84,797,1277
21,1,20,10,16,5,,,,3507,834,201,0.8102413396359806,0.810217362428733,28193,215,85,410,749
22,8,13,23,7,1,,,,3499,224,209,0.9399092056840465,0.939870566846733,28256,28,22,766,1207
23,9,5,28,25,4,,,,3498,228,210,0.9388990884787579,0.9388740868781433,28164,178,114,481,781
24,27,25,6,27,3,,,,3493,40,215,0.9876997030962816,0.9876548218618876,28256,31,22,881,1402
25,25,27,10,4,2,,,,3493,39,215,0.9879734805629724,0.9879291755498474,28247,23,31,859,1384
26,13,25,26,1,3,,,,3496,72,212,0.9790523132071246,0.9790129380870785,28233,23,45,776,1230
27,13,7,4,11,5,,,,3496,77,212,0.9777106580529688,0.977684632058987,28171,176,107,498,813
28,10,16,22,11,5,,,,3498,152,210,0.9580516876828186,0.9580269421805457,28171,188,107,466,773
29,29,8,15,10,2,,,,3493,37,215,0.9885214910741577,0.9884754253849329,28255,27,23,901,1439
30,2,19,16,2,2,,,,3503,812,205,0.8141096851861321,0.8140721667790638,28247,26,31,669,1172
31,28,8,5,15,5,,,,3484,39,224,0.9878923639663142,0.9878602556367156,28135,152,143,593,1003
32,8,21,23,8,4,,,,3498,229,210,0.9386521834799363,0.9386276940760052,28180,191,98,467,765
33,12,19,20,17,1,,,,3497,73,211,0.9787951051847871,0.9787555379909847,28256,28,22,775,1236
34,26,10,6,2,3,,,,3493,39,215,0.9879734805629724,0.9879285032917002,28250,23,28,888,1405
35,21,1,16,7,4,,,,3485,54,223,0.983801850733123,0.9837710869198186,28108,126,170,593,961
36,6,21,12,29,1,,,,3497,281,211,0.9259651538420802,0.9259266110416449,28257,32,21,741,1204
37,11,4,28,27,2,,,,3499,141,209,0.9609047169189534,0.9608641893563694,28254,25,24,797,1266
38,20,25,17,16,2,,,,3493,63,215,0.981444434454235,0.981402530363064,28250,27,28,806,1309
39,3,27,28,19,2,,,,3502,819,206,0.8127666092639613,0.8127271060947443,28259,33,19,696,1234
40,11,22,27,27,4,,,,3497,150,211,0.9585496488698599,0.9585243591586108,28173,193,105,480,790
41,20,3,5,27,4,,,,3490,65,218,0.980871598567759,0.9808430756149451,28150,151,128,540,891
42,1,4,20,1,1,,,,3494,647,214,0.8455257795825125,0.8454834273192434,28180,5,98,862,1323
43,17,21,20,7,4,,,,3488,71,220,0.9792306526145571,0.9792040183870138,28155,160,123,508,832
44,8,10,23,20,5,,,,3496,230,212,0.9383622679593305,0.9383378105676922,28172,190,106,469,764
45,20,18,3,12,2,,,,3494,70,214,0.9795675772664066,0.9795255771383574,28259,28,19,811,1312
46,8,30,12,27,4,,,,3498,230,210,0.9384054083056123,0.9383809509139739,28181,197,97,465,764
47,24,16,18,15,1,,,,3491,38,217,0.9882295659263202,0.9881857731098787,28250,27,28,858,1368
48,22,9,1,20,1,,,,3495,64,213,0.9811958517453776,0.9811490817857131,28271,37,7,896,1461
49,29,29,28,12,1,,,,3492,37,216,0.9885126451488715,0.9884667715334031,28250,27,28,899,1433
50,28,13,29,29,5,,,,3482,38,226,0.9881490226349128,0.988117042354485,28121,149,157,589,999
51,9,12,26,10,1,,,,3499,222,209,0.9404043281712778,0.9403656253093788,28256,28,22,758,1209
52,17,29,21,18,1,,,,3495,69,213,0.9798479343291615,0.9798073747542848,28256,31,22,790,1267
53,19,30,5,16,5,,,,3488,68,220,0.9800395612299946,0.9800113263878152,28160,161,118,528,882
54,23,21,22,11,2,,,,3492,61,216,0.9819746351339953,0.981931610612579,28250,27,28,828,1344
55,25,25,27,28,3,,,,3492,40,216,0.9876906367380189,0.987646427761772,28251,31,27,858,1381
56,16,24,20,22,4,,,,3495,73,213,0.9787722639184496,0.9787462059121752,28163,173,115,494,814
57,27,11,12,3,3,,,,3493,39,215,0.9879734805629724,0.9879285353039929,28250,23,28,887,1404
58,2,14,17,9,3,,,,3503,819,205,0.8128138254921433,0.8127759229375624,28256,28,22,677,1184
59,1,2,25,11,1,,,,3496,369,212,0.9052632669231924,0.9052206585615815,28243,21,35,938,1331
60,16,24,7,19,1,,,,3497,68,211,0.9801393552437596,0.9800993078655664,28256,31,22,774,1251
61,2,16,17,20,4,,,,3505,832,203,0.8105133173928527,0.810489820369996,28187,209,91,400,734
62,30,16,10,24,2,,,,3493,37,215,0.9885214910741577,0.9884745930653223,28255,27,23,919,1465
63,14,3,1,29,5,,,,3498,87,210,0.9750631365924637,0.9750363423034567,28180,185,98,522,837
64,21,13,6,5,2,,,,3495,61,213,0.9820063837439309,0.9819634552593929,28255,27,23,835,1341
65,17,22,20,9,5,,,,3488,68,220,0.9800395612299946,0.980012830965573,28154,157,124,505,835
