observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,3497,74,211,0.9785266975213641,0.9784870022783908,28257,32,21,776,1240
2,5,2,26,19,4,,,,3500,372,208,0.9046919911495276,0.9046647486884225,28151,169,127,561,851
3,1,30,25,7,1,,,,3502,818,206,0.8129515107619738,0.8129090944741193,28264,32,14,758,1325
4,6,10,16,13,2,,,,3495,280,213,0.9261565694842673,0.9261182187575883,28256,28,22,746,1198
5,19,5,9,11,3,,,,3495,64,213,0.9811958517453776,0.9811538196050357,28255,27,23,823,1313
6,24,6,16,18,1,,,,3492,38,216,0.9882384903609955,0.9881945054707977,28255,27,23,867,1374
7,19,6,2,29,5,,,,3490,68,218,0.9800617803987646,0.9800336095811706,28162,159,116,536,880
8,25,10,3,21,3,,,,3493,47,215,0.985787501128872,0.985743196115747,28259,28,19,870,1384
9,4,15,2,28,2,,,,3501,550,207,0.8656970332382162,0.8656580102533901,28262,30,16,761,1219
10,20,10,16,17,1,,,,3494,62,214,0.981725409099083,0.981683505007912,28255,27,23,814,1309
11,30,22,10,1,2,,,,3491,36,217,0.9887781749381129,0.988729964425276,28219,6,59,933,1506
12,28,22,10,3,2,,,,3493,39,215,0.9879734805629724,0.9879275749352113,28247,23,31,900,1434
13,30,21,11,5,2,,,,3493,37,215,0.9885214910741577,0.9884746891022004,28255,27,23,917,1462
14,29,22,30,1,2,,,,3489,36,219,0.9887606060090798,0.9887133558650245,28206,6,72,914,1476
15,29,22,10,3,2,,,,3493,37,215,0.9885214910741577,0.9884754253849329,28247,23,31,900,1439
16,13,18,30,9,4,,,,3496,77,212,0.9777106580529688,0.9776848561450361,28170,176,108,494,806
17,13,26,20,1,4,,,,3493,73,215,0.978749397563354,0.9787231154710305,28119,142,159,507,821
18,14,26,29,1,4,,,,3493,73,215,0.978749397563354,0.9787231154710305,28119,143,159,504,821
19,13,25,30,9,4,,,,3496,77,212,0.9777106580529688,0.9776848241327434,28170,176,108,493,807
20,13,26,30,1,4,,,,3493,73,215,0.978749397563354,0.9787231154710305,28119,142,159,507,821
21,25,15,5,24,3,,,,3493,39,215,0.9879734805629724,0.9879292075621401,28255,27,23,866,1383
22,25,16,6,23,3,,,,3493,40,215,0.9876997030962816,0.9876553980831566,28256,31,22,862,1384
23,24,17,7,13,3,,,,3492,38,216,0.9882384903609955,0.9881947615691394,28255,27,23,855,1366
24,25,16,6,24,3,,,,3493,40,215,0.9876997030962816,0.9876553980831566,28256,31,22,862,1384
25,24,16,6,24,3,,,,3492,39,216,0.987964487599518,0.9879205667339056,28256,31,22,859,1372
26,29,22,13,4,2,,,,3493,37,215,0.9885214910741577,0.9884754253849329,28247,23,31,900,1439
27,30,21,13,4,2,,,,3493,37,215,0.9885214910741577,0.9884745610530296,28250,23,28,918,1466
28,30,21,13,5,2,,,,3493,37,215,0.9885214910741577,0.9884746891022004,28255,27,23,917,1462
29,29,21,12,5,2,,,,3493,37,215,0.9885214910741577,0.9884756174586893,28255,27,23,899,1433
30,30,21,13,5,2,,,,3493,37,215,0.9885214910741577,0.9884746891022004,28255,27,23,917,1462
31,27,19,19,7,1,,,,3492,39,216,0.987964487599518,0.987919830451173,28250,27,28,878,1395
32,27,28,19,8,1,,,,3492,39,216,0.987964487599518,0.987919830451173,28250,27,28,878,1395
33,27,19,20,7,1,,,,3492,39,216,0.987964487599518,0.987919830451173,28250,27,28,878,1395
34,21,24,21,7,1,,,,3494,62,214,0.981725409099083,0.9816826406760085,28250,27,28,826,1336
35,22,19,19,7,1,,,,3493,61,215,0.9819852238352806,0.9819421993138644,28250,27,28,832,1344
36,8,24,24,3,2,,,,3498,223,210,0.9401355644307315,0.9400969255934181,28248,24,30,751,1207
37,17,13,24,2,2,,,,3493,66,215,0.9806343662794287,0.980594478962699,28239,23,39,788,1246
38,28,24,23,3,2,,,,3492,39,216,0.987964487599518,0.9879186459963424,28242,23,36,899,1432
39,10,13,23,3,2,,,,3500,144,208,0.960145722687969,0.9601063795802157,28251,24,27,761,1229
40,16,28,26,3,2,,,,3497,67,211,0.9804086484546719,0.9803685370518932,28247,23,31,774,1253
41,22,30,11,13,3,,,,3494,62,214,0.981725409099083,0.9816824486022522,28255,27,23,829,1342
42,22,23,9,11,5,,,,3484,64,224,0.9810768191034017,0.981047367794099,28141,147,137,544,920
43,22,23,8,11,3,,,,3494,62,214,0.981725409099083,0.9816824486022522,28255,27,23,829,1342
44,22,23,8,11,5,,,,3484,64,224,0.9810768191034017,0.981047367794099,28141,147,137,544,920
45,22,30,8,12,3,,,,3494,62,214,0.981725409099083,0.9816824486022522,28255,27,23,829,1342
46,28,20,14,5,2,,,,3493,39,215,0.9879734805629724,0.9879277670089677,28255,27,23,899,1428
47,28,20,14,5,2,,,,3493,39,215,0.9879734805629724,0.9879277670089677,28255,27,23,899,1428
48,28,20,15,5,2,,,,3493,39,215,0.9879734805629724,0.9879277670089677,28255,27,23,899,1428
49,28,1,15,5,2,,,,3488,37,220,0.9884772123128893,0.9884285536279543,28240,15,38,969,1520
50,28,20,15,5,2,,,,3493,39,215,0.9879734805629724,0.9879277670089677,28255,27,23,899,1428
51,1,28,10,15,1,,,,3502,818,206,0.8129515107619738,0.8129092225232901,28264,32,14,758,1321
52,1,27,11,1,1,,,,3498,811,210,0.8140601073311954,0.814017787080219,28184,6,94,777,1322
53,26,27,11,1,1,,,,3489,37,219,0.9884860779002957,0.988440364346291,28193,6,85,895,1428
54,26,22,10,1,1,,,,3489,37,219,0.9884860779002957,0.988440364346291,28193,6,85,895,1428
55,26,27,11,1,1,,,,3489,37,219,0.9884860779002957,0.988440364346291,28193,6,85,895,1428
56,30,18,12,4,2,,,,3493,37,215,0.9885214910741577,0.9884745610530296,28250,23,28,918,1466
57,30,18,17,9,2,,,,3492,37,216,0.9885126451488715,0.9884659072014997,28250,27,28,916,1460
58,30,18,12,4,2,,,,3493,37,215,0.9885214910741577,0.9884745610530296,28250,23,28,918,1466
59,30,18,17,4,2,,,,3492,37,216,0.9885126451488715,0.9884657791523288,28245,23,33,917,1464
60,30,18,4,9,2,,,,3493,45,215,0.9863330886090248,0.9862860625510185,28259,28,19,922,1469
61,29,22,9,2,3,,,,3493,37,215,0.9885214910741577,0.9884754894095185,28247,23,31,899,1437
62,29,25,27,2,3,,,,3492,37,216,0.9885126451488715,0.9884667075088177,28242,23,36,898,1435
63,29,22,28,2,3,,,,3492,37,216,0.9885126451488715,0.9884667075088177,28242,23,36,898,1435
64,29,22,27,2,3,,,,3492,37,216,0.9885126451488715,0.9884667075088177,28242,23,36,898,1435
65,29,22,1,2,3,,,,3494,37,214,0.9885303320941338,0.9884839462819819,28245,23,33,916,1449
