observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,3804,567,311,0.8713020055521453,0.8711881262088845,31521,25,277,2166,3579
2,19,23,11,11,5,4,3,5,3794,359,321,0.9137236768587558,0.9136218568256642,31720,606,78,1792,3200
3,2,24,12,30,2,4,5,1,3816,949,299,0.803030303030303,0.802904841658278,31538,37,260,2168,3943
4,12,26,22,29,4,1,1,3,3776,427,339,0.8987822642838781,0.8986603029754907,31720,18,78,2458,3833
5,27,10,28,28,3,4,4,1,3744,303,371,0.9248189390271616,0.924703023283239,31404,15,394,2357,3643
6,18,24,10,12,4,5,4,5,3773,377,342,0.9093100040970767,0.9092559122044969,30982,618,816,1000,1700
7,29,2,28,26,3,1,1,1,3729,214,386,0.944902241007085,0.9447559383470366,31698,3,100,2973,4598
8,2,25,28,30,1,4,1,1,3820,965,295,0.800570039399782,0.8004361460562667,31761,39,37,2452,4208
9,22,12,17,30,1,4,5,3,3763,328,352,0.9197160929541388,0.9196055545807138,31414,17,384,2267,3474
10,13,30,23,19,3,3,5,1,3777,422,338,0.8998599106096272,0.8997494358737229,31455,18,343,2337,3472
11,29,12,7,25,1,5,4,5,3786,238,329,0.9404295274006289,0.9403324483628283,31454,501,344,1927,3051
12,1,28,24,6,5,2,2,1,3807,957,308,0.8013016152320975,0.8011634581746965,31753,37,45,2606,4342
13,24,3,30,1,1,3,1,1,3742,314,373,0.9223154999285218,0.9221817656788082,31642,1,156,2718,4203
14,1,3,14,30,5,1,1,4,3771,619,344,0.8600752651385564,0.8599607494200887,31726,168,72,2389,3599
15,5,8,1,2,1,5,2,5,3855,656,260,0.8560807269690968,0.8560086892956845,31501,946,297,1466,2264
16,30,30,4,15,5,5,1,5,3803,253,312,0.9373505735510872,0.9372523808566746,31751,647,47,1823,3086
17,12,5,30,1,2,3,4,2,3772,400,343,0.9043698421908192,0.9042686903516948,31320,3,478,2155,3179
18,17,1,5,30,2,2,4,5,3739,383,376,0.9071147491666384,0.9070183383228049,31178,197,620,2209,3030
19,24,28,30,30,2,1,4,3,3753,319,362,0.921465505811641,0.9213504173554873,31420,16,378,2378,3617
20,28,6,1,1,1,1,1,1,3704,279,411,0.929336317379392,0.9292155970026579,30760,1,1038,2821,3794
21,30,8,30,1,2,4,3,3,3742,222,373,0.9432773215158985,0.9431408508527955,31620,7,178,2678,4289
22,18,30,3,25,3,2,5,2,3772,407,343,0.902884827130588,0.902768688655343,31543,24,255,2421,3650
23,30,2,10,30,1,2,1,5,3744,218,371,0.9442480063353391,0.9441129356976912,31707,50,91,2738,4245
24,17,2,5,6,3,4,3,1,3764,408,351,0.9024517725361196,0.9023308612468235,31735,19,63,2619,3800
25,17,13,26,23,4,5,1,1,3764,409,351,0.9022397790902814,0.9021183587008198,31719,17,79,2392,3816
26,30,11,29,30,3,3,5,1,3740,216,375,0.9446400517278831,0.9445211450204885,31404,13,394,2446,3737
27,22,29,1,5,2,2,2,5,3795,378,320,0.9096705530413438,0.9095539372846937,31698,341,100,2526,3665
28,23,2,21,1,5,1,4,5,3668,249,447,0.9354851873010693,0.9354055131251752,30589,17,1209,1531,2504
29,25,3,3,25,4,5,2,3,3776,327,339,0.9202483890778994,0.9201312642210838,31750,28,48,2426,3681
30,22,25,30,13,5,4,3,4,3781,350,334,0.9153456573736045,0.9152378235948085,31718,549,80,1899,3389
31,30,1,19,23,3,4,1,2,3744,222,371,0.9433154110124011,0.9431748357292141,31705,8,93,2864,4418
32,4,30,3,2,2,2,3,3,3805,954,310,0.8017075000210699,0.8015714748206118,31707,24,91,2658,4275
33,1,20,27,28,1,5,2,3,3820,965,295,0.800570039399782,0.8004348096683324,31763,40,35,2508,4250
34,26,25,30,3,3,5,2,4,3790,331,325,0.9197064704626197,0.919586259186051,31706,491,92,2181,3778
35,29,28,2,27,2,1,4,4,3769,241,346,0.939408289922983,0.9392940923921188,31578,202,220,2445,3589
36,29,10,23,28,5,1,5,5,3693,166,422,0.9557156610043166,0.9556310231018093,30781,48,1017,1543,2660
37,30,29,3,4,5,4,1,1,3767,222,348,0.943750751593378,0.9436335630990417,31699,20,99,2412,3683
38,8,3,28,1,5,2,2,2,3756,517,359,0.8796582541734586,0.8795376610717658,31662,3,136,2493,3790
39,20,1,3,16,1,2,1,2,3772,411,343,0.90203843468113,0.9019079141262109,31744,25,54,3102,4102
40,27,26,30,12,1,4,5,3,3744,305,371,0.9243714076912442,0.9242548237533543,31412,15,386,2372,3664
41,27,14,30,23,1,4,2,5,3781,332,334,0.9192713905043471,0.9191501610274475,31714,498,84,2199,3810
42,16,4,3,8,5,2,5,3,3750,361,365,0.9121690650631952,0.9120781588649006,31094,25,704,1692,2857
43,29,28,13,2,5,3,2,1,3732,219,383,0.9437874910223859,0.9436572886550701,31667,1,131,2554,4092
44,13,22,8,28,1,4,5,4,3821,457,294,0.8938555327341546,0.8937761131083433,31463,704,335,1551,2496
45,11,29,29,10,1,4,4,4,3829,465,286,0.8924534194787457,0.8923763226224392,31473,757,325,1504,2423
46,30,6,5,8,4,1,5,4,3721,178,394,0.9532910445466937,0.9532089521450137,30980,146,818,1531,2580
47,26,30,28,30,5,2,4,3,3700,252,415,0.9354631553930715,0.9353729492075045,30830,16,968,1622,2835
48,17,18,30,2,1,2,4,2,3770,399,345,0.9045279180022651,0.9044175069038815,31427,12,371,2337,3470
49,24,1,19,27,2,3,1,4,3743,315,372,0.9221165074375361,0.9219813095248468,31706,44,92,2824,4249
50,26,27,2,20,1,4,1,2,3786,354,329,0.9146032129484236,0.9144634331342452,31787,44,11,2867,4393
51,30,13,2,2,5,1,5,3,3730,183,385,0.9522496579049486,0.9521532152423547,31021,17,777,1807,3031
52,18,2,30,30,2,4,5,4,3759,387,356,0.9067926221480299,0.9067076342391588,31223,443,575,1699,2671
53,27,29,17,25,4,5,2,1,3731,305,384,0.9240683775925184,0.9239382388627233,31715,15,83,2502,4090
54,29,1,10,19,1,4,1,2,3749,225,366,0.9427130219622714,0.9425750876361927,31708,8,90,2835,4335
55,28,22,30,6,5,2,1,5,3729,224,386,0.9425616241684024,0.9424325672764589,31709,48,89,2541,4056
56,30,1,28,28,5,1,4,5,3649,148,466,0.9594148332001178,0.9593308634915776,30473,8,1325,1634,2639
57,24,24,2,1,1,5,5,5,3797,338,318,0.9183476031538722,0.9182564105867346,31274,475,524,1844,2866
58,29,30,17,24,2,5,1,1,3748,232,367,0.9410701283049189,0.9409317485161954,31711,13,87,2720,4349
59,14,1,14,7,2,1,5,3,3698,380,417,0.9066525446583994,0.9065520610132423,30884,4,914,2279,3158
60,30,15,30,2,2,4,1,4,3773,238,342,0.9401756257039481,0.9400499734193611,31671,406,127,2294,3949
61,30,30,13,21,5,1,3,5,3730,219,385,0.9437494939680998,0.9436206279887184,31711,54,87,2525,4050
62,23,3,3,3,1,5,1,1,3769,327,346,0.9200806565797118,0.9199570406957867,31713,21,85,2624,3885
63,12,3,28,22,5,4,5,5,3757,379,358,0.9084578221192676,0.9084079303030528,30910,561,888,973,1568
64,19,21,24,1,5,1,1,3,3752,332,363,0.9185677003001503,0.9184433525847373,31710,12,88,2463,3908
65,28,1,16,30,1,2,3,1,3731,290,384,0.9274450145169629,0.9272970254626165,31698,3,100,3112,4651
66,29,3,13,9,5,1,5,4,3688,157,427,0.957822563889466,0.9577404396690256,30743,48,1055,1506,2581
67,25,29,29,26,4,3,1,1,3739,322,376,0.9204643926264378,0.9203362266597838,31715,16,83,2511,4028
68,23,10,2,29,1,3,1,2,3783,363,332,0.9125821999430691,0.9124443292545111,31787,44,11,2870,4333
69,24,30,2,1,5,3,5,4,3727,276,388,0.9305310043842566,0.9304470983132371,30819,114,979,1629,2637
70,26,16,30,1,1,3,5,5,3754,303,361,0.9250497762532774,0.924938442410844,31409,49,389,2350,3499
71,30,1,28,30,5,1,4,1,3649,148,466,0.9594148332001178,0.9593301634788501,30473,3,1325,1639,2661
72,28,30,2,1,2,4,2,2,3719,286,396,0.9280794569774407,0.927956732018805,31079,3,719,2587,3857
73,17,14,24,3,5,1,3,3,3757,403,358,0.9033204299006996,0.9031976413045433,31713,13,85,2459,3859
