observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,3787,432,328,0.8980488128776454,0.8979253560875219,31722,63,76,2553,3880
2,19,22,1,30,5,2,1,1,3800,388,315,0.9076707734788155,0.9075259344817429,31795,49,3,3070,4552
3,10,16,13,9,4,1,2,2,3780,450,335,0.8941031766681647,0.8939835381292822,31725,18,73,2422,3760
4,14,24,6,16,3,1,4,1,3785,424,330,0.8996653292513644,0.899553995408931,31508,21,290,2358,3499
5,2,29,29,25,2,1,4,3,3805,942,310,0.803698916009767,0.803563845372119,31549,38,249,2414,4245
6,4,15,2,28,2,4,2,3,3823,958,292,0.8018575072152493,0.8017309640053727,31771,41,27,2427,3977
7,17,6,30,24,5,5,3,5,3792,424,323,0.8998618882861332,0.899758318221223,31717,568,81,1834,3255
8,3,6,2,10,2,2,5,2,3799,631,316,0.8587833713859439,0.8586835559347539,31361,31,437,2024,3137
9,9,17,5,25,1,5,4,1,3803,470,312,0.890665692391284,0.8905598950131499,31514,26,284,2109,3325
10,1,25,22,22,4,1,2,1,3808,959,307,0.8010164157881009,0.8008784814620222,31759,37,39,2605,4335
11,26,19,10,2,2,2,4,4,3751,303,364,0.9249806422339601,0.9248687674726008,31417,55,381,2365,3516
12,27,15,4,22,4,3,4,3,3721,264,394,0.9331427425017554,0.9330455043701531,31074,23,724,1761,3056
13,16,13,1,4,1,4,2,3,3791,449,324,0.8946312684365781,0.8945044706766189,31670,33,128,2659,3985
14,28,8,13,23,2,1,2,1,3748,303,367,0.9249114078987631,0.9247750963294619,31711,11,87,2735,4284
15,28,25,20,27,5,1,5,3,3691,173,424,0.9539883484706722,0.9538979831913035,30810,13,988,1628,2840
16,25,27,10,4,2,3,5,5,3754,320,361,0.9212676878978704,0.9211574358932885,31427,60,371,2336,3465
17,1,16,13,7,1,2,5,2,3806,920,309,0.8074199474731533,0.8072919406003011,31491,38,307,2324,4023
18,16,22,11,30,5,2,3,2,3766,409,349,0.9022952704969093,0.9021735637386046,31720,17,78,2452,3825
19,9,2,19,16,1,2,5,2,3722,413,393,0.9002080007739562,0.9001155036376447,31078,13,720,1941,2907
20,5,15,30,8,4,4,2,4,3863,947,252,0.8054460916161048,0.8053672447279796,31741,942,57,1393,2478
21,12,19,20,17,1,5,2,1,3791,433,324,0.8979539629827894,0.8978301243675418,31722,18,76,2498,3892
22,2,18,21,1,3,2,4,1,3779,895,336,0.8104537597419587,0.8103381621856395,31178,1,620,2187,3633
23,21,12,29,5,2,1,5,5,3762,325,353,0.920353462701465,0.9202476653233309,31409,57,389,2257,3325
24,8,20,25,17,3,2,1,5,3801,548,314,0.8749355480259281,0.874824532371098,31741,101,57,2384,3489
25,28,19,11,11,4,5,5,4,3727,273,388,0.9312145516328111,0.931154000531882,30823,488,975,1106,1903
26,20,3,5,27,4,1,1,4,3768,342,347,0.9167660154254155,0.9166584361967022,31746,193,52,2254,3381
27,1,5,17,21,4,2,4,2,3753,600,362,0.8631078321343808,0.8630176577675741,31082,20,716,1629,2834
28,10,23,20,26,4,3,1,2,3779,457,336,0.8926251541248778,0.8925029382664076,31726,20,72,2460,3841
29,8,8,30,12,5,4,4,3,3777,500,338,0.883765115495489,0.8836766593417408,31159,21,639,1591,2780
30,18,15,6,22,2,1,4,1,3771,399,344,0.9045551584350787,0.9044436973176039,31486,20,312,2336,3503
31,29,29,28,12,1,5,3,5,3779,247,336,0.9382339651122952,0.9381099674032459,31710,478,88,2250,3897
32,29,26,9,12,5,2,1,3,3740,220,375,0.9437056849436049,0.943577614433232,31716,14,82,2523,4025
33,29,21,18,3,4,5,1,3,3728,216,387,0.9444143263194695,0.9442839648583521,31691,8,107,2503,4097
34,27,23,21,22,2,2,5,5,3742,302,373,0.9249966628928517,0.9248833881060373,31412,53,386,2385,3560
35,27,28,16,16,4,4,4,4,3727,274,388,0.9309865909953838,0.9309266762696615,30827,498,971,1089,1883
36,27,11,12,3,3,1,3,3,3747,307,368,0.9239942592510395,0.9238585522381847,31713,11,85,2713,4265
37,9,18,1,2,5,2,1,3,3783,456,332,0.8929498739531503,0.8928361218849309,31287,22,511,2489,3575
38,24,7,19,3,1,3,3,4,3758,324,357,0.9204783156079615,0.9203490359846955,31714,54,84,2624,4063
39,22,30,16,10,4,2,3,1,3745,328,370,0.919280089546963,0.9191534826995659,31717,14,81,2496,3979
40,1,29,26,21,3,1,1,2,3808,960,307,0.8008513251481616,0.8007104316773712,31761,38,37,2651,4428
41,17,22,20,9,5,4,3,4,3795,436,320,0.8974431737563494,0.8973403673416873,31719,620,79,1813,3231
42,13,8,11,23,1,1,1,1,3787,421,328,0.9003504400709439,0.9002290196814823,31721,16,77,2512,3816
43,26,22,15,3,3,3,1,3,3754,310,361,0.923488691322552,0.9233528570346559,31711,12,87,2717,4269
44,12,19,20,2,2,4,3,5,3825,453,290,0.8947912621586342,0.8946900148632289,31691,657,107,1821,3182
45,20,5,3,20,1,3,5,3,3765,392,350,0.9058842777948877,0.9057732303212972,31471,22,327,2293,3490
46,12,20,14,17,5,2,5,5,3752,377,363,0.9087562246894921,0.9086693276550006,31017,60,781,1685,2731
47,6,3,4,1,1,4,1,2,3720,542,395,0.8734321657830602,0.8733348321951767,30752,3,1046,2238,3059
48,26,1,25,9,1,4,4,5,3747,295,368,0.9266816043685359,0.9265856071685867,31208,354,590,1936,3017
49,23,25,9,6,4,5,5,3,3721,274,394,0.930855055786261,0.9307675223765627,30901,14,897,1569,2751
50,12,24,11,28,5,3,4,4,3755,378,360,0.9086201556390103,0.9085331631482377,31029,64,769,1687,2734
51,4,28,16,25,2,5,2,1,3818,966,297,0.8003152630056471,0.8001831515127109,31760,37,38,2474,4152
52,28,3,10,29,5,3,4,3,3696,165,419,0.9560071183214005,0.9559204440182314,30782,10,1016,1571,2724
53,9,10,21,23,4,4,1,3,3792,474,323,0.889518599665023,0.8894107977049873,31741,24,57,2219,3388
54,2,17,14,27,2,1,1,4,3817,931,298,0.8060667238255331,0.8059471807429316,31758,153,40,2387,3757
55,19,4,3,22,1,5,4,1,3767,396,348,0.9050850063910967,0.9049751362116388,31467,22,331,2246,3453
56,3,30,12,12,5,5,5,4,3863,1026,252,0.792650897092861,0.7925916823798662,31465,1154,333,978,1861
57,12,3,24,17,3,5,1,3,3777,419,338,0.9004906565451867,0.9003695225245681,31719,15,79,2504,3807
58,1,15,2,4,1,4,4,3,3809,936,306,0.80487701800355,0.80476227955376,31472,34,326,2071,3606
59,29,12,9,27,2,5,1,5,3783,249,332,0.9378579255564425,0.9377354551478897,31712,481,86,2239,3849
60,2,27,16,30,1,3,5,3,3807,945,308,0.8032899651000367,0.8031528898804873,31561,40,237,2452,4308
61,19,21,14,19,3,5,1,2,3768,412,347,0.9017158446406777,0.90158732866766,31720,17,78,2556,4039
62,29,27,14,19,2,1,3,2,3745,228,370,0.9419393134532577,0.9418006154769308,31711,13,87,2765,4359
63,18,3,30,30,4,3,2,5,3741,392,374,0.9052324906113285,0.9051110702218669,31714,49,84,2437,3816
64,21,5,28,25,5,4,4,3,3712,272,403,0.9311145782642941,0.9310311176559194,30840,14,958,1496,2623
65,28,26,2,1,2,5,5,1,3694,274,421,0.9302583267437936,0.9301480747392117,30735,1,1063,2384,3465
66,18,12,30,26,5,3,3,2,3751,397,364,0.9044351319158785,0.9043118660383171,31719,17,79,2442,3874
67,2,26,25,30,5,3,4,5,3804,936,311,0.8046536224219989,0.8045347475333645,31443,150,355,2158,3736
68,26,8,14,4,5,4,2,4,3773,318,342,0.9221601963103816,0.922046985161088,31711,464,87,2014,3558
69,19,11,4,21,3,4,3,5,3813,429,302,0.8994069999481066,0.899305179915015,31739,633,59,1901,3200
70,17,17,27,13,1,1,4,4,3771,398,344,0.9047678458319737,0.9046630666541704,31427,60,371,2282,3293
71,22,7,5,1,2,3,2,3,3767,329,348,0.9195924206250397,0.9194693774788006,31630,13,168,2564,3867
72,28,11,16,24,2,4,5,5,3774,320,341,0.9217422736309416,0.9216454491432237,31399,484,399,1912,3043
73,5,28,15,8,3,5,3,2,3812,898,303,0.8113918392541667,0.8112709597836308,31741,31,57,2437,3799
74,20,8,3,4,1,1,1,4,3788,412,327,0.9022699664149775,0.9021559916154357,31748,173,50,2436,3582
75,6,11,27,15,4,1,1,1,3797,595,318,0.8656182890075368,0.8655049505832018,31743,25,55,2375,3562
76,6,9,6,3,1,3,2,2,3801,588,314,0.8671113625579443,0.866999392340304,31735,20,63,2436,3519
