observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,3787,432,328,0.8980488128776454,0.8979253560875219,31722,63,76,2553,3880
2,19,22,1,30,5,2,1,1,3800,388,315,0.9076707734788155,0.9075259344817429,31795,49,3,3070,4552
3,10,16,13,9,4,1,2,2,3780,450,335,0.8941031766681647,0.8939835381292822,31725,18,73,2422,3760
4,14,24,6,16,3,1,4,1,3785,424,330,0.8996653292513644,0.899553995408931,31508,21,290,2358,3499
5,2,29,29,25,2,1,4,3,3805,942,310,0.803698916009767,0.803563845372119,31549,38,249,2414,4245
6,4,15,2,28,2,4,2,3,3823,958,292,0.8018575072152493,0.8017309640053727,31771,41,27,2427,3977
7,17,6,30,24,5,5,3,5,3792,424,323,0.8998618882861332,0.899758318221223,31717,568,81,1834,3255
8,3,6,2,10,2,2,5,2,3799,631,316,0.8587833713859439,0.8586835559347539,31361,31,437,2024,3137
9,9,17,5,25,1,5,4,1,3803,470,312,0.890665692391284,0.8905598950131499,31514,26,284,2109,3325
10,1,25,22,22,4,1,2,1,3808,959,307,0.8010164157881009,0.8008784814620222,31759,37,39,2605,4335
11,27,1,12,1,5,3,1,4,3729,300,386,0.9251448872657987,0.9250146530797225,31708,57,90,2618,4093
12,27,1,13,1,5,3,1,4,3729,300,386,0.9251448872657987,0.9250146530797225,31708,57,90,2618,4093
13,26,1,12,1,5,3,1,4,3731,301,384,0.9249664076793781,0.9248365553184261,31708,57,90,2608,4081
14,26,12,11,1,5,3,1,4,3748,302,367,0.9251351418063337,0.9250127668540619,31713,69,85,2431,3846
15,26,21,12,4,5,3,1,4,3743,307,372,0.9239009700589934,0.9237766223435804,31715,65,83,2460,3908
16,30,1,18,7,4,4,2,4,3752,225,363,0.9427704183166825,0.942646388788873,31706,343,92,2306,3898
17,22,1,18,8,4,4,2,4,3759,331,356,0.918958562522919,0.9188393694466812,31708,381,90,2267,3746
18,30,1,19,8,4,4,2,4,3752,225,363,0.9427704183166825,0.942646388788873,31706,343,92,2306,3898
19,30,1,17,8,4,4,2,4,3752,225,363,0.9427704183166825,0.942646388788873,31706,343,92,2306,3898
20,30,1,18,7,4,4,2,4,3752,225,363,0.9427704183166825,0.942646388788873,31706,343,92,2306,3898
21,20,6,24,12,3,5,3,5,3798,356,317,0.9144711813966032,0.9143605475668972,31717,546,81,2012,3477
22,21,6,23,12,3,5,3,5,3798,352,317,0.9153351167666836,0.9152228283614399,31717,529,81,2046,3529
23,21,6,23,12,3,5,3,5,3798,352,317,0.9153351167666836,0.9152228283614399,31717,529,81,2046,3529
24,22,7,22,11,3,5,3,5,3794,351,321,0.9154521764308465,0.9153376925311393,31715,521,83,2082,3598
25,21,6,23,12,3,5,3,5,3798,352,317,0.9153351167666836,0.9152228283614399,31717,529,81,2046,3529
26,30,9,17,5,4,4,2,3,3729,220,386,0.9434964780179742,0.9433652574503275,31708,11,90,2513,4124
27,30,9,17,5,4,4,2,3,3729,220,386,0.9434964780179742,0.9433652574503275,31708,11,90,2513,4124
28,30,10,17,5,4,4,2,3,3730,221,385,0.9432817099446674,0.9431504575582604,31708,11,90,2516,4125
29,30,9,17,5,4,4,2,3,3729,220,386,0.9434964780179742,0.9433652574503275,31708,11,90,2513,4124
30,29,11,17,4,4,4,2,3,3730,220,385,0.9435155439759189,0.9433846415958755,31706,11,92,2509,4114
31,25,13,26,4,4,2,3,2,3738,319,377,0.9211071027263587,0.9209795413161512,31711,12,87,2498,4009
32,25,13,26,3,4,2,3,2,3738,318,377,0.9213295934614684,0.9212020956887816,31710,12,88,2498,4007
33,23,13,26,4,4,2,3,2,3739,317,376,0.9215760700782316,0.921449335955793,31712,12,86,2487,3983
34,25,13,9,4,4,4,3,2,3753,325,362,0.9201371011635947,0.9200144716612401,31702,12,96,2396,3854
35,24,13,26,15,4,2,3,2,3738,317,377,0.9215521917065232,0.9214247575713571,31715,16,83,2499,4005
36,28,9,15,6,3,4,2,3,3747,311,368,0.923101937848904,0.9229648626293546,31708,11,90,2703,4308
37,28,9,15,6,3,4,2,3,3747,311,368,0.923101937848904,0.9229648626293546,31708,11,90,2703,4308
38,28,9,15,6,3,4,2,3,3747,311,368,0.923101937848904,0.9229648626293546,31708,11,90,2703,4308
39,29,9,15,6,3,4,2,3,3747,229,368,0.9417459623301616,0.9416077416352399,31708,11,90,2710,4344
40,28,9,15,6,3,4,2,3,3747,311,368,0.923101937848904,0.9229648626293546,31708,11,90,2703,4308
41,13,4,20,19,1,3,5,3,3770,399,345,0.9045279180022651,0.9044264797942977,31353,15,445,2140,3188
42,15,4,20,15,1,3,5,3,3764,400,351,0.9041513132293384,0.904047647708147,31360,15,438,2195,3258
43,17,18,9,14,1,3,5,3,3770,399,345,0.9045279180022651,0.9044172205350384,31440,17,358,2339,3479
44,15,17,20,18,1,3,5,3,3774,415,341,0.9012494268684091,0.9011402885204391,31434,17,364,2327,3430
45,16,17,20,15,1,3,5,3,3772,403,343,0.9037328094302554,0.9036239256323682,31434,17,364,2311,3422
46,29,10,17,3,4,4,1,3,3729,217,386,0.9441988362730352,0.9440689520933229,31693,8,105,2494,4082
47,7,11,17,10,4,4,1,3,3801,570,314,0.8706148588600696,0.8705049568618515,31745,25,53,2231,3454
48,7,11,17,3,4,4,1,3,3793,557,322,0.8728971532460359,0.872791005861538,31679,18,119,2163,3336
49,6,11,17,3,4,4,1,3,3798,589,317,0.8668145591980939,0.8667078708946702,31673,18,125,2199,3353
50,7,11,17,3,4,4,1,3,3793,557,322,0.8728971532460359,0.872791005861538,31679,18,119,2163,3336
51,29,15,13,2,5,5,1,2,3734,219,381,0.9438254504276787,0.9436977299236696,31669,8,129,2467,4014
52,27,15,13,2,5,5,4,2,3693,251,422,0.9355477755090666,0.9354626285063938,30784,10,1014,1534,2676
53,27,15,13,1,5,5,1,2,3712,284,403,0.9283759922768722,0.9282514854676575,31372,1,426,2417,3913
54,27,15,9,2,5,5,1,2,3741,302,374,0.9249735439269714,0.9248489416614757,31673,11,125,2420,3916
55,27,15,10,2,5,5,4,2,3703,254,412,0.9350632297684941,0.9349774145718541,30821,10,977,1547,2697
56,29,19,14,5,5,4,1,1,3737,222,378,0.9431819329046066,0.943053416931589,31696,8,102,2482,4039
57,29,8,14,29,5,4,1,1,3737,222,378,0.9431819329046066,0.9430532896565476,31711,11,87,2486,4043
58,29,30,14,5,5,4,1,1,3737,221,378,0.9434152794397573,0.9432867634667397,31696,8,102,2483,4039
59,29,20,19,9,5,4,1,1,3730,222,385,0.9430479917881505,0.94291642121414,31710,11,88,2526,4135
60,29,8,19,9,5,4,1,1,3728,219,387,0.943711459208781,0.9435803340974153,31710,11,88,2517,4121
61,24,23,21,9,2,5,2,1,3760,332,355,0.9187627979259418,0.9186296682326747,31714,14,84,2629,4184
62,24,4,7,8,2,5,2,1,3773,327,342,0.9201765724459186,0.920049742867199,31729,17,69,2598,3986
63,24,23,21,9,2,5,2,1,3760,332,355,0.9187627979259418,0.9186296682326747,31714,14,84,2629,4184
64,11,3,21,8,5,5,2,1,3764,425,351,0.8988613785725204,0.898741294570993,31719,15,79,2408,3774
65,11,27,21,9,2,5,2,1,3791,441,324,0.8962895362747832,0.8961642976340807,31722,18,76,2503,3936
66,30,7,16,7,4,4,1,4,3759,234,356,0.9408225376929701,0.9407057628425183,31710,447,88,2071,3670
67,30,7,16,7,4,4,1,4,3759,234,356,0.9408225376929701,0.9407057628425183,31710,447,88,2071,3670
68,30,7,16,7,4,4,1,4,3759,234,356,0.9408225376929701,0.9407057628425183,31710,447,88,2071,3670
69,30,8,16,7,4,4,1,4,3759,234,356,0.9408225376929701,0.9407057628425183,31710,447,88,2071,3670
70,30,7,16,7,4,4,1,4,3759,234,356,0.9408225376929701,0.9407057628425183,31710,447,88,2071,3670
71,28,12,19,4,5,3,2,3,3727,222,388,0.9429904461177233,0.942859352825118,31709,11,89,2567,4120
72,26,12,18,4,5,3,2,3,3735,300,380,0.925283654560769,0.9251542158437014,31714,14,84,2528,4068
73,26,12,19,4,5,3,2,3,3735,300,380,0.925283654560769,0.9251542158437014,31714,14,84,2528,4068
74,26,12,18,4,5,3,2,3,3735,300,380,0.925283654560769,0.9251542158437014,31714,14,84,2528,4068
75,28,12,19,4,5,3,2,3,3727,222,388,0.9429904461177233,0.942859352825118,31709,11,89,2567,4120
76,29,10,14,5,4,4,1,2,3738,224,377,0.9427347883764684,0.9426061451284093,31708,11,90,2481,4043
77,29,10,14,5,4,4,1,2,3738,224,377,0.9427347883764684,0.9426061451284093,31708,11,90,2481,4043
