observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,3798,572,317,0.870123026873468,0.8699992837145014,31748,25,50,2551,3889
2,8,29,21,7,2,,,,3801,552,314,0.8741467812264273,0.8740250108306019,31742,23,56,2529,3827
3,19,23,11,11,5,,,,3762,310,353,0.9236752552260573,0.9236205269582706,30952,604,846,1005,1720
4,4,8,24,3,5,,,,3827,660,288,0.8543249783460876,0.8542791911499568,31199,801,599,857,1439
5,2,24,12,30,2,,,,3811,955,304,0.8018127574700503,0.8016750776940544,31759,37,39,2607,4327
6,19,23,8,7,5,,,,3773,311,342,0.9237089374286959,0.9236553546362815,31005,625,793,1000,1684
7,1,1,25,30,4,,,,3729,420,386,0.8989181162494696,0.8988584242550697,30776,443,1022,1197,1876
8,30,30,28,27,2,,,,3745,228,370,0.9419393134532577,0.941799883645443,31710,13,88,2773,4382
9,29,2,2,26,1,,,,3772,256,343,0.9360405385955424,0.9358941404792129,31786,42,12,3334,4601
10,26,2,30,3,4,,,,3712,254,403,0.9352528861319533,0.9351919213871398,30729,386,1069,1117,1916
11,29,3,1,30,4,,,,3816,253,299,0.9376105672838778,0.9375455933752613,31339,901,459,1334,2042
12,2,26,28,2,1,,,,3800,945,315,0.8029752345532922,0.8028402593719253,31610,5,188,2637,4242
13,30,16,30,18,2,,,,3745,226,370,0.9424038974503508,0.9422647540113792,31710,13,88,2770,4373
14,8,27,7,27,3,,,,3799,552,316,0.8740808231407088,0.8739609618705039,31744,23,54,2500,3767
15,10,3,8,1,4,,,,3767,410,348,0.9021112324463092,0.9020634088495165,30822,495,976,969,1503
16,27,11,2,26,5,,,,3782,308,333,0.9245813470235913,0.9245227686858033,31169,702,629,1141,1841
17,21,28,30,1,1,,,,3755,336,360,0.9177608102691447,0.9176303533517461,31629,1,169,2652,4100
18,17,2,22,14,2,,,,3757,395,358,0.9050264257117117,0.9048976233698509,31712,11,86,2709,4048
19,17,30,20,30,3,,,,3767,411,348,0.9018995676053573,0.9017692697817605,31719,17,79,2652,4095
20,17,27,2,9,2,,,,3787,424,328,0.8997215543539205,0.8995950429628043,31753,28,45,2693,3976
21,24,6,29,6,5,,,,3738,285,377,0.9287325707357311,0.9286748196857121,30830,486,968,1056,1815
22,12,29,3,27,3,,,,3794,439,321,0.8967910292532572,0.8966675406443734,31753,28,45,2612,3881
23,23,1,1,18,1,,,,3796,385,319,0.9082034988324464,0.9080469823503285,31786,48,12,3836,4919
24,25,18,22,30,2,,,,3757,328,358,0.9195711768161346,0.9194374107476607,31715,16,83,2683,4204
25,25,28,8,1,5,,,,3745,289,370,0.9279862821573884,0.9279285311073694,30809,446,989,1090,1815
26,30,1,30,17,4,,,,3705,167,410,0.9556703105090202,0.955605272962883,30674,338,1124,1205,2044
27,24,30,1,3,5,,,,3796,321,319,0.9220395631728265,0.9219823212229729,31097,692,701,1183,1799
28,14,14,9,28,5,,,,3791,402,324,0.9044624281869716,0.9044115499891863,31008,671,790,968,1599
29,13,13,30,1,1,,,,3774,424,341,0.8993551523470453,0.899232268294608,31628,1,170,2559,3862
30,23,29,29,27,2,,,,3757,328,358,0.9195711768161346,0.9194371561975779,31715,16,83,2684,4212
31,30,6,30,1,4,,,,3713,174,402,0.954116087121874,0.9540529905201176,30698,360,1100,1145,1983
32,21,23,1,30,3,,,,3784,363,331,0.9126076848127033,0.9124734096440639,31760,35,38,2796,4220
33,26,30,12,4,2,,,,3754,311,361,0.9232661091982293,0.9231303703666142,31713,12,85,2712,4266
34,19,2,8,13,5,,,,3745,287,370,0.9284372009539723,0.928383999986682,30879,502,919,1024,1672
35,29,27,29,25,4,,,,3725,187,390,0.9512111663253372,0.9511494061115151,30799,468,999,1112,1941
36,30,2,29,16,5,,,,3713,173,402,0.9543564198654185,0.9542940232763897,30746,405,1052,1123,1961
37,1,29,12,5,5,,,,3858,1009,257,0.7951425815546707,0.7950842577669655,31403,1046,395,977,1833
38,29,30,1,29,2,,,,3780,274,335,0.9321319188601358,0.931982497961574,31788,46,10,3099,4696
39,1,6,2,28,5,,,,3853,692,262,0.8493519090027335,0.8493087627637109,31324,961,474,861,1356
40,27,10,6,1,2,,,,3751,310,364,0.9234185441941074,0.9232891054770398,31577,3,221,2671,4068
41,30,24,28,13,5,,,,3725,187,390,0.9512111663253372,0.9511490561051513,30797,466,1001,1118,1952
