observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,3786,431,329,0.8982291646895819,0.898102207835821,31722,18,76,2598,3990
2,5,2,26,19,4,,,,3740,536,375,0.8753083472586934,0.8752559099416514,30850,528,948,1085,1648
3,1,30,25,7,1,,,,3812,978,303,0.798073903485816,0.7979275053694865,31758,40,40,2787,4601
4,6,10,16,13,2,,,,3803,593,312,0.866212036315763,0.8660973933222541,31743,25,55,2458,3603
5,19,5,9,11,3,,,,3765,400,350,0.904178674351585,0.9040525766043533,31718,15,80,2570,3963
6,24,6,16,18,1,,,,3758,320,357,0.9213629699367942,0.9212311129939407,31715,14,83,2657,4144
7,19,6,2,29,5,,,,3796,334,319,0.9191950989175969,0.9191429479693978,31191,739,607,1024,1639
8,25,10,3,21,3,,,,3771,336,344,0.9181526894496441,0.9180244280267091,31750,27,48,2688,4031
9,4,15,2,28,2,,,,3813,945,302,0.8035590098500781,0.8034279165574728,31770,40,28,2590,4120
10,20,10,16,17,1,,,,3764,399,351,0.9043642060143584,0.9042372809793577,31717,15,81,2573,3989
11,30,24,29,27,3,,,,3745,228,370,0.9419393134532577,0.941799883645443,31710,13,88,2773,4382
12,28,3,6,2,2,,,,3755,308,360,0.9239574413637661,0.9238264753462022,31721,14,77,2741,4116
13,12,9,25,11,2,,,,3787,422,328,0.9001407138374947,0.9000192616292727,31720,16,78,2517,3817
14,17,5,25,3,5,,,,3760,370,355,0.9104777586749642,0.9104251622641203,30895,552,903,989,1653
15,24,6,1,25,4,,,,3824,355,291,0.9153318077803204,0.9152706521229448,31353,932,445,1261,1922
16,22,24,3,11,1,,,,3777,348,338,0.9156807602792862,0.9155546625320545,31750,25,48,2658,3963
17,26,19,10,2,2,,,,3758,312,357,0.9231373897663908,0.9230029555039497,31709,11,89,2705,4225
18,10,22,20,27,3,,,,3786,471,329,0.8899524230400362,0.8898266434804079,31726,20,72,2580,3953
19,4,22,23,17,4,,,,3853,1000,262,0.7963639670624029,0.7963078705879215,31393,1085,405,955,1763
20,15,16,13,1,1,,,,3768,424,347,0.8991852923068112,0.8990601491223896,31628,1,170,2612,3933
21,1,20,10,16,5,,,,3866,1000,249,0.7969523683874187,0.7968958582690528,31433,1132,365,932,1776
22,8,13,23,7,1,,,,3798,545,317,0.875429878020671,0.8753162214087326,31739,22,59,2405,3572
23,9,5,28,25,4,,,,3797,449,318,0.8948055559483242,0.8947624415280621,31095,688,703,869,1355
24,27,25,6,27,3,,,,3759,317,356,0.9220512267034278,0.9219202925046242,31734,21,64,2703,4115
25,25,27,10,4,2,,,,3761,330,354,0.9192272722828904,0.9190947471460696,31713,12,85,2672,4165
26,13,25,26,1,3,,,,3780,430,335,0.8982676267198973,0.8981402244034916,31711,13,87,2607,4004
27,13,7,4,11,5,,,,3802,406,313,0.9039166551755291,0.9038681952035296,31132,709,666,958,1523
28,10,16,22,11,5,,,,3800,443,315,0.8961334201167803,0.8960841328570119,31056,728,742,939,1549
29,29,8,15,10,2,,,,3745,225,370,0.9426363613481337,0.9424983952032947,31710,11,88,2746,4336
30,2,19,16,2,2,,,,3809,929,306,0.8060454466579481,0.8059162306722029,31699,22,99,2514,4061
31,28,8,5,15,5,,,,3752,204,363,0.9476709823751382,0.9476121813060279,31000,556,798,1107,1848
32,8,21,23,8,4,,,,3831,556,284,0.8743461232985511,0.8742980451516758,31243,861,555,901,1511
33,12,19,20,17,1,,,,3787,424,328,0.8997215543539205,0.8995970793634661,31722,18,76,2573,3912
34,26,10,6,2,3,,,,3765,314,350,0.9228574510015394,0.9227279804657115,31725,17,73,2673,4069
35,21,1,16,7,4,,,,3719,272,396,0.9312679667858609,0.9312088793479074,30729,384,1069,1164,1857
36,6,21,12,29,1,,,,3803,608,312,0.8633214379761548,0.8631969948044608,31750,26,48,2597,3911
37,11,4,28,27,2,,,,3779,420,336,0.900336405134705,0.9002167984145828,31718,15,80,2533,3759
38,20,25,17,16,2,,,,3763,408,352,0.9024240505721988,0.9022936254735606,31719,17,79,2641,4099
39,3,27,28,19,2,,,,3809,959,306,0.8010616327440515,0.8009228074926833,31760,38,38,2619,4363
40,11,22,27,27,4,,,,3794,424,321,0.8999179305208328,0.8998667659542043,31047,715,751,971,1608
41,20,3,5,27,4,,,,3755,302,360,0.9252961933487098,0.9252432787502626,31042,584,756,1021,1663
