observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,3786,431,329,0.8982291646895819,0.898102207835821,31722,18,76,2598,3990
2,5,2,26,19,4,,,,3740,536,375,0.8753083472586934,0.8752559099416514,30850,528,948,1085,1648
3,1,30,25,7,1,,,,3812,978,303,0.798073903485816,0.7979275053694865,31758,40,40,2787,4601
4,6,10,16,13,2,,,,3803,593,312,0.866212036315763,0.8660973933222541,31743,25,55,2458,3603
5,19,5,9,11,3,,,,3765,400,350,0.904178674351585,0.9040525766043533,31718,15,80,2570,3963
6,24,6,16,18,1,,,,3758,320,357,0.9213629699367942,0.9212311129939407,31715,14,83,2657,4144
7,19,6,2,29,5,,,,3796,334,319,0.9191950989175969,0.9191429479693978,31191,739,607,1024,1639
8,25,10,3,21,3,,,,3771,336,344,0.9181526894496441,0.9180244280267091,31750,27,48,2688,4031
9,4,15,2,28,2,,,,3813,945,302,0.8035590098500781,0.8034279165574728,31770,40,28,2590,4120
10,20,10,16,17,1,,,,3764,399,351,0.9043642060143584,0.9042372809793577,31717,15,81,2573,3989
11,30,22,10,1,2,,,,3746,228,369,0.941958650378946,0.9418206524153466,31663,1,135,2769,4337
12,28,22,10,3,2,,,,3750,310,365,0.9233951392479871,0.9232586367661239,31707,9,91,2751,4290
13,30,21,11,5,2,,,,3745,228,370,0.9419393134532577,0.9418005836581704,31710,11,88,2765,4360
14,29,22,30,1,2,,,,3743,226,372,0.9423654051441118,0.9422260707925781,31665,1,133,2777,4379
15,29,22,10,3,2,,,,3749,229,366,0.941784693298231,0.9416470771597557,31707,9,91,2757,4325
16,13,18,30,9,4,,,,3787,403,328,0.9041422943774621,0.9040910661733129,31008,674,790,975,1610
17,13,26,20,1,4,,,,3769,397,346,0.904926314171977,0.9048721268231161,30829,501,969,1057,1703
18,14,26,29,1,4,,,,3767,397,348,0.9048719439253234,0.9048176293014212,30824,505,974,1054,1707
19,13,25,30,9,4,,,,3788,412,327,0.9022699664149775,0.9022179427418198,31023,690,775,987,1635
20,13,26,30,1,4,,,,3769,397,346,0.904926314171977,0.9048721268231161,30829,501,969,1057,1703
21,25,15,5,24,3,,,,3768,332,347,0.9189571494768677,0.9188294289728586,31738,23,60,2656,4014
22,25,16,6,23,3,,,,3769,335,346,0.9183230918420553,0.9181947349628393,31735,22,63,2660,4034
23,24,17,7,13,3,,,,3768,330,347,0.9193966337590342,0.9192672904982477,31725,18,73,2657,4065
24,25,16,6,24,3,,,,3769,335,346,0.9183230918420553,0.9181947349628393,31735,22,63,2660,4034
25,24,16,6,24,3,,,,3770,335,345,0.9183474617558219,0.918219582158011,31735,22,63,2650,4019
26,30,20,12,5,2,,,,3745,228,370,0.9419393134532577,0.9418005836581704,31710,11,88,2765,4360
27,30,20,13,5,2,,,,3745,228,370,0.9419393134532577,0.9418005836581704,31710,11,88,2765,4360
28,30,20,13,5,2,,,,3745,228,370,0.9419393134532577,0.9418005836581704,31710,11,88,2765,4360
29,29,20,12,5,2,,,,3745,228,370,0.9419393134532577,0.9418008700270135,31710,11,88,2761,4351
30,30,20,11,5,2,,,,3745,228,370,0.9419393134532577,0.9418005836581704,31710,11,88,2765,4360
31,27,24,19,8,1,,,,3746,310,369,0.9233014063955752,0.9231646811823896,31713,13,85,2731,4297
32,27,24,19,8,1,,,,3746,310,369,0.9233014063955752,0.9231646811823896,31713,13,85,2731,4297
33,27,24,20,8,1,,,,3746,310,369,0.9233014063955752,0.9231646811823896,31713,13,85,2731,4297
34,21,24,21,8,1,,,,3764,338,351,0.9175430128758294,0.9174123014083482,31718,15,80,2639,4108
35,22,13,19,3,1,,,,3762,332,353,0.9188114555907796,0.9186817623236293,31713,13,85,2624,4076
36,9,29,14,3,2,,,,3799,485,316,0.887488261046297,0.8873678270384059,31726,20,72,2551,3785
37,9,28,14,3,2,,,,3798,484,317,0.8876610901543943,0.8875420879907187,31726,20,72,2527,3740
38,28,28,14,3,2,,,,3746,308,369,0.9237476635053092,0.9236098246355116,31706,9,92,2761,4332
39,10,28,24,3,2,,,,3789,475,326,0.8892237069997324,0.8890966865084508,31722,17,76,2599,3992
40,16,28,14,4,2,,,,3774,414,341,0.9014603945023814,0.9013323876295292,31714,13,84,2617,4023
41,17,22,8,12,3,,,,3771,412,344,0.9017992940568773,0.9016732281284059,31728,19,70,2622,3962
